time/time_elapsed,rollout/ep_rew_mean,train/critic_loss,train/actor_loss,time/episodes,rollout/ep_len_mean,train/learning_rate,train/n_updates,time/fps,time/total timesteps,rollout/success rate
38,-79.98330384000002,467.89053840637206,157.72486267089843,1096,81.86,0.001,99980,2566,100100,0.27
63,-79.98151295000001,619.4981370925904,157.33756408691406,1097,81.86,0.001,100080,1575,100200,0.27
103,-79.59460905,475.5522068023682,156.63920135498046,1098,81.86,0.001,100180,967,100300,0.27
121,-84.85092436000001,241.34174308776855,157.32091064453124,1099,82.63,0.001,100280,826,100400,0.26
152,-83.71611148,459.11225509643555,157.98436279296874,1100,82.63,0.001,100380,659,100500,0.26
163,-83.11920593999999,735.9802024841308,154.44766998291016,1101,81.89,0.001,100420,615,100526,0.27
193,-83.36479184,725.364319229126,156.7698776245117,1102,81.89,0.001,100520,520,100626,0.27
219,-83.63362269999999,644.9907426834106,157.17431182861327,1103,82.6,0.001,100600,458,100704,0.27
244,-84.37238657,854.9475337982178,155.31013946533204,1104,82.6,0.001,100700,411,100804,0.27
257,-84.04322735,521.430265045166,157.19471130371093,1105,81.99,0.001,100740,392,100843,0.28
280,-83.62965767000001,847.770454788208,156.52274627685546,1106,81.61,0.001,100800,360,100905,0.29
313,-85.07369795999999,547.3151554107666,155.4367462158203,1107,82.48,0.001,100900,321,101005,0.28
340,-85.50231611000001,573.2803623199463,155.2420166015625,1108,82.48,0.001,101000,296,101105,0.28
365,-86.07054844,552.8288513183594,155.3903350830078,1109,83.41,0.001,101100,277,101205,0.27
389,-87.22151622999999,490.47007904052737,154.8276397705078,1110,83.41,0.001,101200,260,101305,0.27
425,-87.97266417,511.84698276519777,156.72149353027345,1111,84.0,0.001,101300,238,101405,0.26
453,-88.51364287000003,386.73513889312744,156.55848388671876,1112,84.0,0.001,101400,223,101505,0.26
465,-87.89442693000002,417.6135166168213,155.1081756591797,1113,83.22,0.001,101420,218,101527,0.27
501,-88.65668095000002,581.010650062561,154.81804809570312,1114,84.0,0.001,101520,202,101627,0.26
538,-88.64556626000001,483.9574321746826,156.13128662109375,1115,84.0,0.001,101620,189,101727,0.26
566,-89.60563858000002,582.5126703262329,155.67364501953125,1116,84.45,0.001,101720,179,101827,0.25
571,-88.8326145,681.6795543670654,156.18168182373046,1117,83.62,0.001,101740,178,101844,0.26
612,-89.14224275000001,577.858098602295,157.2112579345703,1118,84.02,0.001,101840,166,101944,0.25
616,-89.08096357000001,,,1119,83.92,,,165,101957,0.25
629,-94.15390327000001,605.8725175857544,153.811767578125,1120,83.92,0.001,101940,162,102057,0.25
656,-96.56174135,562.566526222229,155.9073959350586,1121,84.59,0.001,102040,155,102157,0.24
666,-95.86379102999999,411.07928161621095,155.64612884521483,1122,83.67,0.001,102060,153,102165,0.25
695,-95.10706099999999,492.28103122711184,156.3523727416992,1123,83.67,0.001,102160,147,102265,0.25
701,-94.98672077,543.8270273208618,156.0088684082031,1124,82.97,0.001,102180,145,102290,0.25
708,-93.76998343000001,568.9566253662109,156.03972778320312,1125,82.19,0.001,102200,144,102312,0.26
744,-94.00364628000001,407.1369134902954,156.2042266845703,1126,82.19,0.001,102300,137,102412,0.26
756,-92.30593972999999,445.05576248168944,157.61205291748047,1127,81.59,0.001,102340,135,102452,0.27
769,-91.38974251999997,596.1440980911254,156.1516372680664,1128,80.97,0.001,102380,133,102490,0.28
808,-91.54915984999998,486.029296875,156.40978393554687,1129,81.57,0.001,102480,126,102590,0.27
836,-92.9932877,578.9673500061035,156.85230865478516,1130,81.48,0.001,102580,122,102681,0.28
867,-93.92893818,520.5011564254761,157.62557830810547,1131,82.22,0.001,102680,118,102781,0.27
895,-96.22151282,573.0807249069214,155.139697265625,1132,82.91,0.001,102780,114,102881,0.26
934,-96.15938903,584.1673679351807,155.97889862060546,1133,82.91,0.001,102880,110,102981,0.26
954,-95.61385744,633.1122257232666,154.5004638671875,1134,82.91,0.001,102980,108,103081,0.26
964,-94.13926748,500.08252105712893,158.01517181396486,1135,82.21,0.001,103000,106,103111,0.27
978,-93.58954693,754.0530242919922,157.4810317993164,1136,81.83,0.001,103060,105,103173,0.28
1012,-97.83270808999998,478.97334518432615,156.2179382324219,1137,81.83,0.001,103160,102,103273,0.28
1039,-98.55252087,927.6174610137939,153.76873016357422,1138,81.83,0.001,103260,99,103373,0.28
1072,-97.62481009,602.6175092697143,157.66125030517577,1139,81.83,0.001,103360,96,103473,0.28
1097,-97.4950101,426.75293827056885,159.10061645507812,1140,82.33,0.001,103460,94,103573,0.27
1119,-96.95856077,686.7515579223633,156.6471908569336,1141,81.94,0.001,103520,92,103634,0.28
1138,-100.42395828999997,428.4335464477539,157.43868103027344,1142,81.94,0.001,103620,91,103734,0.28
1141,-100.4044752,497.65496959686277,155.8435516357422,1143,81.85,0.001,103640,90,103741,0.28
1169,-100.56727762,403.3209098815918,158.1330078125,1144,81.85,0.001,103740,88,103841,0.28
1189,-98.27786682000001,591.1084520339966,156.0454559326172,1145,81.24,0.001,103760,87,103880,0.29
1221,-98.95811371000003,452.59253482818605,156.14691925048828,1146,81.24,0.001,103860,85,103980,0.29
1245,-103.6008472,444.94091949462893,156.89728240966798,1147,81.24,0.001,103960,83,104080,0.29
1249,-103.22357111,556.4815256118775,156.11369781494142,1148,80.34,0.001,103980,83,104090,0.3
1286,-104.42027673999999,778.6405353546143,156.6838165283203,1149,80.34,0.001,104080,80,104190,0.3
1302,-104.12296991000001,805.9732872009278,155.97921600341797,1150,79.9,0.001,104140,80,104246,0.31
1329,-104.49079267,877.2123208999634,155.83204956054686,1151,79.9,0.001,104240,78,104346,0.31
1351,-106.84398018,629.9123413085938,156.58605499267577,1152,79.9,0.001,104340,77,104446,0.31
1376,-107.41887279999999,682.7552677154541,155.95419158935547,1153,80.67,0.001,104440,75,104546,0.3
1406,-107.46989864000001,680.2187873840332,155.73033752441407,1154,80.67,0.001,104540,74,104646,0.3
1430,-108.03963937,603.1054475784301,156.9753387451172,1155,81.25,0.001,104640,73,104746,0.29
1437,-107.27605283999999,,,1156,80.3,,,72,104751,0.3
1469,-111.60967346,381.4526306152344,156.30377502441405,1157,80.3,0.001,104740,71,104851,0.3
1501,-111.00290768999999,645.084899520874,156.0271438598633,1158,80.3,0.001,104840,69,104951,0.3
1533,-110.46427243000002,866.1971599578858,157.1191162109375,1159,80.3,0.001,104940,68,105051,0.3
1559,-114.61791389000001,592.5189073562622,158.51822204589843,1160,80.3,0.001,105040,67,105151,0.3
1596,-114.83202605000002,714.1438152313233,156.32691650390626,1161,81.09,0.001,105140,65,105251,0.29
1610,-112.57623638000001,,,1162,80.16,,,65,105258,0.3
1633,-117.90097093000003,631.0415599822998,157.78716278076172,1163,80.16,0.001,105240,64,105358,0.3
1659,-116.67214259,402.80313739776614,158.2512420654297,1164,80.16,0.001,105340,63,105458,0.3
1691,-120.02784270999999,730.2613004684448,158.3838150024414,1165,80.91,0.001,105440,62,105558,0.29
1721,-119.43898562,562.6752811431885,159.2393569946289,1166,80.91,0.001,105540,61,105658,0.29
1767,-119.29054431000003,789.7541801452637,157.2091293334961,1167,81.38,0.001,105640,59,105758,0.28
1791,-119.98338102000001,727.7453594207764,157.88247375488282,1168,81.38,0.001,105740,59,105858,0.28
1820,-120.22739224000003,536.0598583221436,158.2014373779297,1169,81.38,0.001,105840,58,105958,0.28
1831,-120.25076436,507.70557708740233,158.77959747314452,1170,81.27,0.001,105880,57,105987,0.28
1857,-121.05500783000001,724.6855354309082,157.88081970214844,1171,81.95,0.001,105980,57,106087,0.27
1891,-116.75757269000002,486.8254047393799,159.1876998901367,1172,81.95,0.001,106080,56,106187,0.27
1913,-117.28111785000002,443.761266708374,158.98718719482423,1173,81.95,0.001,106180,55,106287,0.27
1941,-119.19269033999998,640.0723224639893,156.55710144042968,1174,82.82,0.001,106280,54,106387,0.26
1986,-118.92552290000002,536.1717544555664,157.03786926269532,1175,82.82,0.001,106380,53,106487,0.26
2008,-122.91015659000003,882.2362403869629,156.05282897949218,1176,82.82,0.001,106480,53,106587,0.26
2016,-121.29016112000001,498.1617263793945,158.27766876220704,1177,81.99,0.001,106500,52,106604,0.27
2053,-121.48354803000002,784.1135843276977,156.72006378173828,1178,81.99,0.001,106600,51,106704,0.27
2068,-121.60619081,968.4915767669678,157.21781311035156,1179,81.62,0.001,106660,51,106767,0.28
2089,-122.49780452,699.8568916320801,157.43675842285157,1180,82.37,0.001,106760,51,106867,0.27
2123,-119.80527340000002,707.1705356597901,158.88367309570313,1181,82.37,0.001,106860,50,106967,0.27
2129,-116.47008251000001,594.552698135376,157.4755599975586,1182,81.51,0.001,106880,50,106981,0.28
2157,-111.46324209000002,634.202375793457,158.0924270629883,1183,81.51,0.001,106980,49,107081,0.28
2164,-110.46041938000002,662.1517757415771,157.41266174316405,1184,80.79,0.001,107000,49,107109,0.29
2198,-110.40894613,755.3650333404541,159.17392578125,1185,80.79,0.001,107100,48,107209,0.29
2200,-109.90513136,,,1186,79.84,,,48,107214,0.3
2233,-111.40341749999997,772.828652381897,157.77506561279296,1187,79.84,0.001,107200,48,107314,0.3
2252,-113.84781785,627.9923782348633,156.7262435913086,1188,79.84,0.001,107300,47,107414,0.3
2292,-113.41317962000001,512.8179569244385,158.17467041015624,1189,79.84,0.001,107400,46,107514,0.3
2320,-112.44874081,704.2380369186401,156.7482894897461,1190,79.84,0.001,107500,46,107614,0.3
2344,-112.47532025999999,593.9755264282227,158.53358612060546,1191,79.84,0.001,107600,45,107714,0.3
2368,-114.12312049,583.7621845245361,156.7664596557617,1192,80.52,0.001,107700,45,107814,0.29
2391,-114.66535188999998,532.6410305023194,158.68923797607422,1193,80.52,0.001,107800,45,107914,0.29
2422,-111.21921232999999,592.8093027114868,157.35784454345702,1194,80.52,0.001,107900,44,108014,0.29
2449,-111.92949627,557.5708431243896,157.44298858642577,1195,81.14,0.001,108000,44,108114,0.28
2463,-111.34886068999998,622.6090866088867,158.10615234375,1196,80.27,0.001,108020,43,108127,0.29
2487,-111.74486214999999,474.93840675354005,159.30376281738282,1197,80.27,0.001,108120,43,108227,0.29
2513,-111.76279112,693.407975769043,157.2129364013672,1198,80.27,0.001,108220,43,108327,0.29
2537,-107.59242993000002,623.7674718856812,158.4679183959961,1199,80.27,0.001,108320,42,108427,0.29
2569,-108.28556767,695.0907573699951,159.16280517578124,1200,80.27,0.001,108420,42,108527,0.29
2582,-108.34147018,741.3704875946045,158.20563354492188,1201,80.41,0.001,108460,42,108567,0.29
2617,-108.31836236,457.3909996032715,156.32823181152344,1202,80.41,0.001,108560,41,108667,0.29
2645,-108.81568787999998,548.8740159988404,158.7825149536133,1203,80.63,0.001,108660,41,108767,0.28
2677,-108.02542501999999,682.8787914276123,157.07153930664063,1204,80.63,0.001,108760,40,108867,0.28
2690,-107.97098096999999,545.704666519165,158.6698257446289,1205,80.47,0.001,108780,40,108890,0.28
2725,-108.11786769999999,753.9478855133057,157.5654556274414,1206,80.85,0.001,108880,39,108990,0.27
2732,-106.38274594,699.7834255218506,157.3860061645508,1207,80.06,0.001,108900,39,109011,0.28
2754,-105.76481341,609.614917755127,157.49100189208986,1208,80.06,0.001,109000,39,109111,0.28
2777,-106.96384718000002,729.0129711151124,157.57117919921876,1209,80.06,0.001,109100,39,109211,0.28
