rollout/ep_len_mean,time/fps,train/n_updates,time/total timesteps,train/learning_rate,rollout/ep_rew_mean,train/critic_loss,time/episodes,rollout/success rate,time/time_elapsed,train/actor_loss
67.39,9370,199980,200100,0.001,-49.51623558,558.3218421936035,2410,0.44,21,137.53737030029296
67.39,4252,200080,200200,0.001,-49.76019993,466.0315029144287,2411,0.44,47,138.88013610839843
67.39,2450,200180,200300,0.001,-50.25899444000001,485.9997381210327,2412,0.44,81,138.73657836914063
67.74,1837,200260,200373,0.001,-50.79052979000001,564.6285043716431,2413,0.44,109,139.12642669677734
67.69,1805,,200377,,-50.793009190000014,,2414,0.44,111,
68.51,1483,200360,200477,0.001,-51.26574162000001,581.9472785949707,2415,0.43,135,139.08478546142578
67.77,1422,200400,200503,0.001,-50.9539909,567.2846614837647,2416,0.44,140,137.29283294677734
67.77,1188,200500,200603,0.001,-51.17988518999999,452.6665197372437,2417,0.44,168,140.17581481933593
67.07,1100,200520,200633,0.001,-46.47944312999999,683.390181350708,2418,0.45,182,137.2213623046875
67.07,969,200620,200733,0.001,-46.285077439999995,454.65284690856936,2419,0.45,207,140.66109924316407
67.46,898,200680,200782,0.001,-46.440453119999994,636.8994316101074,2420,0.45,223,136.88080749511718
68.35,808,200780,200882,0.001,-46.994564,471.9764331817627,2421,0.44,248,137.8899185180664
68.73,703,200880,200982,0.001,-50.552054639999994,443.1762701034546,2422,0.43,285,139.29126892089843
68.21,695,,200990,,-50.40054769,,2423,0.43,289,
68.08,688,,200996,,-50.389467810000006,,2424,0.43,292,
69.01,624,200980,201096,0.001,-50.736819080000004,559.4010074615478,2425,0.42,322,138.99753112792968
69.01,586,201080,201196,0.001,-51.07469879,657.5637561798096,2426,0.42,343,137.8139190673828
69.12,569,201120,201229,0.001,-51.09577931999999,465.6540580749512,2427,0.42,353,138.96036224365236
69.12,524,201220,201329,0.001,-50.73377251,339.9186891555786,2428,0.42,383,140.08421020507814
70.08,495,201320,201429,0.001,-51.129033629999995,561.9708335876464,2429,0.41,406,137.97406005859375
70.78,469,201420,201529,0.001,-51.484137659999995,467.7686763763428,2430,0.4,429,140.39519805908202
70.78,442,201520,201629,0.001,-50.992776019999994,494.683611869812,2431,0.4,455,138.05803527832032
69.91,439,201540,201642,0.001,-50.11378870000001,539.2722822189331,2432,0.41,459,139.36612701416016
69.6,431,,201646,,-50.05357848,,2433,0.41,466,
68.82,424,201560,201668,0.001,-49.728339870000006,497.50519409179685,2434,0.42,474,138.8023208618164
68.82,406,201660,201768,0.001,-49.87641419,520.0880395889283,2435,0.42,496,137.77174072265626
68.44,389,201720,201830,0.001,-49.78872115,372.8539823532104,2436,0.43,518,139.09830017089843
68.42,387,,201836,,-49.69857744,,2437,0.43,520,
67.65,384,201740,201859,0.001,-50.15903421000001,439.63107509613036,2438,0.44,525,138.30462188720702
68.46,367,201840,201959,0.001,-50.64097078,456.46425399780276,2439,0.43,549,138.30611877441407
68.46,354,201940,202059,0.001,-50.457310830000004,431.49529285430907,2440,0.43,569,139.72661437988282
69.15,339,202040,202159,0.001,-51.31434693999999,535.3789770126343,2441,0.42,595,139.72718963623046
68.22,335,202060,202166,0.001,-50.37300861,394.14462089538574,2442,0.43,602,139.30888977050782
68.22,323,202160,202266,0.001,-50.2724258,604.1737707138061,2443,0.43,625,139.92520904541016
67.38,321,,202278,,-50.125752080000005,,2444,0.43,628,
67.33,312,202180,202283,0.001,-50.11863387000001,553.8751222610474,2445,0.43,646,138.6667449951172
67.3,304,202260,202380,0.001,-49.68091946000001,405.2329929351807,2446,0.44,665,138.35100708007812
66.68,297,202300,202418,0.001,-49.411636580000014,500.14721794128417,2447,0.45,680,137.58585510253906
67.52,283,202400,202518,0.001,-50.553037180000004,486.1685262680054,2448,0.44,713,138.94281158447265
67.87,278,202460,202563,0.001,-50.66483109,348.8572786331177,2449,0.44,726,138.82503814697264
67.28,274,202500,202604,0.001,-49.75118484000001,385.6622353553772,2450,0.45,736,138.4820785522461
67.28,261,202600,202704,0.001,-50.03906304,838.3867441177368,2451,0.45,774,138.42465362548828
67.14,260,,202713,,-50.000618939999995,,2452,0.45,777,
67.15,257,202620,202723,0.001,-50.06317849,537.4587598800659,2453,0.45,786,136.7788345336914
66.29,255,,202737,,-49.53246506000001,,2454,0.46,792,
66.29,249,202720,202837,0.001,-50.27817,514.6501487731933,2455,0.46,814,138.96241912841796
66.29,242,202820,202937,0.001,-49.772582039999996,539.6315580368042,2456,0.46,837,137.56163024902344
66.95,236,202920,203021,0.001,-51.44748313,445.7763275146484,2457,0.46,857,140.01643981933594
67.8,225,203020,203121,0.001,-52.324714070000006,405.2886541366577,2458,0.45,899,139.56485443115236
67.93,216,203080,203194,0.001,-52.505550819999996,486.7519790649414,2459,0.45,937,137.7597412109375
67.08,215,203100,203209,0.001,-47.34789677,530.9796602249146,2460,0.46,942,137.37503509521486
66.23,214,203120,203224,0.001,-46.0984421,451.69057273864746,2461,0.47,948,139.75684661865233
65.77,210,203160,203278,0.001,-45.78037945000001,197.8998251914978,2462,0.48,963,137.8249984741211
66.09,205,203220,203323,0.001,-46.052121119999995,347.13069038391114,2463,0.48,989,138.08016204833984
65.2,204,,203334,,-45.42551376999999,,2464,0.49,992,
64.26,204,,203340,,-44.92125779999999,,2465,0.5,995,
