rollout/ep_rew_mean,train/n_updates,time/fps,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,time/episodes,train/learning_rate,rollout/success rate,train/actor_loss,time/total timesteps
-21.266647889999998,299980,14640,20,38.86,473.4416284561157,4370,0.001,0.72,122.16393127441407,300100
-21.269229570000004,300000,13546,22,38.86,437.5248706817627,4371,0.001,0.72,120.33607025146485,300104
-21.29875791,300040,7755,38,39.34,430.7391626358032,4372,0.001,0.72,121.17343063354492,300159
-21.299953160000005,300060,6682,44,39.3,381.1843692779541,4373,0.001,0.72,120.46369400024415,300175
-21.38265561,300080,6235,48,39.26,385.1478645324707,4374,0.001,0.72,121.10706100463867,300185
-21.394692420000002,,5811,51,39.34,,4375,,0.72,,300197
-23.49946778,300180,3943,76,40.32,471.9745901107788,4376,0.001,0.71,121.25132675170899,300297
-23.753706339999997,300280,2795,107,40.93,486.4561498641968,4377,0.001,0.7,120.70832443237305,300397
-23.754630309999996,300300,2708,110,40.95,587.031969833374,4378,0.001,0.7,120.50333099365234,300406
-24.14209905,300340,2481,121,41.28,446.2851432800293,4379,0.001,0.7,120.92065734863282,300447
-23.456677829999993,300400,2164,138,40.95,445.00024528503417,4380,0.001,0.71,121.25158004760742,300514
-23.46090795,300500,1779,168,40.95,472.7796348571777,4381,0.001,0.71,120.47250366210938,300614
-23.41686245,,1700,176,40.79,,4382,,0.71,,300620
-23.997103749999997,300600,1494,201,40.79,517.6781579971314,4383,0.001,0.71,121.44744415283203,300720
-23.931260459999994,300620,1468,204,40.02,441.90754985809326,4384,0.001,0.71,121.0335479736328,300732
-24.466640469999998,300720,1332,225,40.78,379.37505474090574,4385,0.001,0.7,120.76753692626953,300832
-23.431444659999993,,1321,227,39.82,,4386,,0.71,,300836
-24.439070789999995,300820,1184,253,40.62,381.9970115661621,4387,0.001,0.7,121.51303634643554,300936
-24.43876586,300840,1173,256,40.58,467.11348190307615,4388,0.001,0.7,121.39718017578124,300942
-24.49286216,300940,1096,274,40.58,390.9473648071289,4389,0.001,0.7,121.3094268798828,301042
-25.440982000000005,301040,987,304,41.52,509.7505653381348,4390,0.001,0.69,120.56307449340821,301142
-25.450980750000003,,964,312,41.53,,4391,,0.69,,301149
-25.456001199999996,301060,936,321,41.61,429.72766876220703,4392,0.001,0.69,121.76266708374024,301161
-25.690504149999995,301160,867,347,42.11,519.4704856872559,4393,0.001,0.68,120.99166412353516,301261
-25.417454519999996,,853,353,41.27,,4394,,0.69,,301277
-25.419015039999998,301180,834,361,41.29,421.3884304046631,4395,0.001,0.69,120.90891799926757,301284
-24.736405899999994,301200,814,369,40.58,517.0122200012207,4396,0.001,0.7,120.05232086181641,301313
-24.718939869999996,,808,372,40.56,,4397,,0.7,,301317
-24.725599409999994,301220,790,381,40.59,450.12205066680906,4398,0.001,0.7,120.2202033996582,301326
-24.69475503,,774,388,40.52,,4399,,0.7,,301331
-24.915905190000004,301320,738,407,40.52,556.0818536758422,4400,0.001,0.7,120.6113883972168,301431
-24.354569849999994,301420,695,433,40.52,421.5359909057617,4401,0.001,0.7,121.95900802612304,301531
-24.23215659,,692,435,40.37,,4402,,0.7,,301535
-24.353020799999996,301480,662,455,40.75,467.2065963745117,4403,0.001,0.7,120.60354995727539,301583
-25.289339109999997,301580,631,477,41.72,383.3089559555054,4404,0.001,0.69,120.78533020019532,301683
-25.271015029999997,,626,481,41.76,,4405,,0.69,,301696
-25.280217059999995,301600,623,484,41.79,506.7766117095947,4406,0.001,0.69,119.87223739624024,301704
-24.81555869,,618,487,40.87,,4407,,0.7,,301712
-24.781063819999996,,615,490,40.67,,4408,,0.7,,301718
-25.719730999999996,301700,584,516,41.63,499.65248413085936,4409,0.001,0.69,121.45202102661133,301818
-25.718064929999997,301720,581,518,41.62,447.329541015625,4410,0.001,0.69,121.75830612182617,301822
-25.422482770000002,,579,521,40.66,,4411,,0.7,,301826
-23.066262410000004,301780,558,540,40.27,636.7033857345581,4412,0.001,0.71,122.49850845336914,301887
-22.45372544,,555,543,39.33,,4413,,0.72,,301893
-22.463395059999996,301800,551,547,39.38,421.4700174331665,4414,0.001,0.72,120.96135940551758,301906
-22.10518862,301900,522,577,39.38,457.78386249542234,4415,0.001,0.72,120.77632446289063,302006
-22.066937639999995,301920,518,583,39.4,477.1883941650391,4416,0.001,0.72,119.97766799926758,302024
-22.01854119,,514,586,39.44,,4417,,0.72,,302034
-22.108801599999996,301940,508,594,39.56,436.2064350128174,4418,0.001,0.72,120.41842880249024,302053
-22.311265500000005,301960,501,601,39.72,432.25367774963377,4419,0.001,0.72,121.68650360107422,302076
-21.616564540000002,301980,497,607,38.89,466.24169006347654,4420,0.001,0.73,122.03125610351563,302093
-21.663773750000004,302020,485,621,39.27,487.2905221939087,4421,0.001,0.73,121.0359992980957,302139
-21.512910700000003,302120,461,654,39.27,417.9324815750122,4422,0.001,0.73,121.74082412719727,302239
-21.575814610000002,302180,450,671,39.65,321.948451423645,4423,0.001,0.73,121.39871444702149,302287
-20.94521556,,448,673,39.46,,4424,,0.73,,302293
-21.017624970000007,302280,431,700,40.23,348.28255252838136,4425,0.001,0.72,121.88908615112305,302393
-21.410770879999994,302380,419,721,40.42,501.68107776641847,4426,0.001,0.71,121.14045104980468,302493
-21.43733578,302400,409,737,40.5,395.4135606765747,4427,0.001,0.71,121.34063720703125,302510
-22.62196283,302500,392,771,41.47,506.1421604156494,4428,0.001,0.7,121.23305206298828,302610
-22.72044001,302520,389,777,41.65,689.2822448730469,4429,0.001,0.7,121.11206817626953,302630
-22.01966332,,387,781,40.74,,4430,,0.71,,302639
-21.868502340000006,302540,385,785,40.74,451.5313734054565,4431,0.001,0.71,121.56694793701172,302653
-22.507013470000008,302640,373,810,41.68,612.076877784729,4432,0.001,0.7,119.82268142700195,302753
-22.665503819999998,302660,371,814,41.73,405.921725654602,4433,0.001,0.7,121.47256317138672,302763
-24.490365510000007,302760,364,831,42.66,373.8748180389404,4434,0.001,0.69,122.8200584411621,302863
-24.580055949999995,302820,357,846,43.18,422.4174848556519,4435,0.001,0.69,121.7801010131836,302921
-24.31874561,,356,849,42.26,,4436,,0.7,,302929
-24.38298673,302840,353,857,42.43,430.7515609741211,4437,0.001,0.7,119.67747268676757,302955
-24.33234204,302860,351,862,42.51,325.7303075790405,4438,0.001,0.7,120.42923583984376,302970
-24.19126386,,349,865,42.32,,4439,,0.7,,302977
-23.424421869999996,302880,348,869,41.41,457.3303352355957,4440,0.001,0.71,121.06045989990234,302986
-24.13531481,302980,334,906,42.23,496.52603969573977,4441,0.001,0.7,122.2817886352539,303086
-23.18725254,,332,910,41.28,,4442,,0.71,,303091
-23.116819730000003,,331,913,41.15,,4443,,0.71,,303099
-23.113951070000002,303000,331,915,41.11,412.2424995422363,4444,0.001,0.71,120.19095611572266,303103
-24.06020076,303100,324,934,42.04,322.47585048675535,4445,0.001,0.7,122.03801498413085,303203
-25.096232130000004,303200,313,966,42.97,546.871925163269,4446,0.001,0.69,121.41531143188476,303303
-25.05284687,303300,307,985,42.97,446.3003677368164,4447,0.001,0.69,121.25779342651367,303403
-25.119756719999994,303320,304,995,43.23,357.61291484832765,4448,0.001,0.69,120.95353469848632,303434
-25.177521889999998,303340,303,998,43.25,329.497970199585,4449,0.001,0.69,121.18056945800781,303444
-25.314415729999997,,302,1004,43.35,,4450,,0.69,,303458
-25.17165482,303360,299,1012,43.03,362.3283344268799,4451,0.001,0.69,122.35001068115234,303465
-24.951350250000004,303380,298,1016,42.59,547.0186997413635,4452,0.001,0.69,119.05238647460938,303482
-24.95415406,,294,1029,42.61,,4453,,0.69,,303489
-25.32941714,303480,287,1055,43.06,563.6957946777344,4454,0.001,0.68,121.40288543701172,303589
-24.412766539999993,303500,286,1058,42.19,449.1471752166748,4455,0.001,0.69,120.49680404663086,303602
-23.446696389999996,,285,1063,41.36,,4456,,0.7,,303619
-22.67136829,303520,284,1067,40.46,383.32716217041013,4457,0.001,0.71,122.21713638305664,303629
-21.79109548,,283,1070,39.53,,4458,,0.72,,303636
-20.77724439,303540,281,1077,38.7,403.1262156486511,4459,0.001,0.73,122.00226821899415,303653
-20.72056102,,281,1079,38.66,,4460,,0.73,,303659
-20.53798997,303560,280,1082,38.24,531.7701620101928,4461,0.001,0.73,120.86371765136718,303664
-21.185789909999997,303660,272,1114,39.08,466.04174690246583,4462,0.001,0.72,119.75536041259765,303764
-22.001734509999995,303760,265,1143,39.97,406.5352258682251,4463,0.001,0.71,121.93963928222657,303864
-21.072667550000002,,264,1146,39.02,,4464,,0.72,,303869
-21.895166010000004,303860,258,1173,39.99,494.9185676574707,4465,0.001,0.71,121.8005973815918,303969
-21.907942890000005,,255,1191,40.02,,4466,,0.71,,303976
-21.94189204,303920,251,1210,40.4,394.5713140487671,4467,0.001,0.71,120.68337478637696,304021
-22.00051228,,250,1215,40.41,,4468,,0.71,,304035
-22.62614908,304020,244,1241,41.35,447.24496364593506,4469,0.001,0.7,120.8872688293457,304135
-20.536392449999997,304120,239,1270,41.35,445.94327850341796,4470,0.001,0.7,120.24125747680664,304235
-20.560660480000003,304140,238,1274,41.45,462.03280601501467,4471,0.001,0.7,120.91114959716796,304249
-20.506307890000002,304160,237,1281,41.12,589.3534982681274,4472,0.001,0.7,121.30435791015626,304271
-23.22554257,304260,232,1307,41.96,491.2329299926758,4473,0.001,0.69,119.87918472290039,304371
-23.15576039,,232,1309,41.95,,4474,,0.69,,304380
-23.164685540000004,304280,231,1315,42.0,354.3966766357422,4475,0.001,0.69,121.09641342163086,304397
-22.633078250000004,304380,227,1335,42.0,545.3925872802735,4476,0.001,0.69,119.70597610473632,304497
-21.87862748,304400,226,1347,41.17,472.519259262085,4477,0.001,0.7,120.23422088623047,304514
