train/actor_loss,rollout/ep_len_mean,rollout/success rate,time/fps,train/critic_loss,train/n_updates,train/learning_rate,time/episodes,rollout/ep_rew_mean,time/total timesteps,time/time_elapsed
176.70435943603516,49.89,0.59,10860,1207.4680877685546,399980,0.001,6626,-53.08943333000001,400100,36
174.75821533203126,50.78,0.58,6990,890.3663436889649,400080,0.001,6627,-57.20883211000001,400200,57
175.0945587158203,50.78,0.58,4669,1096.449488067627,400180,0.001,6628,-57.072686600000004,400300,85
176.2552688598633,50.68,0.58,4510,1314.961506652832,400200,0.001,6629,-57.165884860000006,400306,88
,50.74,0.58,4143,,,,6630,-57.63789287999999,400317,96
176.73101501464845,51.62,0.57,3124,1403.9004703521728,400300,0.001,6631,-58.688959479999994,400417,128
175.12740173339844,52.55,0.57,2597,1041.0900966644288,400400,0.001,6632,-59.71663072999999,400513,154
175.0115005493164,51.8,0.58,2458,1423.0379501342773,400420,0.001,6633,-59.15236428999999,400538,162
174.78418731689453,51.54,0.58,2384,1217.6942817687989,400440,0.001,6634,-59.650163949999985,400560,168
174.69002990722657,51.54,0.58,2079,1537.4232635498047,400540,0.001,6635,-59.21847207999999,400660,192
178.17349700927736,51.54,0.58,1892,1087.0932929992675,400640,0.001,6636,-58.995144409999995,400760,211
177.38555908203125,51.58,0.58,1856,1209.5011322021485,400660,0.001,6637,-59.02791783000001,400769,215
178.27242126464844,51.95,0.58,1687,959.0442512512207,400720,0.001,6638,-60.549010890000005,400822,237
,51.02,0.59,1671,,,,6639,-59.75000871000001,400829,239
175.7553909301758,50.16,0.6,1643,1534.500082397461,400740,0.001,6640,-59.16493680000001,400843,243
,49.27,0.61,1624,,,,6641,-58.46441089000001,400854,246
173.807177734375,48.62,0.62,1561,1297.662335205078,400780,0.001,6642,-55.30739452000001,400889,256
174.2646240234375,48.35,0.62,1512,1315.4802169799805,400820,0.001,6643,-53.22066471,400929,265
176.56281585693358,49.15,0.61,1349,821.1365154266357,400920,0.001,6644,-53.89431318,401029,297
177.7590805053711,49.51,0.6,1234,1039.1274200439452,401020,0.001,6645,-55.592256400000004,401129,324
,48.57,0.61,1226,,,,6646,-54.86248103,401135,326
177.40853729248047,49.26,0.6,1134,1163.2151908874512,401120,0.001,6647,-55.49579590000001,401235,353
177.03726959228516,49.26,0.6,1069,1220.9068161010741,401220,0.001,6648,-55.56733939000001,401335,375
179.33927154541016,50.14,0.59,999,1214.7723880767821,401320,0.001,6649,-56.02199299000001,401435,401
176.5841049194336,49.21,0.6,993,1200.2111381530763,401340,0.001,6650,-55.21394132,401442,403
,49.28,0.6,984,,,,6651,-55.40166443000001,401454,407
180.32922973632813,48.37,0.61,966,1352.2475830078124,401360,0.001,6652,-54.927932199999994,401463,415
177.59473266601563,48.37,0.61,901,1083.3826232910155,401460,0.001,6653,-54.862907799999995,401563,445
177.3121566772461,49.29,0.6,849,1383.9283752441406,401560,0.001,6654,-56.28743822999999,401663,472
177.98385162353514,50.19,0.59,806,1061.1678413391114,401660,0.001,6655,-57.71308026999999,401763,498
176.69361724853516,51.1,0.58,768,1376.633005142212,401760,0.001,6656,-58.097093050000005,401863,522
,50.18,0.59,764,,,,6657,-52.94240683000001,401871,525
,50.2,0.59,760,,,,6658,-52.944154880000006,401877,528
177.88749084472656,50.15,0.59,752,1432.5843063354491,401780,0.001,6659,-52.830724370000006,401893,534
179.4520248413086,50.23,0.59,746,1246.4044570922852,401800,0.001,6660,-52.94391034,401910,538
180.31050567626954,50.23,0.59,707,936.502781677246,401900,0.001,6661,-54.45690852,402010,568
180.37049560546876,51.11,0.58,672,1091.0853122711183,402000,0.001,6662,-58.06242624999999,402110,598
181.32730712890626,51.39,0.58,658,861.5324634552002,402040,0.001,6663,-58.15581451999999,402153,611
181.88583374023438,50.49,0.59,653,1171.2239509582519,402060,0.001,6664,-55.53304958,402163,615
,50.48,0.59,649,,,,6665,-55.891662669999995,402175,619
179.0525131225586,51.42,0.58,624,1277.501675415039,402160,0.001,6666,-56.63989291000001,402275,643
181.00945129394532,51.42,0.58,605,748.8827407836914,402260,0.001,6667,-56.60983142,402375,664
180.62761688232422,51.28,0.58,601,1278.1387176513672,402280,0.001,6668,-56.39037081000001,402383,668
,51.3,0.58,590,,,,6669,-56.39445392000002,402389,681
,51.12,0.58,587,,,,6670,-56.404293970000005,402396,684
178.42823944091796,51.04,0.58,585,1416.8583782196044,402300,0.001,6671,-56.133100090000006,402401,686
,50.23,0.59,580,,,,6672,-55.80462434000001,402420,693
179.17820434570314,49.31,0.6,577,1205.2263252258301,402320,0.001,6673,-55.39514337,402428,697
180.92665405273436,50.19,0.59,556,1340.2997245788574,402420,0.001,6674,-56.39236951000001,402528,723
176.34788360595704,50.19,0.59,552,1340.5291137695312,402440,0.001,6675,-56.48429173,402546,727
,49.28,0.6,550,,,,6676,-56.22747488000002,402555,730
,48.31,0.61,549,,,,6677,-54.690727349999996,402558,732
180.7086608886719,48.37,0.61,546,735.2251174926757,402460,0.001,6678,-54.712955,402569,736
182.7962646484375,49.12,0.6,528,1176.9043365478515,402560,0.001,6679,-55.31418091999999,402669,761
179.6957244873047,49.18,0.6,526,1145.83779296875,402580,0.001,6680,-55.53297802,402682,765
180.7604187011719,49.18,0.6,509,1550.9336807250977,402680,0.001,6681,-55.78161247,402782,790
178.02435607910155,49.94,0.59,495,1850.3050506591796,402780,0.001,6682,-56.56842843999999,402882,812
,49.9,0.59,490,,,,6683,-56.564401239999995,402892,821
181.93453063964844,49.04,0.6,487,1414.7432823181152,402800,0.001,6684,-56.01529384,402906,826
182.84404907226562,49.04,0.6,469,1317.6771377563477,402900,0.001,6685,-57.59698251,403006,858
178.65049896240234,48.31,0.61,465,1609.0695632934571,402920,0.001,6686,-57.40540852,403033,866
,48.13,0.61,464,,,,6687,-57.143945110000004,403040,868
179.28750915527343,47.23,0.62,460,1443.7070747375487,402940,0.001,6688,-54.24786550000001,403050,876
181.89124603271483,48.15,0.61,448,1297.5745040893555,403040,0.001,6689,-54.86883589000001,403150,899
180.69056243896483,47.29,0.62,446,1220.9446895599365,403060,0.001,6690,-52.53838486000001,403164,903
,47.3,0.62,443,,,,6691,-52.5267781,403180,909
178.96730346679686,47.3,0.62,430,1503.2404891967774,403160,0.001,6692,-53.49742556,403280,937
182.3122772216797,47.19,0.62,429,1126.1898208618163,403180,0.001,6693,-53.30687018,403285,939
182.10950469970703,48.12,0.61,417,1207.134253692627,403280,0.001,6694,-54.32269879,403385,965
181.0113952636719,47.64,0.62,412,1622.1276489257812,403320,0.001,6695,-52.637819979999996,403437,978
182.30194091796875,48.61,0.61,401,864.8639495849609,403420,0.001,6696,-53.416878399999995,403537,1005
184.22734375,49.57,0.6,392,1005.6923744201661,403520,0.001,6697,-53.74755883999999,403637,1029
181.99115142822265,49.74,0.6,390,941.2320732116699,403560,0.001,6698,-54.08591613000001,403662,1034
183.8875,50.58,0.59,380,1192.6474670410157,403660,0.001,6699,-54.55792487000001,403762,1062
184.35487213134766,51.07,0.59,374,1065.3961471557618,403720,0.001,6700,-54.52953852,403824,1078
,51.07,0.59,373,,,,6701,-54.52958504000001,403829,1080
,51.01,0.59,372,,,,6702,-54.382776760000006,403839,1083
185.11244506835936,51.91,0.58,366,958.6580402374268,403820,0.001,6703,-55.29946996,403939,1103
181.6703369140625,51.81,0.58,365,1265.5043823242188,403840,0.001,6704,-55.27545475000001,403946,1105
,50.84,0.59,364,,,,6705,-55.02856069000001,403949,1107
184.70077667236328,50.84,0.59,358,1027.8375076293946,403940,0.001,6706,-54.52081578,404049,1126
183.9920669555664,50.03,0.6,355,1340.1342407226562,403960,0.001,6707,-49.93542672,404068,1137
,49.11,0.61,352,,,,6708,-48.24119167999999,404076,1145
183.06611175537108,49.11,0.61,346,1289.6322784423828,404060,0.001,6709,-47.973813369999995,404176,1165
180.94765930175782,48.21,0.62,345,1486.6216423034668,404080,0.001,6710,-45.7069805,404186,1169
,48.1,0.62,343,,,,6711,-45.68421683,404194,1178
182.76571502685547,49.05,0.61,337,1119.5223083496094,404180,0.001,6712,-47.554865889999995,404294,1199
185.46670379638672,49.58,0.6,330,1398.1481971740723,404280,0.001,6713,-45.89218949,404394,1223
184.3508499145508,49.64,0.6,328,1304.1806747436524,404300,0.001,6714,-45.96311822999999,404411,1229
181.27227325439452,50.48,0.59,321,1594.2050796508788,404400,0.001,6715,-46.746090800000005,404511,1260
,49.52,0.6,320,,,,6716,-45.87906261999999,404515,1262
,49.49,0.6,320,,,,6717,-45.87412026000001,404520,1264
181.03884887695312,49.49,0.6,314,1420.5510063171387,404500,0.001,6718,-45.267496949999995,404620,1285
181.91077728271483,49.49,0.6,306,1303.784302520752,404600,0.001,6719,-45.49517864000001,404720,1318
181.4924301147461,48.6,0.61,305,1393.2415267944336,404620,0.001,6720,-45.02061094,404731,1323
181.96551971435548,48.6,0.61,301,1418.4085708618163,404720,0.001,6721,-45.18954067000001,404831,1342
,48.6,0.61,299,,,,6722,-45.18198124000001,404837,1349
182.05267791748048,49.5,0.6,292,1306.9493103027344,404820,0.001,6723,-46.66748991,404937,1384
187.82625274658204,49.5,0.6,291,1477.0261947631836,404840,0.001,6724,-46.650821060000006,404946,1388
187.35833740234375,50.46,0.59,286,899.3269668579102,404940,0.001,6725,-48.798400310000005,405046,1412
183.19571380615236,49.61,0.6,285,1098.5538932800293,404960,0.001,6726,-47.95989472,405061,1416
