train/n_updates,rollout/ep_len_mean,train/actor_loss,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total timesteps,time/episodes,train/learning_rate,rollout/success rate,train/critic_loss
499980,49.95,316.6925079345703,26844,18,-84.38978741999999,500100,8637,0.001,0.6,4109.552407836914
500020,50.23,314.64202575683595,17567,28,-85.17556524999998,500132,8638,0.001,0.6,4760.02759399414
500040,50.31,313.01543884277345,15547,32,-85.16693980999997,500147,8639,0.001,0.6,5249.103335571289
500140,50.31,316.50616760253905,8520,58,-85.68527905999997,500247,8640,0.001,0.6,3935.8446365356444
,50.36,,7944,62,-85.51138076,500259,8641,,0.6,
500240,51.06,313.4335083007812,5725,87,-84.8623388,500359,8642,0.001,0.59,4949.4479705810545
500340,52.0,313.8307312011719,4597,108,-90.59565611,500459,8643,0.001,0.58,4378.427452087402
500440,52.92,315.5713836669922,3603,138,-94.99298272000001,500559,8644,0.001,0.57,3130.240283203125
500540,52.92,311.61822204589845,2893,173,-96.02845033,500659,8645,0.001,0.57,5281.072619628906
500640,53.78,308.1627227783203,2658,188,-101.06872529,500759,8646,0.001,0.56,5132.233715820313
500660,53.87,317.3713775634766,2514,199,-101.60079648999998,500778,8647,0.001,0.56,3652.671533203125
500760,54.79,317.4219970703125,2192,228,-102.53124346999999,500878,8648,0.001,0.55,4414.290545654297
500860,55.74,314.39122009277344,1874,267,-107.53813194999996,500978,8649,0.001,0.54,4793.879415893554
500880,54.78,315.67267456054685,1857,269,-102.95778838999999,500982,8650,0.001,0.55,4634.558203125
500900,54.59,315.6750549316406,1799,278,-102.82403850999998,501017,8651,0.001,0.55,4216.771884155273
501000,55.56,312.6893249511719,1593,314,-106.67651568,501117,8652,0.001,0.54,4801.537924194336
501100,56.39,315.58583068847656,1437,348,-107.01738854,501217,8653,0.001,0.53,4459.167565917969
501200,56.39,316.8516876220703,1348,371,-110.53656071000002,501317,8654,0.001,0.53,4766.807968139648
501300,56.53,310.3653625488281,1246,402,-110.71931207000002,501417,8655,0.001,0.52,4053.738638305664
501360,56.97,318.8645477294922,1210,414,-112.14212284000001,501473,8656,0.001,0.52,2450.4604614257814
501400,57.29,314.899755859375,1186,422,-112.55045039000001,501515,8657,0.001,0.52,3596.817544555664
501500,57.29,319.7241455078125,1139,440,-115.47125829000002,501615,8658,0.001,0.52,5150.508334350586
,57.2,,1133,442,-114.97234830000001,501620,8659,,0.52,
501520,57.07,316.9284606933594,1128,444,-114.25298107000002,501625,8660,0.001,0.52,3831.586529541016
501620,57.94,321.14801025390625,1064,471,-118.09776593000001,501725,8661,0.001,0.51,4389.259854125977
501720,58.88,318.4988952636719,1022,490,-118.76291281000002,501825,8662,0.001,0.5,5752.590554809571
501820,59.77,316.3597900390625,965,519,-119.38622505000001,501925,8663,0.001,0.49,3509.1693786621095
501880,60.32,322.0502532958984,930,539,-119.90321009000002,501995,8664,0.001,0.49,3421.7913513183594
,60.3,,926,541,-119.78793358000001,501999,8665,,0.49,
501920,60.53,316.2815307617187,917,547,-121.13307856000002,502026,8666,0.001,0.49,3436.4015518188476
502020,60.53,313.4903564453125,892,562,-125.72183005999999,502126,8667,0.001,0.49,4249.031353759766
,59.67,,885,567,-121.21274740999999,502140,8668,,0.5,
502100,59.44,310.47255554199216,845,593,-120.92685650999998,502217,8669,0.001,0.51,5330.826586914062
502120,59.33,312.63031616210935,843,595,-120.52190058000001,502222,8670,0.001,0.51,4027.135804748535
502220,59.33,316.8855895996094,821,611,-124.34787316999999,502322,8671,0.001,0.51,3858.0394912719726
502320,59.33,315.8027862548828,788,637,-122.99575156,502422,8672,0.001,0.51,4329.751611328125
502420,60.26,317.39784851074216,756,664,-123.48963484,502522,8673,0.001,0.5,4351.954470825195
,59.82,,743,675,-123.43727086000001,502536,8674,,0.5,
502440,59.75,311.4366424560547,734,683,-123.27111235000002,502542,8675,0.001,0.5,3472.8913238525392
,58.78,,733,685,-122.68430952000003,502545,8676,,0.51,
,58.73,,729,689,-122.49501812000003,502556,8677,,0.51,
502540,58.73,317.25124206542966,694,723,-122.34011141,502656,8678,0.001,0.51,4395.607122802734
502640,59.69,321.50867614746096,675,744,-123.66849196000001,502756,8679,0.001,0.5,3077.3911361694336
502660,59.68,312.15748596191406,670,749,-123.61680966,502768,8680,0.001,0.5,3754.936099243164
502760,60.49,318.7862579345703,651,772,-123.76721331,502868,8681,0.001,0.49,3247.2513427734375
,59.61,,647,777,-122.67830285999999,502880,8682,,0.5,
502780,58.74,319.83555908203124,639,785,-122.04996517999999,502893,8683,0.001,0.51,4168.179830932617
502800,57.91,312.7639404296875,635,791,-120.22904554999997,502910,8684,0.001,0.52,4126.112457275391
,57.86,,633,794,-120.21298709999999,502920,8685,,0.52,
502820,57.84,315.18775634765626,627,801,-120.20787726999998,502926,8686,0.001,0.52,4292.251080322266
502920,57.84,315.71929321289065,611,822,-121.09023305,503026,8687,0.001,0.52,3663.2322631835937
502940,57.0,306.7197204589844,607,827,-121.07034481000001,503042,8688,0.001,0.53,4018.611248779297
,57.02,,602,835,-121.13352270000001,503047,8689,,0.53,
503040,57.02,316.1839111328125,586,857,-122.33596850000002,503147,8690,0.001,0.53,4435.125775146485
,57.03,,584,860,-122.31940404000001,503159,8691,,0.53,
503140,57.95,319.925830078125,569,884,-122.73979416,503259,8692,0.001,0.52,4480.911460876465
503240,58.8,320.52463684082034,554,907,-123.20296103999999,503359,8693,0.001,0.51,4446.674499511719
503340,59.65,320.9412109375,540,932,-123.50660129999999,503459,8694,0.001,0.5,4483.179681396485
503440,59.65,315.2759704589844,527,953,-125.68622706999999,503559,8695,0.001,0.5,4354.548352050781
503460,59.6,316.2691345214844,525,957,-126.06236926,503572,8696,0.001,0.5,5098.390087890625
503480,59.74,318.5751678466797,518,971,-126.26264118,503595,8697,0.001,0.5,3860.826837158203
503500,58.91,314.5289276123047,515,977,-125.13988429,503612,8698,0.001,0.51,4487.196011352539
503600,59.69,326.4209777832031,498,1010,-126.24528145999999,503712,8699,0.001,0.5,3542.499334716797
,59.7,,492,1023,-126.24523700999998,503718,8700,,0.5,
,59.27,,491,1025,-126.07708128999998,503720,8701,,0.5,
503620,58.65,318.8085510253906,486,1034,-125.46807971999999,503740,8702,0.001,0.5,3596.873336791992
503640,58.65,320.67730102539065,486,1036,-125.46795441999998,503744,8703,0.001,0.5,4255.8792922973635
503740,59.46,314.2251953125,473,1063,-126.32063915999998,503844,8704,0.001,0.49,3955.2274169921875
,59.41,,472,1066,-126.0852778,503849,8705,,0.49,
503840,59.41,313.4181640625,464,1086,-125.53021300999998,503949,8706,0.001,0.49,5365.329260253906
,59.38,,463,1088,-125.16208396000002,503955,8707,,0.49,
503940,59.38,319.303759765625,455,1106,-123.22248041,504055,8708,0.001,0.49,4103.034826660156
503960,58.51,320.28247985839846,451,1116,-122.51073378,504068,8709,0.001,0.5,3233.2184326171873
504020,58.79,315.9238647460937,444,1133,-122.64327278,504123,8710,0.001,0.5,3983.7795440673826
,58.79,,443,1136,-122.69744813000001,504130,8711,,0.5,
,57.87,,442,1139,-121.65865254,504138,8712,,0.51,
504120,58.56,318.8564971923828,431,1169,-122.07854052,504238,8713,0.001,0.5,3758.914225769043
504220,58.56,318.96148681640625,426,1183,-126.70800532999999,504338,8714,0.001,0.5,3825.9636322021483
504320,58.56,319.5320129394531,414,1216,-121.64024669999999,504438,8715,0.001,0.5,5070.508078002929
504420,59.36,320.4014526367188,405,1243,-122.04519064999998,504538,8716,0.001,0.49,5373.916796875
504520,59.36,316.5928588867188,396,1273,-121.09753258999999,504638,8717,0.001,0.49,3019.4512054443358
504540,58.99,320.23492431640625,395,1275,-120.38057587999998,504641,8718,0.001,0.49,4098.1183456420895
504640,59.93,317.5914001464844,384,1312,-121.19934836999997,504741,8719,0.001,0.48,3708.2724853515624
504660,60.21,320.74440002441406,381,1321,-121.56620086999999,504772,8720,0.001,0.48,5136.898217773438
504760,61.15,319.7034881591797,371,1359,-126.94770809999999,504872,8721,0.001,0.47,3287.3127822875977
504780,60.38,317.28753967285155,368,1371,-122.01315808999998,504895,8722,0.001,0.48,4179.477867126465
504880,60.27,316.89793395996094,362,1394,-121.82195192999998,504984,8723,0.001,0.49,3734.3358489990233
,59.3,,361,1395,-120.70458452999998,504987,8724,,0.5,
504980,59.3,316.1492645263672,351,1437,-120.72151661999999,505087,8725,0.001,0.5,4546.302522277832
,58.35,,351,1438,-115.63559749,505092,8726,,0.51,
,57.43,,348,1451,-113.55020689000001,505100,8727,,0.52,
505080,57.43,320.03639831542966,343,1471,-113.36925885000001,505200,8728,0.001,0.52,4690.398522949219
505180,58.29,317.67314453125,338,1494,-113.93652594,505300,8729,0.001,0.51,4680.990049743652
505200,57.34,320.1466552734375,337,1496,-113.38786654999998,505305,8730,0.001,0.52,3336.1501022338866
,56.46,,336,1501,-110.67945437999998,505317,8731,,0.53,
505300,56.46,323.9884918212891,330,1529,-110.90421780999999,505417,8732,0.001,0.53,2561.0074569702147
505320,56.38,317.8999084472656,329,1531,-110.49875571999998,505423,8733,0.001,0.53,4077.276461791992
505420,56.38,321.6621032714844,325,1555,-107.20486385999999,505523,8734,0.001,0.53,4394.345590209961
,56.35,,322,1565,-106.76964709999999,505535,8735,,0.53,
505520,56.35,317.7524139404297,315,1602,-101.99506137999998,505635,8736,0.001,0.53,3524.742816162109
,55.4,,314,1605,-100.68562489,505640,8737,,0.54,
505560,55.38,319.81932373046874,312,1616,-100.14727001,505670,8738,0.001,0.54,4323.766333007812
,55.33,,311,1625,-100.65047194,505680,8739,,0.54,
505660,55.33,313.9386932373047,305,1656,-100.23813643000001,505780,8740,0.001,0.54,4598.106329345703
505760,56.21,318.15904235839844,299,1687,-100.91213499000001,505880,8741,0.001,0.53,3293.6064697265624
505860,56.21,317.0669281005859,294,1716,-100.84745419000001,505980,8742,0.001,0.53,4273.631896972656
505960,56.21,315.60321655273435,289,1750,-95.97786659000002,506080,8743,0.001,0.53,3915.015802001953
505980,55.25,318.6809783935547,288,1754,-91.62024054000001,506084,8744,0.001,0.54,3783.673193359375
506080,55.25,318.0002777099609,282,1793,-90.56112809000003,506184,8745,0.001,0.54,4594.000050354004
,54.38,,281,1798,-85.41237074000003,506197,8746,,0.55,
506100,54.3,320.18858947753904,280,1802,-84.89044084000001,506208,8747,0.001,0.55,4250.0681640625
,53.39,,280,1806,-83.92852475000001,506217,8748,,0.56,
506200,53.39,320.56438903808595,274,1844,-82.34677031999999,506317,8749,0.001,0.56,3633.1976821899416
506220,53.41,318.69602355957034,274,1846,-82.4408965,506323,8750,0.001,0.56,3992.6773788452147
,53.17,,273,1850,-82.21362983,506334,8751,,0.56,
506320,53.17,318.7379913330078,269,1879,-79.16512644000001,506434,8752,0.001,0.56,3619.796224975586
506340,52.24,317.6353698730469,269,1881,-78.53758877,506441,8753,0.001,0.57,4702.298236083984
506440,52.24,315.2965789794922,264,1914,-74.23234587,506541,8754,0.001,0.57,5883.407691955566
506540,52.24,311.5574462890625,260,1946,-71.00337885,506641,8755,0.001,0.57,5793.922259521484
,51.76,,259,1948,-69.41099408,506649,8756,,0.57,
506560,51.52,316.53485412597655,259,1955,-69.38928981,506667,8757,0.001,0.57,3521.2846801757814
506660,51.52,314.85254821777346,254,1988,-66.17884512,506767,8758,0.001,0.57,5319.662243652344
,51.52,,254,1991,-66.27877569,506772,8759,,0.57,
506680,51.62,316.73964233398436,253,1996,-66.39927953,506787,8760,0.001,0.57,5561.98588256836
506780,51.62,313.53782043457034,248,2038,-63.56183748,506887,8761,0.001,0.57,4323.266604614258
506880,51.62,316.7530029296875,244,2072,-63.459346530000005,506987,8762,0.001,0.57,3522.137805175781
506980,51.62,315.27166137695315,241,2102,-65.10329067000002,507087,8763,0.001,0.57,3544.5491943359375
507000,51.12,313.7940734863281,240,2110,-64.77176966,507107,8764,0.001,0.57,4460.6635070800785
507100,52.08,316.5393981933594,236,2143,-65.46623072,507207,8765,0.001,0.56,4314.610292053223
507200,52.81,319.2959320068359,233,2176,-64.7904623,507307,8766,0.001,0.55,4215.742602539062
,51.93,,232,2180,-59.60949325000001,507319,8767,,0.56,
507220,51.86,316.1853088378906,232,2183,-59.394587250000015,507326,8768,0.001,0.56,4080.487777709961
,51.14,,232,2185,-59.17663638000001,507331,8769,,0.56,
,51.13,,231,2189,-59.22534097,507335,8770,,0.56,
507320,51.13,320.95579528808594,229,2210,-55.97136162000001,507435,8771,0.001,0.56,3864.727502441406
507340,50.2,313.2414611816406,229,2213,-55.4367253,507442,8772,0.001,0.57,6024.338531494141
507440,50.2,315.0713623046875,227,2230,-59.432123270000005,507542,8773,0.001,0.57,4857.324597167969
507540,51.06,316.54913635253905,224,2263,-60.12736000000001,507642,8774,0.001,0.56,5149.708966064453
,51.05,,223,2270,-59.86908164000001,507647,8775,,0.56,
507640,52.02,317.13519592285155,221,2296,-60.44324761000001,507747,8776,0.001,0.55,3631.606265258789
507660,52.14,318.4540313720703,220,2302,-60.366296070000004,507770,8777,0.001,0.55,4491.729238891601
507700,51.49,312.582666015625,219,2313,-60.168929790000014,507805,8778,0.001,0.56,3747.717108154297
,50.55,,218,2325,-58.84660029,507811,8779,,0.57,
507720,50.62,308.978857421875,217,2331,-59.003082160000005,507830,8780,0.001,0.57,5422.739538574218
507740,49.87,317.3925262451172,217,2337,-58.774943930000006,507855,8781,0.001,0.58,3692.855778503418
507840,50.75,316.4131195068359,215,2360,-58.9510061,507955,8782,0.001,0.57,3791.6526458740236
507940,51.62,317.84247131347655,213,2381,-59.69001558,508055,8783,0.001,0.56,4752.82731628418
507960,51.51,317.7463104248047,212,2385,-59.71308627000001,508061,8784,0.001,0.56,3820.5587936401366
507980,51.67,320.68775634765626,212,2393,-60.29783187,508087,8785,0.001,0.56,4232.031338500977
508080,52.61,316.9422546386719,210,2412,-60.58449011,508187,8786,0.001,0.55,4821.129504394531
508180,52.61,318.85040588378905,208,2440,-60.76472112,508287,8787,0.001,0.55,4830.328170776367
508280,53.45,317.7364837646484,205,2477,-60.89255745,508387,8788,0.001,0.54,3854.063626098633
508300,53.57,320.9743682861328,204,2485,-61.24525008,508404,8789,0.001,0.54,3838.608837890625
,52.66,,204,2488,-58.64346201,508413,8790,,0.55,
508320,52.64,318.9424621582031,204,2491,-58.561757500000006,508423,8791,0.001,0.55,5023.162268066406
