time/total timesteps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,rollout/success rate,time/episodes,train/n_updates,time/time_elapsed,train/critic_loss,train/actor_loss
600100,0.001,51.05,-60.491435079999995,22221,0.58,10542,599980,27,5670.0206848144535,306.25172119140626
600109,0.001,51.06,-60.58138697000001,19641,0.58,10543,600000,30,5097.468804931641,319.7113555908203
600209,0.001,52.01,-61.441743939999995,10057,0.57,10544,600100,59,5755.408770751953,308.9156219482422
600217,,51.09,-60.83231503,9642,0.58,10545,,62,,
600252,0.001,51.32,-62.07079438000001,8368,0.58,10546,600140,71,5324.2574462890625,309.64532775878905
600352,0.001,51.32,-61.867118680000004,5878,0.58,10547,600240,102,5818.362600708007,312.00176391601565
600452,0.001,51.32,-65.70822456,4543,0.58,10548,600340,132,4545.060162353516,308.9861602783203
600465,0.001,50.45,-65.3055543,4205,0.59,10549,600360,142,5053.98511352539,306.67896728515626
600565,0.001,50.59,-63.43393503,3451,0.58,10550,600460,173,6523.59677734375,307.8812561035156
600571,,50.48,-63.22923265999999,3406,0.58,10551,,176,,
600579,,50.2,-63.05794208,3346,0.58,10552,,179,,
600679,0.001,51.08,-63.47473717999999,2974,0.57,10553,600560,201,4468.817456054688,311.44066162109374
600685,0.001,51.0,-62.85320194999999,2940,0.57,10554,600580,204,3609.2479248046875,311.2637634277344
600712,0.001,51.15,-62.58514311999999,2859,0.57,10555,600600,210,4170.698544311524,309.1901611328125
600716,,50.19,-61.92810337,2834,0.58,10556,,211,,
600816,0.001,50.19,-61.77259308,2428,0.58,10557,600700,247,5090.134661865234,309.3274780273438
600828,0.001,50.19,-62.074902650000006,2390,0.58,10558,600720,251,4358.346685791015,311.2159912109375
600928,0.001,51.15,-62.62601293000001,2091,0.57,10559,600820,287,4304.244790649414,307.4465270996094
601028,0.001,51.15,-61.85706103,1941,0.57,10560,600920,309,5205.859405517578,306.19338073730466
601039,,51.18,-61.982238429999995,1918,0.57,10561,,313,,
601044,0.001,51.01,-61.82958616999999,1905,0.57,10562,600940,315,4695.124732971191,313.01442565917966
601047,,50.64,-60.39313105000001,1894,0.57,10563,,317,,
601050,,49.67,-59.54471421,1887,0.58,10564,,318,,
601150,0.001,50.6,-62.188518140000006,1743,0.57,10565,601040,344,4755.592224121094,314.9122589111328
601250,0.001,50.6,-60.30857476,1611,0.57,10566,601140,373,4091.845346069336,314.32887268066406
601325,0.001,50.35,-57.114733560000005,1506,0.58,10567,601220,399,4435.585369873047,312.21185302734375
601334,,50.33,-57.12081851000001,1494,0.58,10568,,402,,
