time/fps,rollout/ep_len_mean,train/critic_loss,train/actor_loss,rollout/success rate,train/learning_rate,train/n_updates,rollout/ep_rew_mean,time/total timesteps,time/time_elapsed,time/episodes
3,100.0,0.027614252734929325,2.4321312427520754,0.0,0.001,280,-170.367291,400,104,4
4,100.0,0.09725142810493707,3.581445240974426,0.0,0.001,680,-158.62162775000002,800,193,8
4,100.0,0.25091329170390964,4.635850954055786,0.0,0.001,1080,-152.64606175000003,1200,277,12
4,100.0,0.5329884327948093,5.910277462005615,0.0,0.001,1480,-151.72752674999998,1600,354,16
4,100.0,0.5260666454210877,6.976067399978637,0.0,0.001,1880,-149.70392135,2000,449,20
4,100.0,0.5371324490755797,8.118606567382812,0.0,0.001,2280,-150.07684316666666,2400,557,24
4,100.0,1.2401145741343498,9.246672344207763,0.0,0.001,2680,-147.74737410714283,2800,645,28
4,100.0,2.0637459598481653,10.037207508087159,0.0,0.001,3080,-144.84271646874998,3200,733,32
4,100.0,2.9799291744828222,10.907911396026611,0.0,0.001,3480,-143.2386055,3600,854,36
4,100.0,2.9135585874319077,11.93953342437744,0.0,0.001,3880,-142.1037903,4000,964,40
4,100.0,2.904926525056362,12.89244270324707,0.0,0.001,4280,-141.04248809090907,4400,1043,44
4,100.0,4.094193720817566,13.777647304534913,0.0,0.001,4680,-140.36832024999998,4800,1117,48
4,100.0,4.91630115956068,14.663382053375244,0.0,0.001,5080,-141.46751023076922,5200,1192,52
4,100.0,3.4697195813059807,15.89136037826538,0.0,0.001,5480,-142.77776626785712,5600,1271,56
4,100.0,5.728961679339409,16.678348731994628,0.0,0.001,5880,-142.65642523333332,6000,1345,60
4,100.0,2.605272176861763,17.59462966918945,0.0,0.001,6280,-142.836732125,6400,1461,64
4,100.0,7.267457196116448,17.996510696411132,0.0,0.001,6680,-140.8313277205882,6800,1587,68
4,100.0,6.123615026473999,19.049836540222167,0.0,0.001,7080,-138.9363264861111,7200,1709,72
4,100.0,5.924453377723694,19.800753593444824,0.0,0.001,7480,-138.51941880263158,7600,1796,76
4,100.0,8.26537820994854,20.085623741149902,0.0,0.001,7880,-137.722088375,8000,1898,80
4,100.0,8.22514990568161,20.616680526733397,0.0,0.001,8280,-137.14281017857144,8400,2058,84
4,100.0,11.473065382242202,21.503538131713867,0.0,0.001,8680,-136.860531875,8800,2164,88
4,100.0,13.680630454421044,22.586369895935057,0.0,0.001,9080,-136.8807351847826,9200,2264,92
4,100.0,8.289718914031983,23.523944091796874,0.0,0.001,9480,-137.44501458333332,9600,2348,96
4,100.0,10.030168199539185,24.040367317199706,0.0,0.001,9880,-137.04991773999998,10000,2429,100
4,100.0,12.329845643043518,24.815846824645995,0.0,0.001,10280,-135.81024799,10400,2515,104
4,100.0,16.466658532619476,25.529925537109374,0.0,0.001,10680,-135.27462417999996,10800,2607,108
4,100.0,15.239327561855315,26.267296981811523,0.0,0.001,11080,-134.68138145999998,11200,2748,112
4,100.0,14.980896055698395,26.803765487670898,0.0,0.001,11480,-133.81041711,11600,2857,116
4,100.0,11.165382081270218,27.654656219482423,0.0,0.001,11880,-133.10288544,12000,2956,120
4,100.0,12.805135661363602,27.685138702392578,0.0,0.001,12280,-132.58773885,12400,3065,124
4,100.0,18.401897716522218,28.340377616882325,0.0,0.001,12680,-132.7406909,12800,3153,128
4,100.0,17.067044186592103,29.407740783691406,0.0,0.001,13080,-133.16584677000003,13200,3286,132
4,100.0,13.530048835277558,29.27051696777344,0.0,0.001,13480,-133.98788962,13600,3378,136
4,100.0,25.957673048973085,30.701494026184083,0.0,0.001,13880,-134.08760788,14000,3473,140
4,100.0,23.981097745895386,31.204836654663087,0.0,0.001,14280,-134.47600928,14400,3571,144
4,100.0,19.860891127586363,31.08093090057373,0.0,0.001,14680,-134.66080201,14800,3679,148
4,100.0,21.323984158039092,32.49971446990967,0.0,0.001,15080,-133.55143646,15200,3790,152
3,100.0,17.37653535604477,32.863362312316895,0.0,0.001,15480,-131.97830156,15600,3906,156
3,100.0,19.776358246803284,33.268822479248044,0.0,0.001,15880,-131.49193736,16000,4010,160
3,100.0,28.182982158660888,33.5637752532959,0.0,0.001,16280,-131.33183683,16400,4142,164
3,100.0,20.76643854379654,34.00447387695313,0.0,0.001,16680,-132.01067966,16800,4247,168
3,100.0,32.11303825378418,35.03450241088867,0.0,0.001,17080,-133.33583695999997,17200,4343,172
3,100.0,25.897629284858702,35.61490325927734,0.0,0.001,17480,-132.43211714999998,17600,4438,176
3,100.0,31.917633175849915,36.07705535888672,0.0,0.001,17880,-131.90619829000002,18000,4548,180
3,100.0,32.33252965211868,36.490692138671875,0.0,0.001,18280,-132.78310353,18400,4628,184
3,100.0,35.42441639900208,37.07610168457031,0.0,0.001,18680,-132.45662351000001,18800,4718,188
3,100.0,33.38948690891266,37.223614883422854,0.0,0.001,19080,-133.00914200999998,19200,4802,192
3,100.0,32.627998328208925,37.83458366394043,0.0,0.001,19480,-131.69661438,19600,4915,196
3,100.0,25.753410232067107,38.78598289489746,0.0,0.001,19880,-131.73371794,20000,5019,200
3,100.0,24.739057433605193,39.42403144836426,0.0,0.001,20280,-130.87923219,20400,5137,204
3,100.0,38.38369668722153,39.63465461730957,0.0,0.001,20680,-130.72947704999999,20800,5247,208
3,100.0,32.08633630275726,40.30584373474121,0.0,0.001,21080,-130.57957928999997,21200,5354,212
3,100.0,47.55163912773132,40.98058547973633,0.0,0.001,21480,-130.84111815999998,21600,5438,216
3,100.0,25.92660822868347,41.31430435180664,0.0,0.001,21880,-131.38677546,22000,5555,220
3,100.0,28.604358673095703,42.27102966308594,0.0,0.001,22280,-131.18117805,22400,5658,224
3,100.0,43.45992286205292,42.70866775512695,0.0,0.001,22680,-130.88286297,22800,5746,228
3,100.0,52.48513834476471,42.73927764892578,0.0,0.001,23080,-130.40484984,23200,5854,232
3,100.0,46.853364896774295,43.59750175476074,0.0,0.001,23480,-129.64156164999997,23600,5991,236
3,100.0,52.72464301586151,44.15107765197754,0.0,0.001,23880,-129.98730852999998,24000,6106,240
3,100.0,35.003752732276915,44.72415351867676,0.0,0.001,24280,-129.71220032000002,24400,6227,244
3,100.0,51.561067366600035,45.18682670593262,0.0,0.001,24680,-128.35293825,24800,6336,248
3,100.0,39.35467090606689,45.71274261474609,0.0,0.001,25080,-126.40345918999999,25200,6469,252
3,100.0,34.23702480792999,45.90853729248047,0.0,0.001,25480,-126.64106138000001,25600,6586,256
3,100.0,40.658564352989195,46.18909606933594,0.0,0.001,25880,-124.92819308,26000,6756,260
3,100.0,46.634665393829344,46.970551300048825,0.0,0.001,26280,-124.03873425,26400,6858,264
3,100.0,57.80016686916351,47.71239585876465,0.0,0.001,26680,-123.29865708,26800,6981,268
3,100.0,51.954245233535765,47.490621185302736,0.0,0.001,27080,-122.19610504,27200,7097,272
3,100.0,41.553055834770205,48.25232582092285,0.0,0.001,27480,-121.61154605,27600,7229,276
3,100.0,33.83963241577148,48.71723899841309,0.0,0.001,27880,-122.91372245999999,28000,7305,280
3,100.0,59.48280577659607,49.805778884887694,0.0,0.001,28280,-122.05188712999998,28400,7438,284
3,100.0,55.35642352104187,49.79857978820801,0.0,0.001,28680,-121.02439641999997,28800,7550,288
3,100.0,55.97548186779022,50.07301635742188,0.0,0.001,29080,-119.68671883,29200,7690,292
3,100.0,61.16498892307281,50.28615837097168,0.0,0.001,29480,-119.83962202999997,29600,7800,296
3,100.0,47.21003758907318,50.84156455993652,0.0,0.001,29880,-119.46924728000002,30000,7902,300
3,100.0,34.23449242115021,51.368228149414065,0.0,0.001,30280,-118.65868770000002,30400,8058,304
3,100.0,50.36768493652344,52.11739387512207,0.0,0.001,30680,-118.21180268999998,30800,8158,308
3,100.0,75.98891818523407,52.3080696105957,0.0,0.001,31080,-117.99137186999998,31200,8281,312
3,100.0,68.98684198856354,52.79698219299316,0.0,0.001,31480,-116.84517274000001,31600,8418,316
3,100.0,62.71546850204468,53.5427963256836,0.0,0.001,31880,-115.94769219,32000,8534,320
3,100.0,51.59805114269257,53.88090629577637,0.0,0.001,32280,-115.20178628,32400,8654,324
3,100.0,68.76225583553314,54.55891723632813,0.0,0.001,32680,-114.77121779,32800,8786,328
3,100.0,68.4951310634613,54.99208030700684,0.0,0.001,33080,-114.52605977000002,33200,8889,332
3,100.0,63.50063633918762,55.02416763305664,0.0,0.001,33480,-113.95383229000002,33600,9012,336
3,100.0,72.56294898986816,55.46806411743164,0.0,0.001,33880,-113.04671111000002,34000,9126,340
3,100.0,57.53769035339356,56.295356369018556,0.0,0.001,34280,-114.10137746000002,34400,9227,344
3,100.0,73.48930225372314,57.3029182434082,0.0,0.001,34680,-115.24438495999999,34800,9332,348
3,100.0,88.07204029560089,57.370967102050784,0.0,0.001,35080,-117.30769494999998,35200,9440,352
3,100.0,74.85075914859772,57.7445011138916,0.0,0.001,35480,-116.41113940999999,35600,9571,356
3,100.0,85.22158579826355,58.290977478027344,0.0,0.001,35880,-118.43204892999998,36000,9683,360
3,100.0,67.72207193374634,58.95825462341308,0.0,0.001,36280,-117.07103097999999,36400,9803,364
3,100.0,76.44252138137817,58.00971565246582,0.0,0.001,36680,-117.76980658000001,36800,9903,368
3,100.0,72.44226942062377,59.4936019897461,0.0,0.001,37080,-118.04270023,37200,10034,372
3,100.0,84.40899868011475,59.526428604125975,0.0,0.001,37480,-118.82523906,37600,10145,376
3,100.0,79.37068552970887,60.795955657958984,0.0,0.001,37880,-118.42661973999999,38000,10281,380
3,100.0,53.555800914764404,61.58306541442871,0.0,0.001,38280,-117.73511235999999,38400,10403,384
3,100.0,76.04927806854248,61.89585723876953,0.0,0.001,38680,-117.99236702,38800,10512,388
3,100.0,63.67673025131226,62.791429138183595,0.0,0.001,39080,-117.55738594,39200,10617,392
3,100.0,97.77507848739624,62.55293083190918,0.0,0.001,39480,-117.63464816000001,39600,10716,396
3,100.0,90.3181902885437,63.175494003295896,0.0,0.001,39880,-117.47262398000001,40000,10822,400
3,100.0,100.31131000518799,63.078673934936525,0.0,0.001,40280,-118.75280935999999,40400,10910,404
3,100.0,94.49568901062011,63.980035400390626,0.0,0.001,40680,-118.15371645,40800,11020,408
3,100.0,74.4374858379364,64.03360939025879,0.0,0.001,41080,-118.22879191000001,41200,11136,412
3,100.0,93.77938227653503,65.40968627929688,0.0,0.001,41480,-118.78658963000002,41600,11250,416
