time/total timesteps,train/actor_loss,rollout/success rate,time/time_elapsed,time/episodes,train/critic_loss,train/n_updates,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean,time/fps
100400,116.8349983215332,0.0,103,1004,266.04447116851804,100280,-122.67527256000001,0.001,100.0,967
100800,116.08133087158203,0.0,195,1008,361.99281272888186,100680,-123.48849096999999,0.001,100.0,516
101200,116.39356307983398,0.0,305,1012,276.7392467498779,101080,-123.43302529999995,0.001,100.0,331
101600,116.31365051269532,0.0,418,1016,257.7965255737305,101480,-123.75925248,0.001,100.0,242
102000,117.45093536376953,0.0,525,1020,362.9872257232666,101880,-125.11708906999998,0.001,100.0,194
102400,116.98121643066406,0.0,604,1024,213.82493314743041,102280,-124.74558171000001,0.001,100.0,169
102800,118.0180549621582,0.0,705,1028,243.23065032958985,102680,-125.50822382999999,0.001,100.0,145
103200,117.874560546875,0.0,817,1032,185.27057523727416,103080,-125.2830774,0.001,100.0,126
103600,117.92809448242187,0.0,923,1036,279.498250579834,103480,-126.02396849000003,0.001,100.0,112
104000,118.18772659301757,0.0,1026,1040,225.41432514190674,103880,-126.90336651,0.001,100.0,101
104400,120.25509643554688,0.0,1119,1044,199.0119164466858,104280,-127.32645567000002,0.001,100.0,93
104800,118.73616333007813,0.0,1231,1048,221.33196029663085,104680,-128.91889857,0.001,100.0,85
105200,118.84050827026367,0.0,1339,1052,341.4787380218506,105080,-129.26005272000003,0.001,100.0,78
105600,121.64698104858398,0.0,1412,1056,221.71133708953857,105480,-129.33671300000003,0.001,100.0,74
106000,119.34768600463867,0.0,1501,1060,311.9503363609314,105880,-129.289445,0.001,100.0,70
106400,120.66752700805664,0.0,1591,1064,365.2886902809143,106280,-129.70834379000001,0.001,100.0,66
106800,119.68170318603515,0.0,1685,1068,247.66785640716552,106680,-128.87977639000002,0.001,100.0,63
107200,120.48797302246093,0.0,1772,1072,294.6617008209229,107080,-130.60504892999998,0.001,100.0,60
107600,120.21218719482422,0.0,1854,1076,373.64695472717284,107480,-130.20012529,0.001,100.0,58
108000,121.81731567382812,0.0,1949,1080,293.7131956100464,107880,-131.4065284,0.001,100.0,55
108400,121.55064315795899,0.0,2034,1084,434.965239906311,108280,-131.33557323000002,0.001,100.0,53
108800,122.35127563476563,0.0,2131,1088,281.04219551086425,108680,-131.71371295999998,0.001,100.0,51
109200,123.21080322265625,0.0,2233,1092,241.10958271026612,109080,-132.10139742,0.001,100.0,48
