rollout/ep_rew_mean,rollout/success rate,time/fps,train/learning_rate,train/actor_loss,time/total timesteps,time/episodes,train/n_updates,time/time_elapsed,train/critic_loss,rollout/ep_len_mean
-115.67401315000001,0.0,3184,0.001,130.44783401489258,300400,3004,300280,94,382.5465545654297,100.0
-115.72979704000004,0.0,1524,0.001,130.4869369506836,300800,3008,300680,197,448.9544836997986,100.0
-115.56763632,0.0,963,0.001,129.92316589355468,301200,3012,301080,312,309.6349270820618,100.0
-116.22296219,0.0,723,0.001,129.6627281188965,301600,3016,301480,417,319.802151966095,100.0
-116.62904850999998,0.0,578,0.001,129.75674057006836,302000,3020,301880,521,156.60464658737183,100.0
-114.28360227000002,0.0,476,0.001,129.70715942382813,302400,3024,302280,634,223.3835597038269,100.0
-112.17572119,0.0,406,0.001,128.25669479370117,302800,3028,302680,744,370.4701819419861,100.0
-112.0028236,0.0,352,0.001,128.7206771850586,303200,3032,303080,859,317.7021513938904,100.0
-112.50813711,0.0,320,0.001,127.95346221923828,303600,3036,303480,946,431.78159551620485,100.0
-112.35796725999998,0.0,290,0.001,128.45982055664064,304000,3040,303880,1045,213.3582618713379,100.0
-112.48255405,0.0,258,0.001,128.17864379882812,304400,3044,304280,1179,286.16136837005615,100.0
-111.47716852999999,0.0,236,0.001,126.86661758422852,304800,3048,304680,1288,480.62095069885254,100.0
-111.57960252999999,0.0,217,0.001,128.38598861694337,305200,3052,305080,1403,230.7151240348816,100.0
-110.70451902,0.0,204,0.001,127.72086105346679,305600,3056,305480,1491,426.21993856430055,100.0
-110.70854946,0.0,192,0.001,128.7872085571289,306000,3060,305880,1593,291.8601658821106,100.0
-112.25033157999998,0.0,182,0.001,128.75034942626954,306400,3064,306280,1683,328.0543609619141,100.0
-112.16120707,0.0,172,0.001,129.0640899658203,306800,3068,306680,1773,199.59898314476013,100.0
-112.05900307,0.0,163,0.001,128.28193435668945,307200,3072,307080,1876,407.1534999847412,100.0
-112.22602401999998,0.0,154,0.001,128.18099822998047,307600,3076,307480,1987,409.74501142501833,100.0
-112.75851415000001,0.0,146,0.001,128.26937561035157,308000,3080,307880,2103,270.2295190811157,100.0
-114.57391930999998,0.0,140,0.001,127.57627334594727,308400,3084,308280,2197,326.3185972213745,100.0
-113.96232255,0.0,134,0.001,127.82600402832031,308800,3088,308680,2297,354.20053634643557,100.0
-113.65108986,0.0,128,0.001,128.4677261352539,309200,3092,309080,2405,271.7698902606964,100.0
-113.09885734,0.0,123,0.001,128.80595703125,309600,3096,309480,2512,225.8533805847168,100.0
-115.30490528,0.0,119,0.001,129.85719528198243,310000,3100,309880,2602,212.0463179588318,100.0
-114.34207753000001,0.0,114,0.001,127.07940139770508,310400,3104,310280,2702,452.88906621932983,100.0
-114.65287695,0.0,111,0.001,127.40470275878906,310800,3108,310680,2776,360.68686990737916,100.0
-115.98885348,0.0,108,0.001,128.18318786621094,311200,3112,311080,2864,205.36892681121827,100.0
-115.20356237,0.0,105,0.001,128.02643432617188,311600,3116,311480,2958,220.27900552749634,100.0
-115.24975676,0.0,102,0.001,127.9682113647461,312000,3120,311880,3053,252.85279188156127,100.0
-117.40367647,0.0,99,0.001,127.17285385131837,312400,3124,312280,3133,338.7101253509521,100.0
-118.86154758999997,0.0,96,0.001,127.67201766967773,312800,3128,312680,3227,350.63893661499026,100.0
-119.69945277999999,0.0,94,0.001,126.7492286682129,313200,3132,313080,3327,350.1962299346924,100.0
-119.69160360000002,0.0,91,0.001,127.53311538696289,313600,3136,313480,3427,308.17315874099734,100.0
-119.33767847000001,0.0,89,0.001,126.56215591430664,314000,3140,313880,3525,260.8226691246033,100.0
-120.02104873999998,0.0,86,0.001,126.35511703491211,314400,3144,314280,3613,324.5134888648987,100.0
-120.19280676,0.0,84,0.001,125.76874389648438,314800,3148,314680,3712,435.4926573753357,100.0
-120.47106658999999,0.0,82,0.001,125.53057022094727,315200,3152,315080,3822,318.241841506958,100.0
-120.18050152999999,0.0,79,0.001,125.99854125976563,315600,3156,315480,3946,163.72698135375975,100.0
-120.53849736999999,0.0,77,0.001,125.19618072509766,316000,3160,315880,4056,374.8387872695923,100.0
-120.14129163999998,0.0,76,0.001,125.12417068481446,316400,3164,316280,4150,262.2815682411194,100.0
-120.41245371000001,0.0,74,0.001,124.92916107177734,316800,3168,316680,4244,256.0756449699402,100.0
-120.21978953000001,0.0,73,0.001,124.47464447021484,317200,3172,317080,4338,373.1792022705078,100.0
-120.28128498999999,0.0,71,0.001,125.6369857788086,317600,3176,317480,4444,238.69428129196166,100.0
-120.15786671,0.0,69,0.001,124.76451568603515,318000,3180,317880,4558,405.10459423065186,100.0
-118.40894625999998,0.0,68,0.001,124.59389572143554,318400,3184,318280,4664,297.4632528305054,100.0
-118.13771094000002,0.0,66,0.001,124.54167709350585,318800,3188,318680,4784,381.1177010536194,100.0
-118.32522974,0.0,64,0.001,125.15653457641602,319200,3192,319080,4914,266.74465589523317,100.0
-118.52471321000002,0.0,63,0.001,125.20744171142579,319600,3196,319480,5014,305.52967004776,100.0
-117.21074068000001,0.0,62,0.001,124.53696060180664,320000,3200,319880,5117,396.04604387283325,100.0
-118.62793715,0.0,61,0.001,125.36457061767578,320400,3204,320280,5223,213.99380140304567,100.0
-115.74090365999999,0.0,59,0.001,124.39116744995117,320800,3208,320680,5351,319.65047492980955,100.0
-114.43273394000002,0.0,59,0.001,124.49841537475587,321200,3212,321080,5443,426.4042302131653,100.0
-113.31914527999999,0.0,57,0.001,123.89701843261719,321600,3216,321480,5565,424.98214902877805,100.0
-112.19438712000002,0.0,56,0.001,122.40169525146484,322000,3220,321880,5675,509.0524658203125,100.0
-111.64276849,0.0,55,0.001,123.68405838012696,322400,3224,322280,5776,415.61398515701296,100.0
-112.15030796,0.0,54,0.001,123.10354766845703,322800,3228,322680,5870,476.44465894699096,100.0
-112.37102553999999,0.0,54,0.001,124.69256286621093,323200,3232,323080,5971,348.31327495574953,100.0
-111.63767509000002,0.0,53,0.001,124.7387908935547,323600,3236,323480,6072,294.7053784370422,100.0
-110.89764908000001,0.0,52,0.001,124.30671920776368,324000,3240,323880,6153,418.0020076751709,100.0
-110.88018538,0.0,51,0.001,124.7094596862793,324400,3244,324280,6268,354.1636848449707,100.0
-112.04068249000002,0.0,50,0.001,124.08510208129883,324800,3248,324680,6369,335.9062014579773,100.0
-111.56679613000001,0.0,50,0.001,124.30537872314453,325200,3252,325080,6470,318.6126884937286,100.0
-111.82218546,0.0,49,0.001,124.41533813476562,325600,3256,325480,6583,288.1275116920471,100.0
-110.04158245999999,0.0,48,0.001,124.18679580688476,326000,3260,325880,6705,327.81909294128417,100.0
-110.73100515999998,0.0,47,0.001,124.05307159423828,326400,3264,326280,6847,304.4096465110779,100.0
-109.64297959,0.0,46,0.001,124.56112823486328,326800,3268,326680,6957,313.79873113632203,100.0
-110.11757625999999,0.0,46,0.001,124.35614852905273,327200,3272,327080,7067,376.97570714950564,100.0
-107.65497211,0.0,45,0.001,122.8502799987793,327600,3276,327480,7193,404.1337872505188,100.0
-108.28159190000001,0.0,44,0.001,123.86249542236328,328000,3280,327880,7309,317.5751069068909,100.0
-110.16466233999999,0.0,44,0.001,123.73798980712891,328400,3284,328280,7413,332.1068357467651,100.0
-109.94212965000001,0.0,43,0.001,123.07534561157226,328800,3288,328680,7512,316.49137234687805,100.0
-109.91158585000001,0.0,43,0.001,123.33181686401367,329200,3292,329080,7617,277.8554521560669,100.0
-110.76610524000002,0.0,42,0.001,123.0380729675293,329600,3296,329480,7729,285.9272844314575,100.0
-111.35211076000002,0.0,42,0.001,122.82236404418946,330000,3300,329880,7842,372.89211759567263,100.0
-112.40821690999998,0.0,41,0.001,123.29809875488282,330400,3304,330280,7942,281.7187068939209,100.0
-114.44417548000001,0.0,41,0.001,123.14268493652344,330800,3308,330680,8039,351.1821575641632,100.0
-115.75278552,0.0,40,0.001,124.1955665588379,331200,3312,331080,8132,252.8135350704193,100.0
-116.26673112,0.0,40,0.001,123.58714599609375,331600,3316,331480,8225,312.5433943748474,100.0
-116.74770045999999,0.0,39,0.001,124.41058807373047,332000,3320,331880,8347,211.50946140289307,100.0
-115.95087575999997,0.0,39,0.001,123.34324417114257,332400,3324,332280,8450,287.22679166793824,100.0
-115.40314453,0.0,38,0.001,123.59590606689453,332800,3328,332680,8557,311.32073879241943,100.0
-114.49473510000001,0.0,38,0.001,123.94937744140626,333200,3332,333080,8673,234.31052174568177,100.0
-114.45072833000002,0.0,37,0.001,123.99021911621094,333600,3336,333480,8798,250.01782035827637,100.0
-114.85018182,0.0,37,0.001,124.20969772338867,334000,3340,333880,8887,296.2837224006653,100.0
-113.72150259,0.0,37,0.001,123.68328018188477,334400,3344,334280,8998,336.93641872406005,100.0
-112.79719640999998,0.0,36,0.001,123.07926635742187,334800,3348,334680,9130,334.5662449836731,100.0
-112.20930163999999,0.0,36,0.001,124.60801315307617,335200,3352,335080,9258,223.05772280693054,100.0
-112.30949541,0.0,35,0.001,123.21295776367188,335600,3356,335480,9354,448.74552688598635,100.0
-113.07539797999998,0.0,35,0.001,123.02368698120117,336000,3360,335880,9446,351.43276443481443,100.0
-114.10968112,0.0,35,0.001,123.56137161254883,336400,3364,336280,9518,334.64484748840334,100.0
-114.41827415000002,0.0,34,0.001,123.4598892211914,336800,3368,336680,9624,269.3517121315002,100.0
-114.83187835999999,0.0,34,0.001,122.95561599731445,337200,3372,337080,9723,373.6389708518982,100.0
-118.23082181,0.0,34,0.001,123.09687576293945,337600,3376,337480,9818,221.39971046447755,100.0
-116.54031476999998,0.0,34,0.001,122.66715621948242,338000,3380,337880,9931,342.08415784835813,100.0
-116.02929255,0.0,33,0.001,123.50994873046875,338400,3384,338280,10048,329.1303557395935,100.0
-115.22820611000002,0.0,33,0.001,122.69331817626953,338800,3388,338680,10157,319.89059658050536,100.0
-115.22113467000003,0.0,33,0.001,123.4408935546875,339200,3392,339080,10260,285.80150413513184,100.0
-115.65846896000001,0.0,32,0.001,123.76836013793945,339600,3396,339480,10348,308.4252882957459,100.0
-116.74207203,0.0,32,0.001,123.57900314331054,340000,3400,339880,10454,216.57389311790467,100.0
-114.33759497000001,0.0,32,0.001,122.13116073608398,340400,3404,340280,10578,250.33725900650023,100.0
-113.60627417000002,0.0,31,0.001,123.20197906494141,340800,3408,340680,10687,184.18264484405518,100.0
-111.66161125,0.0,31,0.001,121.67456893920898,341200,3412,341080,10818,430.68283023834226,100.0
-112.52040390000002,0.0,31,0.001,122.86568832397461,341600,3416,341480,10912,276.21366758346556,100.0
-112.21955308999998,0.0,31,0.001,122.78679046630859,342000,3420,341880,11017,211.03562717437745,100.0
-111.46367874999996,0.0,30,0.001,122.22782745361329,342400,3424,342280,11130,308.6345311164856,100.0
-111.05480451,0.0,30,0.001,121.75419311523437,342800,3428,342680,11256,334.35086860656736,100.0
-109.09785083000001,0.0,30,0.001,121.94847793579102,343200,3432,343080,11372,278.41098432540895,100.0
-110.97131856999998,0.0,29,0.001,122.13115615844727,343600,3436,343480,11458,271.7737508773804,100.0
-110.30431225999999,0.0,29,0.001,122.39408264160156,344000,3440,343880,11567,162.77830061912536,100.0
-111.23562238000002,0.0,29,0.001,122.17987365722657,344400,3444,344280,11672,210.82719144821166,100.0
-111.91916202,0.0,29,0.001,122.5377586364746,344800,3448,344680,11762,305.78020191192627,100.0
-112.6056904,0.0,29,0.001,122.04914169311523,345200,3452,345080,11851,213.59357199668884,100.0
-112.63485963,0.0,28,0.001,122.16516494750977,345600,3456,345480,11945,218.42673473358155,100.0
-112.48346336,0.0,28,0.001,121.53226699829102,346000,3460,345880,12055,277.67771196365356,100.0
-111.5880241,0.0,28,0.001,121.58930892944336,346400,3464,346280,12160,262.6242738723755,100.0
-111.06660142000001,0.0,28,0.001,121.62176666259765,346800,3468,346680,12271,393.51917295455934,100.0
-109.57211090999999,0.0,28,0.001,122.82299499511718,347200,3472,347080,12394,269.596240234375,100.0
-107.38769122,0.0,27,0.001,122.02914047241211,347600,3476,347480,12496,241.00011024475097,100.0
-110.13249968000002,0.0,27,0.001,121.75973663330078,348000,3480,347880,12602,412.9598203659058,100.0
-109.25845562000002,0.0,27,0.001,121.05733184814453,348400,3484,348280,12702,344.6352600097656,100.0
-108.51255783000002,0.0,27,0.001,122.44064636230469,348800,3488,348680,12818,232.13349504470824,100.0
-108.11195941999999,0.0,27,0.001,121.43229522705079,349200,3492,349080,12920,328.99857273101804,100.0
-107.10908240999997,0.0,26,0.001,121.05146713256836,349600,3496,349480,13035,250.83505921363832,100.0
-104.90980782999999,0.0,26,0.001,122.4274398803711,350000,3500,349880,13138,290.42799987792966,100.0
-105.05817302999998,0.0,26,0.001,122.57133102416992,350400,3504,350280,13242,210.90385208129882,100.0
-105.30533618999999,0.0,26,0.001,122.04123458862304,350800,3508,350680,13336,282.7128600120544,100.0
-107.22307957,0.0,26,0.001,121.05662155151367,351200,3512,351080,13450,430.58793449401855,100.0
-108.22019346,0.0,25,0.001,122.09063568115235,351600,3516,351480,13552,314.17751398086546,100.0
-107.46855819000002,0.0,25,0.001,120.6965835571289,352000,3520,351880,13657,332.98928756713866,100.0
-107.94558296,0.0,25,0.001,121.35386199951172,352400,3524,352280,13768,364.78861541748046,100.0
-107.64376315999998,0.0,25,0.001,122.4281005859375,352800,3528,352680,13868,327.7978979110718,100.0
-107.10642266999999,0.0,25,0.001,121.90054702758789,353200,3532,353080,13969,425.7178626060486,100.0
-105.37673201,0.0,25,0.001,121.38254470825196,353600,3536,353480,14091,295.33013620376585,100.0
-105.21187121999999,0.0,24,0.001,120.99308319091797,354000,3540,353880,14232,418.99562950134276,100.0
