train/n_updates,rollout/success rate,train/learning_rate,time/episodes,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total timesteps,train/critic_loss,time/fps
400280,0.0,0.001,4004,113.92923049926758,-96.72158146000004,102,100.0,400400,208.9003300666809,3892
400680,0.0,0.001,4008,113.50992965698242,-96.33921648000002,205,100.0,400800,264.121382856369,1946
401080,0.0,0.001,4012,114.72870788574218,-97.00011824,318,100.0,401200,214.89873843193055,1260
401480,0.0,0.001,4016,113.80923614501953,-96.10271592000001,447,100.0,401600,222.89148859977723,898
401880,0.0,0.001,4020,114.6199462890625,-95.87019514000002,542,100.0,402000,174.05048847198486,741
402280,0.0,0.001,4024,113.2555320739746,-93.99981509999999,643,100.0,402400,228.05507936477662,625
402680,0.0,0.001,4028,113.8491310119629,-94.77952934000001,730,100.0,402800,253.9871479988098,551
403080,0.0,0.001,4032,113.56321868896484,-95.78906294999999,835,100.0,403200,323.2975856781006,482
403480,0.0,0.001,4036,114.02948913574218,-95.19073128999997,931,100.0,403600,195.39320321083068,433
403880,0.0,0.001,4040,112.80496444702149,-96.06060482999999,1013,100.0,404000,357.8162971496582,398
404280,0.0,0.001,4044,112.4810173034668,-97.27080211999998,1120,100.0,404400,261.5107532501221,360
404680,0.0,0.001,4048,112.56155929565429,-98.41515747999998,1221,100.0,404800,232.20570502281188,331
405080,0.0,0.001,4052,112.87833099365234,-99.42581686000001,1308,100.0,405200,214.14457116127014,309
405480,0.0,0.001,4056,113.94211349487304,-100.12088245,1399,100.0,405600,172.8316900730133,289
405880,0.0,0.001,4060,112.83040771484374,-102.88794759000001,1489,100.0,406000,294.9052807331085,272
406280,0.0,0.001,4064,112.62188262939453,-102.13627813,1587,100.0,406400,268.04501304626467,255
406680,0.0,0.001,4068,113.01430053710938,-101.31605617000001,1696,100.0,406800,275.4068338394165,239
407080,0.0,0.001,4072,112.4167610168457,-101.23799264000002,1797,100.0,407200,246.61247005462647,226
407480,0.0,0.001,4076,112.08188858032227,-101.01796125999999,1897,100.0,407600,286.21780614852906,214
407880,0.0,0.001,4080,111.17081146240234,-100.25103996999998,1999,100.0,408000,302.9821226119995,204
408280,0.0,0.001,4084,111.43779296875,-100.82885869999998,2106,100.0,408400,337.8622863292694,193
408680,0.0,0.001,4088,112.15351638793945,-99.59671549,2223,100.0,408800,275.6553197860718,183
409080,0.0,0.001,4092,111.39828186035156,-99.15037365,2347,100.0,409200,337.156418800354,174
409480,0.0,0.001,4096,111.93831787109374,-97.70260676000002,2447,100.0,409600,201.7870156288147,167
409880,0.0,0.001,4100,111.66925430297852,-97.92640772999998,2544,100.0,410000,339.08835926055906,161
410280,0.0,0.001,4104,111.65803985595703,-100.34502976999998,2667,100.0,410400,213.4944718360901,153
410680,0.0,0.001,4108,111.15038986206055,-102.60399610999998,2758,100.0,410800,299.2671594619751,148
411080,0.0,0.001,4112,111.95411987304688,-102.82448095000001,2865,100.0,411200,239.00262751579285,143
411480,0.0,0.001,4116,110.79875869750977,-102.81772670000001,2975,100.0,411600,240.0679750442505,138
411880,0.0,0.001,4120,110.76258163452148,-102.58720011999999,3086,100.0,412000,263.98315448760985,133
412280,0.0,0.001,4124,110.85927047729493,-104.61758779000002,3170,100.0,412400,252.41285972595216,130
412680,0.0,0.001,4128,111.11596755981445,-104.61679260999999,3292,100.0,412800,288.8899899959564,125
413080,0.0,0.001,4132,110.50586471557617,-105.15085204000003,3399,100.0,413200,245.45368247032167,121
413480,0.0,0.001,4136,110.58285827636719,-106.46842199999999,3487,100.0,413600,190.5795220375061,118
413880,0.0,0.001,4140,110.5916015625,-106.56597038000001,3579,100.0,414000,239.61416749954225,115
414280,0.0,0.001,4144,109.83969192504883,-105.65915073000002,3685,100.0,414400,256.6267867088318,112
414680,0.0,0.001,4148,111.5124641418457,-103.66333546000001,3835,100.0,414800,169.31916456222535,108
415080,0.0,0.001,4152,110.92405853271484,-101.92358293000001,3953,100.0,415200,246.10427441596985,105
415480,0.0,0.001,4156,109.89861755371093,-101.04364059000001,4046,100.0,415600,322.34867720603944,102
415880,0.0,0.001,4160,110.92593307495117,-99.53975464,4171,100.0,416000,289.84445157051084,99
416280,0.0,0.001,4164,109.92792205810547,-100.34547454,4281,100.0,416400,178.33855481147765,97
416680,0.0,0.001,4168,110.05554733276367,-98.87615100000001,4387,100.0,416800,193.2361617088318,95
417080,0.0,0.001,4172,109.86054382324218,-98.07374583,4505,100.0,417200,248.91188282966613,92
417480,0.0,0.001,4176,110.33248977661133,-98.77955818000001,4621,100.0,417600,297.07538347244264,90
417880,0.0,0.001,4180,109.34588394165038,-98.54238,4725,100.0,418000,282.22437715530396,88
418280,0.0,0.001,4184,109.29169616699218,-99.00949949,4816,100.0,418400,266.4453474998474,86
