time/fps,train/n_updates,train/learning_rate,rollout/success rate,time/episodes,train/critic_loss,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total timesteps
5155,500280,0.001,0.0,5004,207.3418565750122,90.03307647705078,-70.58500202,97,100.0,500400
2415,500680,0.001,0.0,5008,184.9585428237915,89.77175521850586,-70.21560289999998,207,100.0,500800
1725,501080,0.001,0.0,5012,126.73793454170227,90.48708419799804,-71.62048155,290,100.0,501200
1303,501480,0.001,0.0,5016,184.61971578598022,90.12103042602538,-73.06387564000002,384,100.0,501600
1046,501880,0.001,0.0,5020,168.25681250095369,89.78578643798828,-72.97334662,479,100.0,502000
887,502280,0.001,0.0,5024,160.38575978279113,90.08169097900391,-72.84172742,565,100.0,502400
740,502680,0.001,0.0,5028,156.0034592628479,89.48370132446288,-70.64308133,679,100.0,502800
639,503080,0.001,0.0,5032,166.57652978897096,89.17250900268554,-71.37013715,786,100.0,503200
570,503480,0.001,0.0,5036,167.65939784049988,89.60152435302734,-72.16171905999998,882,100.0,503600
521,503880,0.001,0.0,5040,123.76708326339721,89.7779167175293,-73.28148454000001,967,100.0,504000
469,504280,0.001,0.0,5044,136.08750028610228,89.92598419189453,-72.27907762,1074,100.0,504400
434,504680,0.001,0.0,5048,179.8810547351837,89.1453125,-74.63750270999999,1160,100.0,504800
399,505080,0.001,0.0,5052,178.6130683898926,89.33412170410156,-76.52339014,1263,100.0,505200
370,505480,0.001,0.0,5056,174.6125762462616,89.0478141784668,-74.84545162,1364,100.0,505600
347,505880,0.001,0.0,5060,129.66450052261354,89.35150909423828,-75.01821968999998,1457,100.0,506000
327,506280,0.001,0.0,5064,151.43804335594177,88.85602035522462,-73.1347724,1545,100.0,506400
308,506680,0.001,0.0,5068,146.1218240261078,88.88216094970703,-72.29438517,1644,100.0,506800
294,507080,0.001,0.0,5072,158.60996165275574,88.35126342773438,-74.08004191999999,1721,100.0,507200
280,507480,0.001,0.0,5076,234.33803343772888,87.43237686157227,-74.12633213999999,1810,100.0,507600
264,507880,0.001,0.0,5080,169.76331641674042,88.84734725952148,-74.71519067,1919,100.0,508000
253,508280,0.001,0.0,5084,168.90213613510133,88.67624282836914,-77.49802249000001,2005,100.0,508400
240,508680,0.001,0.0,5088,126.78082029819488,88.31772308349609,-77.51739477,2115,100.0,508800
229,509080,0.001,0.0,5092,202.5098421573639,87.86502685546876,-77.25294449,2217,100.0,509200
221,509480,0.001,0.0,5096,143.6471691608429,88.21780853271484,-78.92653182,2305,100.0,509600
213,509880,0.001,0.0,5100,96.33740875720977,88.53795318603515,-78.27200461000001,2388,100.0,510000
205,510280,0.001,0.0,5104,195.57153658866883,87.69484634399414,-76.91635930000001,2479,100.0,510400
198,510680,0.001,0.0,5108,151.3303590297699,87.30047988891602,-76.64076704000001,2575,100.0,510800
191,511080,0.001,0.0,5112,142.5977201461792,87.6617530822754,-75.7324007,2665,100.0,511200
185,511480,0.001,0.0,5116,173.2219997882843,87.1760986328125,-74.93598455,2763,100.0,511600
179,511880,0.001,0.0,5120,219.02141480445863,87.07062606811523,-76.03741507999999,2849,100.0,512000
174,512280,0.001,0.0,5124,168.99852821826934,87.01080322265625,-75.23368715000001,2942,100.0,512400
169,512680,0.001,0.0,5128,170.87602791786193,87.67229232788085,-76.73185363,3033,100.0,512800
