time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,train/clip_range,train/loss,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,train/entropy_loss,train/explained_variance,train/n_updates,train/learning_rate,train/value_loss
25,1,-565.60690732,99.61,200100,7911,,,,,,,,,,,
60,2,-564.7515641599999,99.61,200200,3318,0.2,2850.87646484375,-0.016064148835721426,0.16800000034272672,0.042056188,0.916397213935852,-7.9878538131713865,-0.014529824256896973,10000,0.0003,5719.9822265625
97,3,-565.2063697299999,99.61,200300,2051,0.2,2061.58203125,-0.0034478147521440406,0.18999999426305295,0.020648235,0.9163224697113037,-7.987322521209717,0.004112839698791504,10005,0.0003,4141.61796875
126,4,-565.23284012,99.61,200400,1584,0.2,2717.373291015625,0.00098481489058031,0.41399999260902404,0.10132485,0.9162375926971436,-7.986801052093506,-0.00043511390686035156,10010,0.0003,5446.27568359375
162,5,-564.87998942,99.61,200500,1233,0.2,3032.376220703125,-0.005142089672858674,0.23199999518692493,0.03916081,0.916170060634613,-7.9862871170043945,0.014648020267486572,10015,0.0003,6077.44521484375
191,6,-564.83337882,99.61,200600,1049,0.2,2563.542236328125,-0.007925083066220395,0.3439999930560589,0.07534884,0.9161579012870789,-7.985899543762207,0.009502291679382324,10020,0.0003,5131.78271484375
214,7,-564.5423234799999,99.61,200700,933,0.2,2461.736328125,-0.005533866507175844,0.16599999368190765,0.029398479,0.91618812084198,-7.986000061035156,-0.03396713733673096,10025,0.0003,4937.071875
255,8,-564.6973334500001,99.61,200800,785,0.2,2809.33203125,-0.008136756692101699,0.2559999920427799,0.027576169,0.9160306453704834,-7.985799407958984,-0.01919543743133545,10030,0.0003,5630.18671875
285,9,-564.7337417900002,99.61,200900,704,0.2,2791.829345703125,-0.007885867879667784,0.39999998211860655,0.12275643,0.9160463213920593,-7.984988975524902,0.012253284454345703,10035,0.0003,5585.59658203125
317,10,-564.3110374600001,99.61,201000,632,0.2,2939.521728515625,-0.007837752651539631,0.30199999958276746,0.045152757,0.9160625338554382,-7.985251331329346,-0.0030159950256347656,10040,0.0003,5893.87626953125
352,11,-564.8435092200001,99.61,201100,570,0.2,2576.430908203125,-0.009989889863936697,0.33799998462200165,0.06378908,0.9159412384033203,-7.985008239746094,-0.003003239631652832,10045,0.0003,5159.39228515625
