time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_len_mean,time/iterations,train/n_updates,train/loss,train/clip_range,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/learning_rate
26,-563.4112836899999,300100,11277,100.0,1,,,,,,,,,,,
59,-563.45223742,300200,5072,100.0,2,15000,3160.74658203125,0.2,-0.009731531143188477,0.016628647,0.8722590804100037,-7.692363357543945,-0.007168160479341168,6340.5994140625,0.2599999964237213,0.0003
88,-563.28771672,300300,3401,100.0,3,15005,3186.708251953125,0.2,0.00661623477935791,0.2152663,0.8721391558647156,-7.691075706481934,0.040142980813834585,6399.441015625,0.565999972820282,0.0003
109,-562.73903807,300400,2751,100.0,4,15010,2918.92724609375,0.2,-0.08700084686279297,0.8083781,0.8720852136611938,-7.69062614440918,0.10888324850820937,5925.343359375,0.6459999918937683,0.0003
131,-562.2412132200001,300500,2278,100.0,5,15015,2759.97412109375,0.2,-0.01518869400024414,0.03845154,0.8719393610954285,-7.690240669250488,-0.001659967321901945,5578.28935546875,0.2539999932050705,0.0003
163,-561.99803479,300600,1841,100.0,6,15020,2629.462158203125,0.2,-0.01406872272491455,0.0793715,0.8716874122619629,-7.688792514801025,-0.0005573073292907793,5283.9232421875,0.46799999475479126,0.0003
182,-561.64616572,300700,1643,100.0,7,15025,2448.43115234375,0.2,0.006517171859741211,0.060885075,0.8715137243270874,-7.687362289428711,0.005032194098430409,4891.8279296875,0.38599998950958253,0.0003
201,-561.4590086100001,300800,1496,100.0,8,15030,2519.810546875,0.2,0.006626784801483154,1.0641879,0.8712377548217773,-7.685683059692383,0.0709507291619957,5044.93251953125,0.709999966621399,0.0003
228,-561.2227602199999,300900,1317,100.0,9,15035,2476.853759765625,0.2,0.0018288493156433105,1.334013,0.8718694448471069,-7.686338424682617,0.06949753794069694,4954.29609375,0.7319999814033509,0.0003
251,-561.37262734,301000,1195,100.0,10,15040,2448.948486328125,0.2,0.006477236747741699,0.58007044,0.8726732730865479,-7.691222381591797,0.03498395982387592,4904.17802734375,0.677999985218048,0.0003
272,-561.1182990000001,301100,1104,100.0,11,15045,2783.701416015625,0.2,0.005372166633605957,0.1563052,0.8731767535209656,-7.6967168807983395,-0.0023527261248091234,5579.27724609375,0.5739999890327454,0.0003
301,-560.5984885000001,301200,998,100.0,12,15050,2552.818115234375,0.2,0.009248018264770508,7.4025006,0.8737082481384277,-7.699218082427978,0.20824812710288826,5103.25634765625,0.7719999790191651,0.0003
337,-560.36287715,301300,893,100.0,13,15055,2627.190185546875,0.2,-0.07981181144714355,2.336439,0.8742053508758545,-7.703564929962158,0.2584739762547542,5301.71796875,0.7399999976158143,0.0003
369,-560.24179914,301400,816,100.0,14,15060,3126.80126953125,0.2,-0.09483468532562256,0.30766302,0.8744916319847107,-7.706335067749023,0.0981114494803478,6286.2251953125,0.6199999809265136,0.0003
408,-559.6277986399999,301500,738,100.0,15,15065,2764.90625,0.2,0.008501768112182617,0.050538473,0.8746201395988464,-7.708049488067627,0.012928201671820716,5547.084375,0.3459999918937683,0.0003
435,-559.7388515099999,301600,693,100.0,16,15070,2582.473876953125,0.2,-0.003377079963684082,0.29777297,0.8745726943016052,-7.708311748504639,0.06870085108239436,5173.86220703125,0.6199999928474427,0.0003
465,-559.6685240499999,301700,647,100.0,17,15075,2654.750244140625,0.2,1.9788742065429688e-05,0.1198183,0.8747290372848511,-7.708446884155274,0.042052723139568114,5333.118359375,0.6139999747276306,0.0003
494,-559.56785179,301800,610,100.0,18,15080,2517.7353515625,0.2,0.04184603691101074,0.060101204,0.8745225667953491,-7.708941268920898,0.03277441901664133,5041.2216796875,0.5659999847412109,0.0003
530,-559.2265270299999,301900,569,100.0,19,15085,2919.5322265625,0.2,-0.008449077606201172,0.27036366,0.8741321563720703,-7.706490516662598,0.06303412586457853,5847.9138671875,0.6599999785423278,0.0003
563,-559.5842094,302000,535,100.0,20,15090,2762.73193359375,0.2,-0.031105518341064453,0.11778418,0.8739175796508789,-7.704097270965576,0.027493775025504874,5543.25859375,0.5039999842643738,0.0003
600,-559.56654764,302100,502,100.0,21,15095,2532.97802734375,0.2,-0.022439956665039062,0.1513394,0.8740260004997253,-7.703450107574463,0.006043165200389921,5085.7751953125,0.45399999618530273,0.0003
625,-559.9600487499999,302200,483,100.0,22,15100,2375.31787109375,0.2,-0.01447761058807373,0.029129364,0.8740941286087036,-7.7043023109436035,-0.013736451462318656,4757.50205078125,0.29199999272823335,0.0003
653,-559.6983048,302300,462,100.0,23,15105,2781.19775390625,0.2,0.009409725666046143,0.029275898,0.8741569519042969,-7.7045087814331055,-0.0029391697331448085,5568.18017578125,0.3759999930858612,0.0003
684,-559.5622302099999,302400,442,100.0,24,15110,2421.66015625,0.2,-0.00981152057647705,0.036102403,0.8743529319763184,-7.705382823944092,0.022697051404975355,4849.9814453125,0.5060000002384186,0.0003
718,-559.36892713,302500,421,100.0,25,15115,2769.968505859375,0.2,-0.013254165649414062,0.31339726,0.8747207522392273,-7.707213973999023,0.08161250406483304,5553.85166015625,0.6579999804496766,0.0003
