time/time_elapsed,train/critic_loss,train/std,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success rate,time/episodes,time/fps,train/learning_rate,time/total timesteps,train/ent_coef,rollout/ep_len_mean,train/n_updates
37,70.790283203125,0.05021017789840698,68.40908813476562,-407.39932180999995,-8.480607986450195,0.05,1020,2671,0.0003,100200,0.2239232212305069,96.94,5004
122,87.35162353515625,0.05021195858716965,68.90220642089844,-401.41109120999994,-9.106131553649902,0.05,1024,820,0.0003,100600,0.22279633581638336,96.94,5024
209,51.33427429199219,0.05020999163389206,68.974365234375,-398.34281563999997,-13.050175666809082,0.05,1028,482,0.0003,101000,0.22165484726428986,96.94,5044
305,38.633846282958984,0.05020648241043091,68.72444152832031,-397.20976281000003,-13.817253112792969,0.05,1032,332,0.0003,101400,0.2205193042755127,96.94,5064
401,37.18153381347656,0.0502040795981884,68.50405883789062,-390.53247405999997,-10.352155685424805,0.06,1036,253,0.0003,101781,0.21936488151550293,96.75,5084
490,72.56510925292969,0.050205495208501816,68.945068359375,-388.08528718999986,-10.300576210021973,0.06,1040,208,0.0003,102181,0.21830052137374878,96.75,5104
582,17.77442169189453,0.0502062551677227,69.291748046875,-387.53222533,-11.584177017211914,0.06,1044,176,0.0003,102581,0.21719695627689362,96.75,5124
676,77.96774291992188,0.05020444840192795,68.97408294677734,-382.44381592999997,-7.962544918060303,0.06,1048,152,0.0003,102981,0.2160644382238388,96.75,5144
777,73.85504913330078,0.05020686984062195,68.74317932128906,-378.73238306999997,-9.353377342224121,0.06,1052,133,0.0003,103381,0.2150387465953827,96.75,5164
883,23.738855361938477,0.050208501517772675,68.86943054199219,-379.0361529,-12.790900230407715,0.06,1056,117,0.0003,103781,0.21396170556545258,96.75,5184
990,19.659900665283203,0.05020981281995773,69.24063110351562,-385.69524843000005,-10.634668350219727,0.05,1060,105,0.0003,104181,0.21289625763893127,97.5,5204
1076,23.735612869262695,0.05020779371261597,67.745849609375,-385.19819177000005,-10.290675163269043,0.05,1064,97,0.0003,104581,0.21181078255176544,97.5,5224
1184,20.912899017333984,0.050207801163196564,70.1797866821289,-385.62508015,-10.781198501586914,0.04,1068,88,0.0003,104981,0.21075455844402313,98.12,5244
1269,37.4896240234375,0.05020466074347496,69.24055480957031,-387.19874437000004,-8.765646934509277,0.03,1072,83,0.0003,105381,0.20967431366443634,98.86,5264
1365,20.01910400390625,0.05020206421613693,69.77613067626953,-383.07056913,-7.666970252990723,0.04,1076,77,0.0003,105777,0.20869390666484833,98.82,5283
1476,18.732053756713867,0.05020282790064812,69.48751831054688,-380.73032106,-9.525336265563965,0.04,1080,71,0.0003,106177,0.20770354568958282,98.82,5303
1586,54.6295166015625,0.05020540952682495,69.276123046875,-377.61135562999993,-11.138326644897461,0.04,1084,67,0.0003,106577,0.20674921572208405,98.82,5323
1715,22.45909881591797,0.050202883780002594,69.42632293701172,-374.11503988000004,-8.089256286621094,0.04,1088,62,0.0003,106977,0.20573222637176514,98.82,5343
1849,107.16018676757812,0.050199802964925766,70.31520080566406,-374.25122247,-7.761868476867676,0.04,1092,58,0.0003,107377,0.20471762120723724,98.82,5363
1959,53.591495513916016,0.050197698175907135,70.09190368652344,-369.7020506,-11.700272560119629,0.04,1096,55,0.0003,107777,0.20373108983039856,98.82,5383
2096,41.071353912353516,0.05019582062959671,70.68560791015625,-370.0706324899999,-10.676850318908691,0.02,1100,51,0.0003,108177,0.20275510847568512,99.77,5403
2219,2.79671573638916,0.05019507557153702,70.39923095703125,-364.93232385999994,-8.37822437286377,0.02,1104,48,0.0003,108577,0.20180639624595642,99.77,5423
