train/learning_rate,time/time_elapsed,rollout/ep_len_mean,time/total timesteps,train/actor_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/critic_loss,train/n_updates,rollout/success rate
0.001,103,100.0,400,6.94526777267456,4,3,-523.3480235000001,0.643578615784645,280,0.0
0.001,183,96.5,772,9.043695449829102,8,4,-488.55320925,2.257870230078697,660,0.125
0.001,305,97.66666666666667,1172,9.804765129089356,12,3,-469.8122123333333,3.746559053659439,1060,0.08333333333333333
0.001,404,98.25,1572,10.700615119934081,16,3,-434.01379175,4.575020897388458,1460,0.0625
0.001,481,94.1,1882,11.358546829223632,20,3,-374.89061965,3.321700644493103,1780,0.1
0.001,560,95.08333333333333,2282,10.619370174407958,24,4,-330.32693829166664,4.661827850341797,2180,0.08333333333333333
0.001,683,95.78571428571429,2682,10.639323806762695,28,3,-291.4921302857143,4.531335353851318,2580,0.07142857142857142
0.001,816,96.3125,3082,10.91838321685791,32,3,-270.69692590625,4.72810446023941,2980,0.0625
0.001,1018,96.72222222222223,3482,11.09459228515625,36,3,-247.74680261111112,4.178149449825287,3380,0.05555555555555555
0.001,1096,97.05,3882,10.661392974853516,40,3,-230.31667992500002,4.964668953418732,3780,0.05
0.001,1218,97.31818181818181,4282,10.833479118347167,44,3,-215.9066288409091,4.942240083217621,4180,0.045454545454545456
0.001,1318,96.3125,4623,11.671373176574708,48,3,-203.37740758333334,4.973204028606415,4520,0.0625
0.001,1450,96.59615384615384,5023,12.573840236663818,52,3,-193.38767809615382,5.293368279933929,4920,0.057692307692307696
0.001,1548,96.83928571428571,5423,13.477226734161377,56,3,-191.04277514285715,5.769273638725281,5320,0.05357142857142857
0.001,1672,97.05,5823,13.984549522399902,60,3,-182.74805486666668,5.75253734588623,5720,0.05
0.001,1765,97.234375,6223,14.723925590515137,64,3,-174.999383875,5.635098135471344,6120,0.046875
0.001,1877,97.3970588235294,6623,15.782913398742675,68,3,-169.2270221029412,7.273449766635895,6520,0.04411764705882353
0.001,1982,97.54166666666667,7023,16.53510217666626,72,3,-163.26297344444444,4.632500994205475,6920,0.041666666666666664
0.001,2075,97.67105263157895,7423,17.11031894683838,76,3,-160.5645772894737,9.163415467739105,7320,0.039473684210526314
0.001,2221,97.7875,7823,18.105812644958498,80,3,-158.75635670000003,7.119528669118881,7720,0.0375
0.001,2324,97.89285714285714,8223,18.542287635803223,84,3,-154.9067782261905,8.466127347946166,8120,0.03571428571428571
0.001,2451,97.98863636363636,8623,19.25578556060791,88,3,-153.9921066818182,9.16596578359604,8520,0.03409090909090909
0.001,2571,98.07608695652173,9023,19.735309028625487,92,3,-149.93662179347828,12.274252152442932,8920,0.03260869565217391
0.001,2676,97.26041666666667,9337,20.525071334838866,96,3,-145.49485102083335,9.330059623718261,9220,0.041666666666666664
0.001,2783,97.37,9737,21.31965160369873,100,3,-143.06105726,10.529280173778535,9620,0.04
