time/fps,train/critic_loss,rollout/ep_len_mean,time/time_elapsed,time/total timesteps,train/n_updates,train/actor_loss,rollout/success rate,rollout/ep_rew_mean,train/learning_rate,time/episodes
1253,794.0712757110596,83.23,80,100294,100180,173.9425491333008,0.24,-94.96520659000002,0.001,1152
535,750.3629066467286,83.56,187,100639,100520,175.0137908935547,0.24,-99.33765777,0.001,1156
344,715.9077377319336,83.87,293,100976,100860,176.27055816650392,0.24,-99.29959363999998,0.001,1160
259,541.9405933380127,83.87,390,101376,101260,175.55030975341796,0.24,-102.01566511999998,0.001,1164
213,769.9206310272217,83.94,476,101704,101600,174.36993103027345,0.25,-101.41601661,0.001,1168
178,584.9701324462891,85.06,572,102087,101980,175.4105987548828,0.24,-101.75513017000002,0.001,1172
160,746.1181921005249,84.19,639,102312,102200,175.89029388427736,0.25,-103.38377700999999,0.001,1176
140,828.8054866790771,84.4,728,102633,102520,178.08995056152344,0.24,-100.63489648,0.001,1180
126,636.3674682617187,84.45,811,102973,102860,176.73568725585938,0.24,-99.75587272000003,0.001,1184
113,794.1935220718384,84.59,914,103373,103260,178.9801010131836,0.23,-98.75976402,0.001,1188
103,869.6476070404053,84.7,1000,103695,103580,177.12501678466796,0.24,-95.21204075,0.001,1192
96,823.5468320846558,83.98,1072,103945,103840,178.69469757080077,0.25,-92.71906348,0.001,1196
90,593.6785354614258,83.26,1154,104273,104160,181.04283905029297,0.26,-89.54691802999997,0.001,1200
85,750.7427383422852,83.34,1222,104592,104480,179.79322052001953,0.26,-87.05159162999999,0.001,1204
80,859.7189594268799,84.31,1300,104927,104820,180.49798736572265,0.26,-89.03633124,0.001,1208
75,853.3526851654053,84.31,1399,105327,105220,177.81750946044923,0.26,-85.24453756000001,0.001,1212
71,584.5595027923584,83.43,1471,105639,105520,180.22759704589845,0.28,-83.36160619,0.001,1216
68,921.0518436431885,83.19,1548,105946,105840,181.82903900146485,0.28,-82.65913419,0.001,1220
64,815.3826007843018,83.38,1649,106302,106200,182.00477142333983,0.28,-78.07471378999999,0.001,1224
61,813.9928352355957,84.09,1720,106607,106500,179.83059997558593,0.27,-79.47902272,0.001,1228
58,843.5461585998535,83.87,1817,106898,106780,182.7287353515625,0.28,-75.19491893,0.001,1232
56,888.9242713928222,83.27,1896,107238,107120,181.52467041015626,0.29,-75.82768116000001,0.001,1236
53,777.4959789276123,85.38,1997,107638,107520,182.9651092529297,0.26,-78.40248890000001,0.001,1240
51,685.0195915222168,84.55,2079,107955,107840,182.95772247314454,0.27,-72.18652931,0.001,1244
50,830.0932289123535,83.59,2157,108259,108140,180.88852233886718,0.29,-76.68678196,0.001,1248
48,705.5180335998535,82.75,2234,108569,108460,182.50752716064454,0.29,-73.11426498,0.001,1252
47,806.6844287872315,81.77,2299,108816,108700,182.12281341552733,0.3,-69.75195527,0.001,1256
45,711.1134311676026,80.97,2371,109073,108960,183.43238372802733,0.32,-69.55907348999999,0.001,1260
44,695.2158443450928,79.89,2446,109365,109260,186.18264770507812,0.34,-66.05872176,0.001,1264
43,907.280892944336,80.46,2548,109750,109640,185.11639251708985,0.33,-67.53270978,0.001,1268
41,747.3990234375,80.63,2647,110150,110040,184.8420883178711,0.32,-73.1227678,0.001,1272
40,531.2284839630126,82.1,2728,110522,110420,186.92403717041014,0.31,-74.63056578,0.001,1276
39,958.7189971923829,82.52,2820,110885,110780,188.2103240966797,0.31,-77.57445537000001,0.001,1280
37,766.4014976501464,83.12,2938,111285,111180,188.61058197021484,0.3,-79.45611813999999,0.001,1284
36,792.2954029083252,83.12,3027,111685,111580,188.42363433837892,0.3,-85.52835864000001,0.001,1288
36,1106.5188762664795,82.98,3107,111993,111880,188.16614990234376,0.29,-85.11179933,0.001,1292
35,784.0329063415527,83.5,3197,112295,112180,187.43307189941407,0.28,-85.62300287,0.001,1296
34,1242.564663696289,82.54,3258,112527,112420,188.12159576416016,0.29,-85.76590719000002,0.001,1300
33,1081.0532245635986,83.13,3346,112905,112800,187.13815612792968,0.29,-83.94909045,0.001,1304
32,802.2923881530762,83.28,3452,113255,113140,191.30067443847656,0.28,-82.63772653,0.001,1308
32,647.7070009231568,82.15,3521,113542,113440,187.5834945678711,0.3,-86.7470977,0.001,1312
31,990.1935157775879,82.4,3602,113879,113760,190.10025024414062,0.29,-89.96408061000002,0.001,1316
31,1231.7946784973144,81.14,3652,114060,113940,188.69867248535155,0.31,-89.13334678999999,0.001,1320
30,530.634224319458,80.68,3735,114370,114260,194.80486145019532,0.32,-89.76916639000001,0.001,1324
29,965.7751281738281,80.98,3843,114705,114600,190.87893524169922,0.32,-88.83460862,0.001,1328
29,1106.4864952087403,82.07,3947,115105,115000,194.5202850341797,0.3,-90.72079237,0.001,1332
28,969.2152500152588,81.95,4020,115433,115320,191.15643157958985,0.3,-94.41794272000001,0.001,1336
28,753.0343353271485,81.49,4096,115787,115680,194.06214904785156,0.31,-96.71472465999999,0.001,1340
27,1137.1105457305907,81.48,4159,116103,116000,190.71000061035156,0.31,-99.38865987000003,0.001,1344
27,866.3969970703125,80.78,4227,116337,116220,195.78919067382813,0.31,-94.14873341999999,0.001,1348
27,697.1859085083008,81.07,4318,116676,116560,193.71515197753905,0.32,-92.59342052,0.001,1352
26,890.4624847412109,81.83,4400,116999,116880,195.1936828613281,0.31,-91.24359688999999,0.001,1356
26,1293.300542449951,82.4,4474,117313,117200,194.4647003173828,0.29,-92.41053215000002,0.001,1360
25,1018.355058670044,81.78,4537,117543,117440,192.28272705078126,0.29,-91.20157101000001,0.001,1364
25,750.9585823059082,81.24,4618,117874,117760,197.66690673828126,0.29,-94.85357499999998,0.001,1368
25,1380.6916896820069,79.83,4675,118133,118020,195.52081146240235,0.31,-91.24869244999998,0.001,1372
24,907.5537094116211,78.91,4747,118413,118300,195.56369171142578,0.32,-91.14072202999998,0.001,1376
24,801.2513259887695,78.76,4836,118761,118660,198.2836944580078,0.32,-89.03744319000003,0.001,1380
24,684.0802192687988,78.76,4938,119161,119060,197.74422302246094,0.32,-86.00389501000001,0.001,1384
23,1167.2499557495116,77.51,5003,119436,119320,198.16448669433595,0.34,-79.60230719000002,0.001,1388
23,756.3289184570312,78.42,5097,119835,119720,196.01995086669922,0.34,-80.25735716000001,0.001,1392
23,959.6278842926025,79.4,5183,120235,120120,198.70431671142578,0.33,-85.85894558000001,0.001,1396
22,1000.4500644683837,79.8,5240,120507,120400,198.41217041015625,0.33,-89.49586014000002,0.001,1400
22,1362.1855834960938,80.02,5335,120907,120800,197.10533447265624,0.32,-91.97873788999999,0.001,1404
22,1056.3259826660155,79.97,5416,121252,121140,200.53652801513672,0.32,-95.91538261000001,0.001,1408
22,795.32487449646,79.67,5484,121509,121400,198.606396484375,0.33,-91.53827416,0.001,1412
21,853.1832099914551,79.37,5556,121816,121700,201.7831268310547,0.33,-89.44367713999998,0.001,1416
21,1027.988751220703,80.79,5642,122139,122020,200.46659393310546,0.31,-89.96022361,0.001,1420
21,1281.848787689209,81.69,5764,122539,122420,199.55744018554688,0.29,-89.44862037000001,0.001,1424
21,1542.0239028930664,81.38,5841,122843,122740,198.2503875732422,0.3,-86.66053158000001,0.001,1428
20,1247.2963516235352,80.42,5912,123147,123040,199.51361694335938,0.31,-84.35778564,0.001,1432
20,1017.2338516235352,80.35,5985,123468,123360,201.3585968017578,0.31,-80.10000863,0.001,1436
20,712.1240732192994,79.92,6067,123779,123660,201.82717742919922,0.32,-76.79963293,0.001,1440
20,813.0569534301758,80.76,6161,124179,124060,206.42201080322266,0.31,-75.01353945000001,0.001,1444
19,1007.1462963104248,81.45,6250,124482,124380,204.01171112060547,0.31,-76.09782342999999,0.001,1448
19,411.03077697753906,81.64,6336,124840,124720,205.63923034667968,0.3,-76.89102625000001,0.001,1452
19,904.0647647857666,81.55,6413,125154,125040,207.1188995361328,0.3,-83.14551659,0.001,1456
19,1342.1017135620118,81.97,6507,125510,125400,205.98288116455078,0.3,-83.77669830999999,0.001,1460
18,856.248834991455,83.67,6633,125910,125800,207.08281707763672,0.28,-86.58409059,0.001,1464
18,1301.0955963134766,83.95,6718,126269,126160,206.2939422607422,0.28,-86.94087306,0.001,1468
18,1199.419415664673,84.48,6817,126581,126480,205.55782470703124,0.27,-86.76028305000001,0.001,1472
18,920.7536743164062,84.69,6895,126882,126780,206.18429718017578,0.27,-82.72635055999999,0.001,1476
18,576.2188510894775,85.21,6996,127282,127180,207.2524169921875,0.26,-86.74531933000002,0.001,1480
18,1087.102105331421,84.55,7086,127616,127500,209.12013092041016,0.28,-86.49899421000002,0.001,1484
17,1148.2420055389405,85.3,7180,127966,127860,210.02635803222657,0.27,-87.0082274,0.001,1488
17,960.6923240661621,84.46,7250,128281,128180,208.23999481201173,0.27,-84.80283042999997,0.001,1492
17,963.399951171875,83.44,7330,128579,128460,210.07190551757813,0.29,-78.94065667,0.001,1496
17,982.2911449432373,82.39,7397,128746,128640,211.61260528564452,0.3,-74.04123241,0.001,1500
17,1419.5067626953125,80.77,7453,128984,128880,207.7225601196289,0.32,-70.71400647,0.001,1504
17,943.6533683776855,79.48,7508,129200,129080,210.71237182617188,0.33,-66.18191069,0.001,1508
17,954.5179885864258,80.7,7615,129579,129460,210.5705551147461,0.31,-65.89922723000001,0.001,1512
16,1017.721728515625,81.63,7726,129979,129860,210.37957916259765,0.3,-68.93459076,0.001,1516
16,964.2646656036377,81.54,7814,130293,130180,209.77556610107422,0.3,-75.19299548000001,0.001,1520
16,1329.316665649414,79.48,7859,130487,130380,212.81765441894532,0.33,-73.85392904,0.001,1524
16,852.6423580169678,78.61,7918,130704,130600,210.17018127441406,0.33,-77.70842404999999,0.001,1528
16,1518.24118309021,79.39,8011,131086,130980,211.7312042236328,0.33,-79.63915858,0.001,1532
16,1067.7076370239258,79.78,8102,131446,131340,214.3144515991211,0.33,-81.36396917,0.001,1536
16,1493.6116832733155,78.86,8143,131665,131560,210.83285827636718,0.33,-85.27033749,0.001,1540
16,784.4531547546387,78.86,8242,132065,131960,212.2041809082031,0.33,-82.44805152,0.001,1544
15,867.1685157775879,79.19,8312,132401,132300,215.0154556274414,0.32,-87.87762167,0.001,1548
15,1059.8287857055664,79.02,8403,132742,132640,214.383837890625,0.32,-87.57787343,0.001,1552
15,1241.6869979858398,79.88,8512,133142,133040,215.90621032714844,0.31,-85.95454446,0.001,1556
15,1104.8393421173096,79.49,8596,133459,133340,216.27090454101562,0.31,-87.03840701000001,0.001,1560
15,1315.8956592559814,76.76,8638,133586,133480,216.5464859008789,0.34,-83.50496148999999,0.001,1564
15,1249.9812034606935,76.08,8719,133877,133760,216.78926849365234,0.35,-85.17526128,0.001,1568
15,1064.9549201965333,76.04,8805,134185,134080,216.58509216308593,0.35,-85.68324561,0.001,1572
15,1381.6855655670165,76.58,8895,134540,134420,215.0782897949219,0.34,-86.42179699000002,0.001,1576
15,1180.0422351837158,75.44,8976,134826,134720,216.8445602416992,0.36,-82.28924638000001,0.001,1580
14,1030.9944957733155,75.55,9048,135171,135060,216.56509857177736,0.35,-88.95963799,0.001,1584
14,981.1833293914794,75.65,9143,135531,135420,216.78563232421874,0.35,-88.25803535999998,0.001,1588
14,1179.5447971343995,75.8,9226,135861,135760,221.44055938720703,0.35,-94.44269356999997,0.001,1592
14,859.377893447876,75.53,9313,136132,136020,219.2873291015625,0.35,-95.78382663999999,0.001,1596
14,1047.6688377380372,76.92,9403,136438,136320,219.47427673339843,0.33,-97.27662052,0.001,1600
14,836.8593639373779,77.69,9502,136753,136640,221.24664154052735,0.33,-98.10304366,0.001,1604
14,1392.3692039489747,78.24,9579,137024,136920,217.90670013427734,0.33,-98.35419467,0.001,1608
14,1546.5057926177979,77.57,9648,137336,137220,219.75120849609374,0.33,-99.44701920999998,0.001,1612
14,1177.4905178070069,75.76,9699,137555,137440,222.50135650634766,0.35,-96.80010908999999,0.001,1616
14,920.5676502227783,75.54,9796,137847,137740,220.80333862304687,0.36,-95.45790259999998,0.001,1620
13,1587.9950813293458,77.6,9887,138247,138140,220.2164291381836,0.33,-97.06754243999998,0.001,1624
13,1205.6542709350585,77.93,9952,138497,138380,222.28156433105468,0.33,-93.49193211,0.001,1628
13,1145.8978626251221,78.11,10055,138897,138780,221.97085876464843,0.32,-92.21021630999999,0.001,1632
13,1011.4379959106445,75.89,10091,139035,138920,225.73940734863282,0.34,-89.84192623999999,0.001,1636
13,1207.7326553344726,75.86,10137,139251,139140,222.21722106933595,0.34,-85.27328640000002,0.001,1640
13,1212.3713806152343,75.03,10222,139568,139460,223.86842651367186,0.35,-85.57084055,0.001,1644
