time/episodes,time/total timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,train/n_updates,rollout/success rate,train/critic_loss
2500,200187,0.001,4804,41,65.33,-58.0950115,285.21974182128906,200080,0.47,1619.2564331054687
2504,200435,0.001,1723,116,66.25,-58.666940890000014,284.4507080078125,200320,0.47,2284.075128173828
2508,200753,0.001,1029,194,67.87,-60.35790712000001,285.3804412841797,200640,0.45,2648.8934631347656
2512,201060,0.001,697,288,66.94,-58.99167167,286.0596160888672,200940,0.47,1351.0901573181152
2516,201192,0.001,618,325,65.09,-56.589314130000005,286.1671997070313,201080,0.49,1938.6039825439452
2520,201501,0.001,477,421,65.85,-54.129884520000004,284.4578399658203,201400,0.49,2681.398378753662
2524,201619,0.001,434,463,64.86,-52.134532150000005,285.5335754394531,201500,0.51,1889.3111602783204
2528,201727,0.001,401,502,64.48,-51.28171927000001,289.3916809082031,201620,0.51,1833.5496459960937
2532,202067,0.001,339,594,66.32,-55.28045784,287.2782470703125,201960,0.49,1555.9008575439452
2536,202145,0.001,324,622,65.83,-54.75648808000001,287.7697052001953,202040,0.5,1755.4094512939453
2540,202545,0.001,274,738,67.74,-57.850663430000004,288.1833740234375,202440,0.47,1639.4125534057616
2544,202686,0.001,256,790,65.81,-56.847834760000005,288.41923828125,202580,0.49,1888.970573425293
2548,202929,0.001,236,859,66.41,-59.01464926,288.15465393066404,202820,0.48,2623.475347137451
2552,203254,0.001,208,976,65.66,-57.147008080000006,289.5882629394531,203140,0.5,1846.6272689819336
2556,203654,0.001,188,1080,65.66,-61.684573539999995,290.7430694580078,203540,0.5,1466.9775115966797
2560,203983,0.001,172,1180,66.62,-63.073760939999985,285.7085296630859,203880,0.5,2215.323292541504
2564,204218,0.001,161,1261,66.5,-63.36653732999999,287.70099487304685,204100,0.51,2648.197519683838
2568,204384,0.001,153,1328,65.03,-62.632500740000005,289.9850708007813,204280,0.53,1579.0486976623536
2572,204473,0.001,150,1362,62.71,-59.67398684,289.6289337158203,204360,0.56,2277.673796081543
2576,204723,0.001,142,1431,62.92,-60.688410540000014,289.57159118652345,204620,0.56,2209.0693298339843
2580,204969,0.001,137,1487,61.38,-62.819849500000004,286.3631195068359,204860,0.58,2707.0700347900392
2584,205290,0.001,130,1573,61.73,-64.63700823,291.1015197753906,205180,0.57,1631.88731842041
2588,205422,0.001,126,1626,59.87,-59.46067592,289.30426635742185,205320,0.6,2654.647216796875
2592,205655,0.001,121,1697,60.68,-60.046180220000004,292.3922607421875,205540,0.58,1285.9133361816407
2596,205979,0.001,115,1783,59.92,-58.96951916,290.6601257324219,205860,0.6,2835.056086730957
2600,206245,0.001,110,1861,60.58,-55.912100450000004,290.9731842041016,206140,0.6,2186.772984313965
2604,206495,0.001,106,1936,60.6,-56.232300839999986,291.72240295410154,206380,0.59,1855.9194061279297
2608,206823,0.001,102,2024,60.7,-56.410265390000006,293.2652557373047,206720,0.59,1629.1941802978515
2612,207091,0.001,97,2113,60.31,-56.18614036000001,291.4612609863281,206980,0.6,2414.8978927612307
2616,207212,0.001,95,2161,60.2,-56.054659740000005,289.5398376464844,207100,0.61,2682.5003776550293
2620,207475,0.001,92,2231,59.74,-56.70106121999999,292.1228271484375,207360,0.61,2159.6474609375
2624,207661,0.001,91,2279,60.42,-57.84183813,293.13628845214845,207560,0.6,1838.5439529418945
2628,208056,0.001,86,2394,63.29,-61.726619819999996,294.2867126464844,207940,0.57,1561.637523651123
2632,208410,0.001,84,2468,63.43,-62.15375215000001,290.38710021972656,208300,0.57,2588.024523925781
2636,208542,0.001,82,2516,63.97,-62.68096661,292.85419921875,208440,0.56,2416.2062187194824
2640,208783,0.001,80,2586,62.38,-62.135519450000004,291.9225219726562,208680,0.58,2477.323383331299
