rollout/success rate,time/time_elapsed,rollout/ep_len_mean,train/actor_loss,time/episodes,train/learning_rate,train/critic_loss,time/fps,train/n_updates,time/total timesteps,rollout/ep_rew_mean
0.71,21,42.4,339.1249542236328,4472,0.001,2540.8376892089846,13869,299920,300033,-41.455959390000004
0.7,52,42.53,333.1619537353516,4476,0.001,3053.2111114501954,5716,300060,300175,-44.684087950000006
0.72,68,40.05,336.0052825927734,4480,0.001,3526.829246520996,4402,300100,300203,-43.0558695
0.72,123,40.48,338.23705139160154,4484,0.001,4061.318849182129,2442,300360,300462,-43.01624632
0.71,177,41.5,333.4381927490234,4488,0.001,3533.049739074707,1694,300580,300687,-44.16989664
0.72,219,40.83,337.73797302246095,4492,0.001,3498.518144226074,1370,300720,300834,-43.96957234999999
0.74,231,38.41,336.0068420410156,4496,0.001,3309.527862548828,1298,300760,300880,-41.49163488
0.74,278,37.48,339.8326690673828,4500,0.001,2472.1573440551756,1079,300900,301008,-39.361762840000004
0.75,321,36.51,336.0550170898438,4504,0.001,2469.979945373535,935,301040,301153,-37.22214566000001
0.75,383,36.71,335.6993469238281,4508,0.001,3456.122044372559,785,301300,301401,-42.117452220000004
0.76,422,35.34,337.3868347167969,4512,0.001,3053.6174377441407,713,301360,301474,-39.230038900000004
0.75,485,36.31,339.7140869140625,4516,0.001,2985.962116241455,621,301580,301700,-42.88261307999999
0.75,521,36.34,335.1153533935547,4520,0.001,3955.9086471557616,579,301720,301828,-43.009551710000004
0.77,562,35.57,336.0333190917969,4524,0.001,3639.891716003418,536,301860,301980,-39.76353696
0.79,603,33.71,336.97710876464845,4528,0.001,3577.639210510254,500,301900,302005,-38.01357001
0.78,647,34.86,340.78655700683595,4532,0.001,2620.4986053466796,466,302040,302154,-40.581099110000004
0.78,700,35.47,336.43792724609375,4536,0.001,3028.030938720703,431,302220,302338,-42.31844686999999
0.77,768,36.62,337.58006286621094,4540,0.001,3354.6277969360353,393,302480,302591,-42.3308663
0.8,828,34.82,334.176318359375,4544,0.001,4129.882328796387,365,302600,302717,-40.39317317
0.78,893,36.71,335.9701751708984,4548,0.001,3315.824826049805,339,302840,302952,-41.52738942
0.76,947,37.94,338.3851837158203,4552,0.001,3233.662171936035,320,303040,303159,-42.623546260000005
0.77,967,36.69,337.55792236328125,4556,0.001,2668.7883056640626,313,303100,303216,-36.10029163
0.78,1015,35.83,339.9231719970703,4560,0.001,3443.805409240723,298,303180,303287,-34.3632915
0.76,1085,37.52,340.7313659667969,4564,0.001,3830.646583557129,279,303400,303506,-42.64556258
0.76,1132,37.34,338.0519256591797,4568,0.001,3179.4058502197267,268,303580,303686,-41.054858
0.74,1183,38.75,338.37163696289065,4572,0.001,2870.3475799560547,256,303800,303908,-46.383850669999994
0.74,1227,38.76,341.5216827392578,4576,0.001,2822.5341384887697,247,303940,304051,-43.80165370999999
0.73,1262,40.0,335.4697967529297,4580,0.001,3724.229866027832,240,304100,304203,-45.65251799000001
0.75,1296,38.24,334.3633209228516,4584,0.001,3563.1443161010743,234,304180,304286,-44.903098690000014
0.77,1332,36.33,337.58313903808596,4588,0.001,3449.8361419677735,228,304200,304320,-43.18287509000001
0.76,1386,37.11,338.4803924560547,4592,0.001,3780.7248092651366,219,304440,304545,-49.614524870000004
0.74,1457,38.92,340.70244750976565,4596,0.001,3265.6581893920898,209,304660,304772,-52.120264320000004
0.75,1482,38.18,339.54087524414064,4600,0.001,3248.003298950195,205,304720,304826,-52.02812826
0.76,1522,38.12,338.33470458984374,4604,0.001,3498.185894775391,200,304860,304965,-53.93987435000001
0.77,1562,37.06,338.4231872558594,4608,0.001,2783.774783325195,195,305000,305107,-52.36268509000001
0.76,1622,38.94,339.59910583496094,4612,0.001,2427.0239654541015,188,305260,305368,-56.67805964000001
0.77,1671,38.78,337.0302307128906,4616,0.001,4144.7913818359375,182,305460,305578,-54.05727331000001
0.77,1714,39.26,341.88726501464845,4620,0.001,3118.994041442871,178,305640,305754,-54.941728839999996
0.76,1746,39.06,338.7452423095703,4624,0.001,3738.352296447754,175,305780,305886,-56.465527929999986
0.75,1802,41.08,344.6034729003906,4628,0.001,3714.253355407715,169,306000,306113,-59.18804894
0.76,1822,40.23,339.41522216796875,4632,0.001,3236.8640045166017,167,306060,306177,-56.99195031
0.75,1893,41.44,336.94703063964846,4636,0.001,4489.4933410644535,161,306380,306482,-57.30180469999999
0.76,1941,40.14,339.8577117919922,4640,0.001,3473.7217086791993,157,306500,306605,-57.86157708999999
0.74,2003,41.29,344.69215087890626,4644,0.001,2388.840316772461,153,306740,306846,-62.74994855999999
0.76,2026,39.51,336.6387054443359,4648,0.001,3160.9756393432617,151,306800,306903,-61.64945135
0.77,2059,38.73,341.80922546386716,4652,0.001,2814.334553527832,149,306920,307032,-61.1114691
0.75,2116,40.54,338.8098937988281,4656,0.001,4107.7884323120115,145,307160,307270,-63.36804279000001
0.75,2138,40.2,338.94873962402346,4660,0.001,3403.069631958008,143,307200,307307,-63.22488345
0.76,2182,39.7,342.2137969970703,4664,0.001,1804.1366058349608,140,307360,307476,-59.9482634
0.76,2217,39.3,340.67002563476564,4668,0.001,4156.117814636231,138,307500,307616,-58.62117442999999
0.77,2256,38.63,342.8335021972656,4672,0.001,2982.69415435791,136,307660,307771,-53.40633286
0.77,2286,38.54,342.3632873535156,4676,0.001,2785.8815063476563,134,307800,307905,-54.81580593
0.77,2346,39.36,341.82623291015625,4680,0.001,3118.208088684082,131,308020,308139,-53.888721450000006
0.75,2410,40.74,343.3087585449219,4684,0.001,2888.3056732177733,127,308240,308360,-57.959063619999995
0.75,2427,41.13,340.13523254394534,4688,0.001,4031.4687377929686,127,308320,308433,-59.05955491
0.75,2483,41.2,339.7706787109375,4692,0.001,3729.970997619629,124,308560,308665,-57.13205945000001
0.77,2497,39.32,341.87132263183594,4696,0.001,2961.8093704223634,123,308600,308704,-54.85667496000001
0.76,2535,40.14,341.6239715576172,4700,0.001,2531.698780822754,121,308720,308840,-55.10408028
0.74,2593,40.97,341.87831726074216,4704,0.001,3822.05552444458,119,308960,309062,-54.288299630000004
0.75,2627,40.77,344.7423126220703,4708,0.001,3300.0814544677733,117,309080,309184,-49.9053208
0.75,2672,39.59,342.43707885742185,4712,0.001,3709.1781799316404,115,309220,309327,-46.121874690000006
0.75,2707,38.7,342.9639099121094,4716,0.001,3376.0166076660157,114,309340,309448,-44.4862205
0.76,2728,37.46,343.1647521972656,4720,0.001,3816.249284362793,113,309380,309500,-42.74550841
0.76,2782,37.78,344.8053009033203,4724,0.001,3581.974613952637,111,309560,309664,-41.80809742
0.75,2842,37.66,341.3725341796875,4728,0.001,4332.809478759766,109,309760,309879,-41.8421698
0.74,2878,38.33,343.6978759765625,4732,0.001,3795.7683853149415,107,309900,310010,-42.037129349999994
0.75,2905,36.58,343.93231201171875,4736,0.001,2909.0474182128905,106,310020,310140,-40.259122340000005
0.76,2942,36.55,342.39951782226564,4740,0.001,3765.9610382080077,105,310140,310260,-38.58213735000001
0.77,2979,35.46,344.3456512451172,4744,0.001,2890.2658264160154,104,310280,310392,-33.877231599999995
0.76,3020,36.87,340.0982299804688,4748,0.001,3910.6968505859377,102,310480,310590,-38.50209743
0.76,3054,36.83,343.9036468505859,4752,0.001,2273.875733947754,101,310600,310715,-38.610293659999996
0.76,3110,36.56,343.85048828125,4756,0.001,4116.812579345703,99,310820,310926,-37.82490482
0.75,3154,37.63,344.743115234375,4760,0.001,3135.15517578125,98,310960,311070,-38.18239715
0.76,3168,36.33,342.9788330078125,4764,0.001,3821.0324310302735,98,311000,311109,-32.97510728
0.74,3246,38.52,341.7471649169922,4768,0.001,3605.9250259399414,95,311360,311468,-40.416934039999994
0.75,3280,37.43,338.7133850097656,4772,0.001,3383.4750015258787,94,311400,311514,-40.230573570000004
0.74,3328,38.37,340.2562530517578,4776,0.001,3039.8845153808593,93,311640,311742,-40.53227114
0.74,3360,37.37,341.46751098632814,4780,0.001,4335.64609375,92,311760,311876,-44.68572722
