train/actor_loss,time/episodes,train/critic_loss,rollout/ep_len_mean,time/total timesteps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success rate,train/n_updates
368.5266937255859,7444,5308.768692016602,23.65,400182,0.001,44,-29.30903939,9091,0.88,400080
368.6793579101562,7448,5405.692059326172,23.39,400212,0.001,62,-29.02949015,6449,0.88,400100
366.7508911132812,7452,5432.357360839844,23.86,400385,0.001,110,-29.96109359,3637,0.89,400280
367.3595947265625,7456,5341.554742431641,23.89,400413,0.001,126,-29.55586462,3174,0.89,400300
366.3864379882813,7460,5061.83275756836,23.61,400586,0.001,173,-31.515202360000007,2305,0.89,400480
363.9797119140625,7464,5655.504260253906,23.55,400697,0.001,212,-31.225835710000002,1881,0.9,400580
369.5836608886719,7468,4632.152603149414,24.73,400903,0.001,277,-34.66238828,1444,0.89,400800
372.16334533691406,7472,5243.75415649414,24.91,400951,0.001,328,-34.535795830000005,1219,0.89,400840
371.7210388183594,7476,5302.03003540039,24.91,401076,0.001,367,-30.35532218,1090,0.89,400960
374.1969421386719,7480,3965.0707763671876,24.67,401192,0.001,402,-32.06800591,996,0.89,401080
368.6366333007812,7484,3955.9677459716795,23.3,401268,0.001,442,-28.844103190000002,906,0.91,401160
364.00803833007814,7488,6414.146765136718,24.03,401381,0.001,485,-29.942274930000004,826,0.91,401280
366.4769561767578,7492,5577.770922851562,23.09,401426,0.001,524,-29.19761312,764,0.92,401320
369.11240844726564,7496,6656.761694335937,24.93,401648,0.001,589,-30.517799769999993,681,0.9,401540
366.59019165039064,7500,4944.589837646485,25.97,401792,0.001,646,-30.44072947,621,0.89,401680
361.4499908447266,7504,5414.50191040039,27.02,401926,0.001,685,-31.459056999999998,586,0.88,401820
365.8511138916016,7508,4454.405963134765,26.05,401959,0.001,696,-29.738034560000003,576,0.89,401840
367.78693237304685,7512,4912.879180908203,25.41,402085,0.001,745,-30.19579532,539,0.89,401980
367.52582397460935,7516,4926.532650756836,25.15,402125,0.001,759,-30.412778339999996,529,0.89,402020
365.6203094482422,7520,5704.36060180664,25.3,402258,0.001,794,-30.914315669999997,506,0.88,402140
373.8428100585937,7524,4888.798281860351,25.52,402400,0.001,836,-27.510401069999997,480,0.88,402280
367.5289733886719,7528,6221.855502319336,26.09,402478,0.001,866,-28.660040269999996,464,0.88,402360
367.05898132324216,7532,4268.464181518555,26.07,402515,0.001,886,-27.75177725,454,0.88,402400
370.9919891357422,7536,5244.841339111328,27.43,402689,0.001,935,-31.282725489999997,430,0.87,402580
368.66331787109374,7540,5048.864688110351,28.04,402804,0.001,974,-36.29131743000001,413,0.86,402700
370.37884826660155,7544,5064.279071044922,26.64,402846,0.001,999,-31.830569439999994,403,0.87,402740
366.6772125244141,7548,5816.663684082031,27.93,403005,0.001,1034,-34.541527959999996,389,0.86,402900
370.02528381347656,7552,4642.336120605469,26.55,403040,0.001,1057,-31.32793909,381,0.86,402920
369.0834533691406,7556,4549.656369018555,27.44,403157,0.001,1104,-31.449745840000002,365,0.85,403040
365.5430603027344,7560,5229.614331054688,26.08,403194,0.001,1117,-28.453733380000003,360,0.86,403080
368.5442138671875,7564,6047.465270996094,25.18,403215,0.001,1127,-26.98775689,357,0.86,403100
366.58623046875,7568,5675.478475952148,24.37,403340,0.001,1170,-24.149256249999997,344,0.86,403220
372.09214782714844,7572,4130.310040283203,24.92,403443,0.001,1221,-25.892757269999997,330,0.86,403340
366.74196166992186,7576,5248.137548828125,24.88,403564,0.001,1253,-25.227477359999998,321,0.86,403460
365.8087219238281,7580,6603.640902709961,24.91,403683,0.001,1284,-25.100482889999995,314,0.86,403580
371.64252319335935,7584,5350.686749267578,26.09,403877,0.001,1354,-27.90574467,298,0.85,403760
371.24622802734376,7588,5462.673233032227,26.44,404025,0.001,1402,-30.206907469999997,288,0.84,403920
370.7654632568359,7592,4312.094467163086,26.47,404073,0.001,1427,-30.66716739,283,0.84,403960
