time/episodes,time/time_elapsed,rollout/success rate,rollout/ep_len_mean,time/fps,time/total timesteps,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/actor_loss
1,55,0.0,100.0,1,100,-98729.628178,,,,
2,74,0.0,100.0,2,200,-100574.9507815,80,0.001,1310430.725,212.62564239501953
3,116,0.0,100.0,2,300,-103030.84890666667,180,0.001,92624.820703125,954.09130859375
4,154,0.0,100.0,2,400,-99578.85881774999,280,0.001,99027.5474609375,988.4392456054687
5,185,0.0,100.0,2,500,-96423.1642062,380,0.001,94799.3359375,1049.8481872558593
6,200,0.0,100.0,2,600,-98052.46511216667,480,0.001,75170.098828125,1187.4059692382812
7,240,0.0,100.0,2,700,-99049.69266257144,580,0.001,58874.53505859375,1332.4378051757812
8,254,0.0,100.0,3,800,-87647.96301062501,680,0.001,57564.3787109375,1353.6395141601563
9,269,0.0,100.0,3,900,-86717.34191300001,780,0.001,92742.5576171875,1390.6662475585938
10,296,0.0,100.0,3,1000,-84752.35094110001,880,0.001,116017.98828125,1439.1700561523437
11,321,0.0,100.0,3,1100,-77865.21629836364,980,0.001,118324.693359375,1485.7098510742187
12,340,0.0,100.0,3,1200,-78524.0547305,1080,0.001,112892.078125,1530.05712890625
13,355,0.0,100.0,3,1300,-73485.31542961538,1180,0.001,108882.4740234375,1548.4864990234375
14,394,0.0,100.0,3,1400,-68753.64823557143,1280,0.001,108392.8626953125,1533.666357421875
15,433,0.0,100.0,3,1500,-64860.839257533335,1380,0.001,86109.5748046875,1514.37958984375
16,462,0.0,100.0,3,1600,-61230.792069875,1480,0.001,106359.510546875,1596.929638671875
17,476,0.0,100.0,3,1700,-62899.502823117655,1580,0.001,128742.8265625,1599.974365234375
18,494,0.0,100.0,3,1800,-63621.93267966667,1680,0.001,135464.677734375,1677.2376098632812
19,533,0.0,100.0,3,1900,-60512.32776136842,1780,0.001,126015.593359375,1583.0276123046874
20,588,0.0,100.0,3,2000,-57857.104166950005,1880,0.001,132147.2546875,1575.1356811523438
