train/actor_loss,rollout/success rate,time/total timesteps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,rollout/ep_len_mean,time/episodes,time/fps,train/learning_rate
10851.36728515625,0.39,100100,1967089.963671875,54,-4247.924754969999,99980,71.38,1175,1842,0.001
10836.5671875,0.39,100200,2762443.92734375,96,-4202.313350969999,100080,71.38,1176,1033,0.001
10718.0732421875,0.39,100231,3268298.7375,120,-4085.9840466199994,100120,70.84,1177,834,0.001
10788.2619140625,0.39,100331,3657992.20546875,145,-4122.92741819,100220,70.84,1178,689,0.001
10855.32939453125,0.38,100431,2852329.9328125,171,-4238.989195709999,100320,71.58,1179,585,0.001
10892.042578125,0.38,100508,2740912.1015625,190,-4248.04618448,100400,72.06,1180,527,0.001
10888.829296875,0.37,100608,3611481.35234375,236,-4349.15007969,100500,73.0,1181,424,0.001
10851.893359375,0.36,100708,3212932.14453125,285,-4416.30522794,100600,73.41,1182,352,0.001
10852.9884765625,0.37,100797,2688035.784375,325,-4397.67918977,100680,73.3,1183,309,0.001
10928.911328125,0.37,100897,1339820.066796875,382,-4429.76878087,100780,73.3,1184,263,0.001
10926.18046875,0.36,100997,2586252.153125,409,-4466.74663743,100880,74.18,1185,246,0.001
10954.828125,0.36,101097,2772877.971875,435,-4468.2344397199995,100980,74.18,1186,232,0.001
10846.6158203125,0.36,101197,2858213.72734375,479,-4432.058149799999,101080,74.18,1187,211,0.001
10915.1087890625,0.37,101245,2865934.989453125,497,-4392.43983156,101140,73.66,1188,203,0.001
10855.7873046875,0.37,101345,2680154.6859375,536,-4394.37343173,101240,73.66,1189,188,0.001
,0.38,101351,,559,-4367.09300718,,72.72,1190,181,
10978.88583984375,0.37,101451,2280370.09296875,635,-4410.760255429999,101340,73.37,1191,159,0.001
10938.82783203125,0.36,101551,3093866.2546875,656,-4437.575302300001,101440,74.3,1192,154,0.001
10945.2703125,0.35,101651,3122649.5375,747,-4494.624648509999,101540,75.1,1193,135,0.001
10904.61083984375,0.36,101703,3056386.66484375,761,-4489.68882669,101600,74.62,1194,133,0.001
10896.07119140625,0.35,101803,3295191.98046875,807,-4536.33789654,101700,75.02,1195,126,0.001
11034.14287109375,0.35,101903,2513470.24921875,837,-4564.85641091,101800,75.02,1196,121,0.001
,0.35,101916,,841,-4565.7759673400005,,74.99,1197,121,
10999.441015625,0.34,102016,2574926.191015625,874,-4622.914150999999,101900,75.92,1198,116,0.001
10960.330859375,0.33,102116,4013799.5828125,924,-4640.96596682,102000,76.52,1199,110,0.001
10991.25244140625,0.32,102216,2357657.6203125,955,-4695.43543919,102100,77.34,1200,106,0.001
10951.21865234375,0.32,102316,3431933.11484375,977,-4709.503109,102200,77.34,1201,104,0.001
10948.72265625,0.31,102416,2967573.50234375,1025,-4749.31739104,102300,78.33,1202,99,0.001
11080.67138671875,0.32,102424,2800205.1078125,1033,-4698.870933330001,102320,77.41,1203,99,0.001
10978.88720703125,0.32,102524,3104556.46015625,1072,-4628.6988680800005,102420,77.41,1204,95,0.001
10965.773046875,0.31,102624,3261875.63828125,1150,-4683.313816790001,102520,77.8,1205,89,0.001
11060.986328125,0.31,102724,2746197.074609375,1186,-4669.6808532000005,102620,77.8,1206,86,0.001
10996.48701171875,0.31,102824,2916229.2140625,1214,-4677.8066486,102720,77.8,1207,84,0.001
10959.50341796875,0.31,102924,3155023.49453125,1253,-4656.74532316,102820,77.8,1208,82,0.001
,0.31,102936,,1272,-4658.74426957,,77.85,1209,80,
11085.12958984375,0.3,103036,2005215.1859375,1300,-4655.02094312,102920,78.05,1210,79,0.001
10974.02509765625,0.3,103136,3818254.0359375,1330,-4675.24891246,103020,78.05,1211,77,0.001
11042.5296875,0.3,103236,3785829.522265625,1357,-4696.69490458,103120,78.05,1212,76,0.001
10992.46279296875,0.29,103336,3758892.3765625,1390,-4773.81330256,103220,78.87,1213,74,0.001
11048.41669921875,0.29,103348,3688332.60390625,1393,-4770.51790114,103240,78.76,1214,74,0.001
11068.37197265625,0.3,103388,2081313.75546875,1408,-4736.331538610001,103280,78.16,1215,73,0.001
11002.21826171875,0.29,103488,3967460.51484375,1469,-4833.225553740001,103380,79.1,1216,70,0.001
11101.04873046875,0.3,103512,2830034.48515625,1476,-4774.649238080001,103400,78.34,1217,70,0.001
11023.986328125,0.3,103521,2439303.04140625,1519,-4775.57496888,103420,78.3,1218,68,0.001
11040.670703125,0.3,103621,2754073.165625,1574,-4810.07066441,103520,78.3,1219,65,0.001
11040.19619140625,0.29,103721,3702834.5796875,1615,-4872.09562044,103620,78.99,1220,64,0.001
11108.0759765625,0.29,103821,3109951.275,1650,-4894.99987196,103720,78.99,1221,62,0.001
11085.84013671875,0.28,103921,3624666.08984375,1701,-4949.62282618,103820,79.9,1222,61,0.001
