time/total timesteps,rollout/ep_rew_mean,time/episodes,time/time_elapsed,rollout/success rate,rollout/ep_len_mean,time/fps,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss
200013,-4806.017636680001,2998,9,0.69,40.67,20375,,,,
200022,-4807.638639900001,2999,58,0.69,40.72,3433,0.001,199920,12909.4017578125,4568786.4109375
200106,-4777.9621171300005,3000,96,0.7,40.56,2076,0.001,200000,12956.25791015625,4331524.909375
200116,-4781.83457211,3001,104,0.7,40.62,1908,,,,
200141,-4783.697053469999,3002,112,0.7,40.77,1782,0.001,200040,12979.55927734375,4734023.428125
200241,-4821.8315351500005,3003,161,0.69,41.72,1240,0.001,200140,12984.43408203125,5345923.9421875
200247,-4816.567130470001,3004,164,0.69,41.59,1217,,,,
200256,-4808.91916661,3005,183,0.69,41.41,1091,,,,
200262,-4798.826777350001,3006,226,0.69,41.4,885,0.001,200160,12883.01533203125,6086862.921875
200362,-4857.322117580001,3007,260,0.68,42.35,768,0.001,200260,13046.39306640625,3475422.025
200462,-4823.39194605,3008,316,0.68,42.35,632,0.001,200360,12966.180859375,5147362.315625
200493,-4830.05957283,3009,335,0.68,42.61,597,0.001,200380,12847.94716796875,6064045.3125
200498,-4827.542917430001,3010,343,0.68,42.52,583,,,,
200510,-4838.758502150001,3011,347,0.68,42.56,576,0.001,200400,12923.9037109375,6212675.2484375
200517,-4821.66496773,3012,350,0.68,42.46,572,,,,
200524,-4797.9478481099995,3013,363,0.69,41.53,551,0.001,200420,12950.05205078125,5208132.3640625
200624,-4785.29154882,3014,406,0.68,42.31,493,0.001,200520,12906.0552734375,6008941.634375
200635,-4782.99883862,3015,430,0.68,42.25,465,,,,
200646,-4760.80790467,3016,433,0.68,42.2,462,0.001,200540,12925.741796875,5685839.440625
200745,-4740.840490799999,3017,456,0.69,42.19,439,0.001,200640,12979.07529296875,4368019.228125
200845,-4805.752181360001,3018,473,0.68,43.15,424,0.001,200740,12803.00078125,5712723.8015625
200945,-4876.50696467,3019,508,0.67,44.11,395,0.001,200840,12968.3927734375,4026557.63515625
200994,-4793.20852159,3020,552,0.68,43.6,364,0.001,200880,12892.7330078125,6820996.4984375
201001,-4781.29611916,3021,555,0.68,43.6,361,0.001,200900,12793.33759765625,7181716.2
201020,-4732.57832123,3022,567,0.69,42.79,354,,,,
201022,-4693.629825729999,3023,599,0.7,41.81,335,0.001,200920,12946.80673828125,4395709.1890625
201054,-4741.49465652,3024,614,0.7,42.08,327,0.001,200940,12937.99833984375,5368684.034375
201059,-4726.62607803,3025,633,0.7,41.94,317,,,,
201065,-3999.8406347800005,3026,650,0.71,41.0,309,0.001,200960,12998.1720703125,3779221.89375
201077,-3972.788759590001,3027,654,0.72,40.12,307,,,,
201093,-3964.16948803,3028,664,0.72,40.13,302,0.001,200980,12909.3931640625,5922134.215625
201102,-3965.6166218300004,3029,703,0.72,40.11,286,0.001,201000,13062.20517578125,3878689.0640625
201137,-3937.65776646,3030,728,0.73,39.46,276,0.001,201020,12729.67861328125,6963424.434375
201161,-3940.79642475,3031,735,0.73,39.63,273,0.001,201060,12973.26572265625,3871574.47421875
201166,-3622.6945759299997,3032,753,0.74,38.68,267,,,,
201266,-3658.76050526,3033,784,0.73,39.64,256,0.001,201160,12909.4431640625,5449969.878125
201366,-3685.16258505,3034,810,0.72,40.21,248,0.001,201260,12937.55751953125,4437027.859375
201388,-3646.37460995,3035,821,0.73,39.43,245,0.001,201280,12929.53203125,4352830.525
201393,-3634.1908583999993,3036,828,0.73,39.23,242,,,,
201397,-3641.0830142699997,3037,836,0.73,39.2,240,,,,
201413,-3631.71124903,3038,841,0.73,39.28,239,0.001,201300,12753.4890625,7285582.01875
201425,-3566.13465609,3039,850,0.74,38.4,236,0.001,201320,12926.7369140625,4708693.409375
201470,-3577.10723933,3040,863,0.74,38.77,233,0.001,201360,12895.23525390625,5666476.1453125
201474,-3562.576227,3041,865,0.74,38.46,232,,,,
201483,-3499.6594217399997,3042,878,0.75,37.55,229,0.001,201380,12983.60009765625,4458508.0
201583,-3527.969728519999,3043,908,0.74,38.07,221,0.001,201480,12933.98046875,5421240.4875
201619,-3450.9913253800005,3044,957,0.75,37.43,210,0.001,201500,12912.269140625,3944299.6796875
201639,-3467.0563738900005,3045,964,0.75,37.57,208,0.001,201520,12841.07587890625,6650612.078125
201739,-3488.0972672500006,3046,988,0.74,38.52,204,0.001,201620,12941.75966796875,5202507.978125
201839,-3536.3862487700007,3047,1045,0.73,39.44,193,0.001,201720,12833.34287109375,6927387.3421875
201844,-3486.9527576600003,3048,1052,0.74,38.49,191,0.001,201740,12894.90341796875,4418063.190625
201944,-3538.25297885,3049,1076,0.73,39.25,187,0.001,201840,12976.40849609375,5562136.1640625
201954,-3505.66220402,3050,1085,0.74,38.35,186,,,,
201962,-3466.7238051999993,3051,1088,0.75,37.43,185,0.001,201860,12953.52353515625,4013402.8796875
202020,-3487.59193728,3052,1120,0.75,37.95,180,0.001,201900,12840.64755859375,5691345.19375
202032,-3570.1078557600003,3053,1124,0.75,37.99,179,0.001,201920,12835.71943359375,6682076.65
202039,-2611.5878347400007,3054,1167,0.76,37.06,173,,,,
202050,-2612.9383011100003,3055,1186,0.76,37.12,170,0.001,201940,12884.2890625,6240328.0265625
202081,-2522.9242820000004,3056,1203,0.77,36.43,167,0.001,201980,12822.06728515625,6732002.26875
202101,-2593.6009479300005,3057,1214,0.78,35.63,166,0.001,202000,12868.66943359375,6171033.01875
202111,-2584.4898227600006,3058,1233,0.78,35.69,163,,,,
202123,-2586.1116307500006,3059,1247,0.78,35.75,161,0.001,202020,12867.26748046875,5042388.6296875
202223,-2625.7921230300003,3060,1302,0.77,36.47,155,0.001,202120,12892.44365234375,4710051.534375
202291,-2645.3355569500004,3061,1320,0.77,37.08,153,0.001,202180,12828.22607421875,5662301.0359375
202313,-2640.9050315700006,3062,1353,0.77,37.26,149,0.001,202200,12872.92841796875,5026066.8546875
202350,-2661.0387067300007,3063,1362,0.77,37.55,148,0.001,202240,12840.27705078125,5355179.43125
202367,-2665.9898441600003,3064,1372,0.77,37.69,147,0.001,202260,12881.32099609375,4790500.36875
202373,-2578.64023703,3065,1379,0.78,36.75,146,,,,
202381,-2577.1321051600003,3066,1382,0.78,36.69,146,0.001,202280,12892.43984375,4861444.440625
202385,-2544.15035767,3067,1384,0.79,35.73,146,,,,
202485,-2589.9136859100004,3068,1421,0.78,36.69,142,0.001,202380,12985.565234375,3438337.315625
202500,-2570.9934434000006,3069,1435,0.79,35.84,141,,,,
202526,-2574.56710598,3070,1442,0.79,35.95,140,0.001,202420,12842.40400390625,5546252.4625
202564,-2587.3478693800002,3071,1454,0.79,36.28,139,0.001,202460,12815.5337890625,6265681.3671875
202573,-2577.36446345,3072,1462,0.79,35.95,138,,,,
202673,-2615.56335212,3073,1479,0.78,36.89,137,0.001,202560,12806.188671875,6451813.353125
202773,-2641.3780381899996,3074,1505,0.77,37.78,134,0.001,202660,13039.1548828125,4050989.0796875
202873,-2675.6930047799997,3075,1557,0.76,38.46,130,0.001,202760,12877.9203125,4844953.8390625
202884,-2676.78853731,3076,1566,0.76,38.53,129,0.001,202780,12825.47822265625,6288369.4171875
202893,-2638.36492265,3077,1595,0.77,37.62,127,,,,
202993,-2668.33135103,3078,1613,0.77,37.62,125,0.001,202880,12897.90546875,6416731.915625
202998,-2661.4725101999998,3079,1616,0.77,37.37,125,,,,
203008,-1957.3770654799996,3080,1639,0.78,36.47,123,0.001,202900,12912.8923828125,5221870.5625
203013,-1917.02000611,3081,1642,0.78,35.77,123,,,,
203019,-1828.15393511,3082,1644,0.79,34.83,123,,,,
203029,-1796.9210434800002,3083,1673,0.8,33.93,121,0.001,202920,12884.3740234375,6205951.9453125
203041,-1798.5859660300002,3084,1682,0.8,34.02,120,0.001,202940,12757.640625,6742524.971875
203044,-1792.0686701600002,3085,1699,0.8,33.82,119,,,,
203050,-1777.4970283100001,3086,1702,0.8,33.7,119,,,,
203056,-1767.3367263500002,3087,1704,0.8,33.68,119,,,,
203063,-1777.5686887399997,3088,1732,0.8,33.67,117,0.001,202960,12965.60283203125,3648304.0046875
203163,-1822.4172547899998,3089,1752,0.79,34.57,115,0.001,203060,12891.53212890625,5122572.1125
203169,-1823.5616081299997,3090,1770,0.79,34.05,114,,,,
203173,-1749.7395010899997,3091,1812,0.8,33.09,112,,,,
203181,-1750.3377642299997,3092,1815,0.8,33.13,111,0.001,203080,12798.42060546875,5936764.403125
