time/total timesteps,time/time_elapsed,rollout/success rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate
300008,18,0.85,16099,-2081.2031159300004,25.84,6575,,,,
300012,26,0.85,11487,-2063.7150821200003,25.28,6576,,,,
300085,56,0.86,5347,-2134.39539616,25.01,6577,299980,11102.54697265625,4708297.0875,0.001
300093,79,0.86,3786,-2136.64147875,25.08,6578,,,,
300100,87,0.86,3433,-2136.55193043,25.09,6579,,,,
300104,89,0.86,3351,-2136.4434670499995,25.09,6580,300000,11097.86923828125,5209194.8375,0.001
300108,101,0.86,2943,-2135.96807503,25.08,6581,,,,
300115,140,0.86,2139,-2136.94774702,25.1,6582,,,,
300119,162,0.87,1844,-1962.33854454,24.14,6583,,,,
300129,176,0.87,1703,-1955.8108893299996,23.87,6584,300020,11032.40625,7066588.85,0.001
300229,206,0.86,1456,-2023.93558116,24.63,6585,300120,11112.53271484375,5153949.01875,0.001
300278,232,0.86,1290,-2035.6082846,25.06,6586,300160,11108.783203125,5412063.225,0.001
300282,234,0.86,1281,-2034.3435873399999,25.01,6587,300180,11302.31318359375,6980352.24375,0.001
300382,255,0.85,1175,-2077.66026484,25.93,6588,300280,11176.16259765625,5667844.3,0.001
300386,282,0.85,1061,-2078.6919377399995,25.94,6589,,,,
300391,295,0.86,1015,-2038.89555466,24.99,6590,,,,
300491,324,0.85,925,-2144.65194571,25.95,6591,300380,10920.9716796875,6411174.88125,0.001
300501,327,0.85,916,-2136.25463653,26.01,6592,300400,11198.115234375,5915191.10625,0.001
300515,331,0.86,906,-2032.2284388099995,25.15,6593,,,,
300536,337,0.86,889,-2038.5668517799995,25.32,6594,300420,11078.04169921875,6139487.3875,0.001
300542,376,0.86,798,-2039.0972180499996,25.34,6595,300440,11051.0564453125,6758939.64375,0.001
300561,382,0.86,785,-2014.3885411299998,25.16,6596,300460,11007.52119140625,6645151.9125,0.001
300566,420,0.86,715,-2025.4967817099996,25.16,6597,,,,
300626,441,0.86,680,-2022.2029673,25.69,6598,300520,11135.3263671875,6777945.05,0.001
300638,466,0.86,644,-2045.6529570699997,25.73,6599,,,,
300642,488,0.86,615,-2046.0735015199998,25.73,6600,300540,11219.7650390625,5622329.13125,0.001
300646,495,0.86,606,-2034.4570314199998,25.72,6601,,,,
300667,502,0.87,598,-1904.5519203299998,24.93,6602,300560,10854.64775390625,7008929.8625,0.001
300672,504,0.87,596,-1896.5773496200002,24.6,6603,,,,
300677,522,0.87,575,-1886.8542198299997,24.62,6604,,,,
300681,574,0.87,523,-1886.1340030700003,24.63,6605,300580,11237.1107421875,4884740.04375,0.001
300685,577,0.88,520,-1856.3337700700001,23.67,6606,,,,
300785,606,0.87,495,-1937.70260908,24.6,6607,300680,11309.59970703125,6685066.8625,0.001
300788,634,0.87,473,-1956.5556845300005,24.59,6608,,,,
300792,671,0.87,447,-1943.48435048,24.23,6609,,,,
300821,685,0.87,438,-1939.5701643900006,24.19,6610,300720,11200.45400390625,7344339.8875,0.001
