time/total timesteps,time/episodes,rollout/ep_len_mean,rollout/success rate,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss
400008,10644,19.86,0.9,4236,-1171.95064694,94,,,,
400014,10645,19.72,0.9,3903,-1158.5273986500001,102,,,,
400046,10646,19.99,0.9,3415,-1164.30067493,117,0.001,399940,11092283.225,13606.8271484375
400059,10647,19.12,0.91,3139,-1099.84319558,127,,,,
400063,10648,18.94,0.91,2758,-1127.43574096,145,0.001,399960,11446723.5375,13525.76103515625
400068,10649,18.94,0.91,2718,-1126.3508915600003,147,,,,
400168,10650,19.86,0.9,2378,-1178.52618397,168,0.001,400060,10593536.075,13728.00048828125
400178,10651,19.92,0.9,2192,-1179.9428096400002,182,,,,
400186,10652,19.97,0.9,1733,-1221.53640107,230,0.001,400080,12373129.85,13434.7283203125
400192,10653,19.34,0.9,1580,-1223.4683205200001,253,,,,
400197,10654,18.39,0.91,1451,-1197.16541608,275,,,,
400201,10655,18.37,0.91,1438,-1206.6373894800001,278,0.001,400100,10596969.375,13367.58955078125
400301,10656,19.26,0.9,1335,-1583.32054887,299,0.001,400200,10491511.575,13522.31748046875
400306,10657,19.25,0.9,1204,-1563.57660397,332,,,,
400309,10658,18.28,0.91,1181,-1528.4878260500002,338,,,,
400315,10659,18.3,0.91,1155,-1539.74543365,346,,,,
400325,10660,18.37,0.91,1125,-1542.5236212600003,355,0.001,400220,12154692.475,13254.44287109375
400328,10661,18.17,0.91,1088,-1525.1063402799998,367,,,,
400428,10662,19.1,0.9,1027,-1773.44117876,389,0.001,400320,9363099.8875,13532.6453125
400434,10663,18.92,0.9,1018,-1777.7055500600002,393,,,,
400438,10664,18.94,0.9,898,-1778.5184928300005,445,,,,
400538,10665,18.99,0.89,842,-1790.03493307,475,0.001,400420,12600365.625,13477.19150390625
400544,10666,19.0,0.89,838,-1780.56481174,477,0.001,400440,10173618.025,13547.69111328125
400549,10667,19.04,0.89,835,-1801.8045740900002,479,,,,
400556,10668,19.09,0.89,760,-1802.33199908,526,,,,
400565,10669,18.62,0.89,754,-1770.95916727,530,0.001,400460,12000643.125,13349.4029296875
400575,10670,18.66,0.89,749,-1762.11875836,534,,,,
400581,10671,18.7,0.89,712,-1773.5270961999997,562,0.001,400480,10101687.1,13475.38798828125
400588,10672,18.71,0.89,689,-1744.56281837,580,,,,
400592,10673,18.73,0.89,680,-1745.5313264999998,588,,,,
400595,10674,18.7,0.89,677,-1734.8273985299998,590,,,,
