time/episodes,train/learning_rate,rollout/success rate,time/total timesteps,train/actor_loss,train/n_updates,train/critic_loss,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed
1,0.001,1.0,2478,4.114475440979004,2300,0.01778363175690174,20,-1490.347746,2478.0,122
2,0.001,1.0,5810,6.887146968841552,5700,0.15504754558205605,20,-1258.7401209999998,2905.0,282
3,0.001,0.6666666666666666,10810,23.434993553161622,10700,0.5294746479392052,19,-5049.337537333334,3603.3333333333335,544
4,0.001,0.5,15810,46.59144073486328,15700,1.6302085435390472,19,-7203.0337930000005,3952.5,797
5,0.001,0.4,20810,63.793863220214845,20700,3.1579725307226183,19,-7608.799151600001,4162.0,1049
6,0.001,0.3333333333333333,25810,85.65543350219727,25700,5.623616366386414,19,-9557.010847500002,4301.666666666667,1293
7,0.001,0.2857142857142857,30810,106.84975128173828,30700,6.186804490089417,20,-10200.332945285716,4401.428571428572,1537
8,0.001,0.25,35810,127.5357748413086,35700,9.06753250360489,20,-10803.730866875001,4476.25,1782
9,0.001,0.2222222222222222,40810,141.07525787353515,40700,12.81264774799347,20,-10928.024971666668,4534.444444444444,2028
10,0.001,0.2,45810,150.42169677734375,45700,11.123132319450379,20,-10898.491478000002,4581.0,2273
11,0.001,0.18181818181818182,50810,168.0950030517578,50700,13.017626190185547,20,-11531.091643363638,4619.090909090909,2519
12,0.001,0.16666666666666666,55810,176.78408203125,55700,23.582619276046753,20,-11441.5622115,4650.833333333333,2758
13,0.001,0.15384615384615385,60810,176.45442474365234,60700,18.016474957466126,20,-10983.80012923077,4677.692307692308,3000
14,0.001,0.14285714285714285,65810,184.23206665039064,65700,20.12883993625641,20,-11033.608153142859,4700.714285714285,3243
15,0.001,0.13333333333333333,70810,189.33428771972658,70700,79.42056334018707,20,-11083.792197533334,4720.666666666667,3486
16,0.001,0.125,75810,194.29071533203125,75700,20.451261529922487,20,-11191.1345528125,4738.125,3728
17,0.001,0.11764705882352941,80810,198.99095947265624,80700,19.444157061576842,20,-11216.255776176471,4753.529411764706,3970
18,0.001,0.1111111111111111,85810,198.3056396484375,85700,22.756081337928773,20,-10808.961568722221,4767.222222222223,4212
19,0.001,0.10526315789473684,90810,195.73229766845702,90700,43.24851377010346,20,-10531.030829842104,4779.473684210527,4456
