time/total timesteps,time/fps,train/critic_loss,rollout/ep_len_mean,train/actor_loss,time/episodes,rollout/ep_rew_mean,train/n_updates,train/learning_rate,time/time_elapsed,rollout/success rate
10000,21,6.7341946864128115,10000.0,366.9335241699219,1,-183270.599572,9800,0.001,468,0.0
20000,21,303.4701818847656,10000.0,591.6661865234375,2,-159112.5099545,19800,0.001,948,0.0
30000,20,321.78151027679445,10000.0,835.4273229980469,3,-167246.39456733337,29800,0.001,1436,0.0
40000,20,200.40533935546875,10000.0,949.8652795410156,4,-156440.95967025,39800,0.001,1924,0.0
50000,20,287.88681869506837,10000.0,1043.5752380371093,5,-150962.27849740002,49800,0.001,2412,0.0
60000,20,278.01113327026366,10000.0,1094.4498852539064,6,-139032.7200976667,59800,0.001,2897,0.0
70000,20,974.016815032959,10000.0,1084.1799841308593,7,-128853.21335357145,69800,0.001,3387,0.0
80000,20,381.6470660400391,10000.0,1070.357744140625,8,-121455.24411487501,79800,0.001,3880,0.0
90000,20,455.65855499267576,10000.0,1097.5962280273438,9,-121656.49935466667,89800,0.001,4366,0.0
100000,20,421.0117190551758,10000.0,1101.9482580566407,10,-118131.61930490001,99800,0.001,4855,0.0
110000,20,352.0626727294922,10000.0,1103.9726708984374,11,-113398.53980809092,109800,0.001,5337,0.0
120000,20,1019.4984835815429,10000.0,1126.3095776367188,12,-113511.40684833335,119800,0.001,5821,0.0
130000,20,360.81099479675294,10000.0,1152.3179638671875,13,-115082.4588219231,129800,0.001,6306,0.0
140000,20,663.3114816284179,10000.0,1130.7032678222656,14,-110279.91782057144,139800,0.001,6792,0.0
150000,20,574.2870529937744,10000.0,1162.179599609375,15,-113052.83655793335,149800,0.001,7282,0.0
160000,20,1544.1319848632813,10000.0,1168.308837890625,16,-113804.4548579375,159800,0.001,7770,0.0
170000,20,320.74581420898437,10000.0,1167.8905883789062,17,-112303.83629217646,169800,0.001,8259,0.0
180000,20,1156.384804534912,10000.0,1167.8941967773437,18,-112604.07383977777,179800,0.001,8748,0.0
190000,20,1447.089790649414,10000.0,1150.84671875,19,-110590.2177263158,189800,0.001,9238,0.0
200000,20,968.8959830474854,10000.0,1162.8314208984375,20,-111658.35401945,199800,0.001,9727,0.0
210000,20,225.28023727416993,10000.0,1129.781240234375,21,-109037.08227961905,209800,0.001,10213,0.0
220000,20,952.3741386413574,10000.0,1125.614833984375,22,-107833.96714468182,219800,0.001,10700,0.0
230000,20,758.7831079864502,10000.0,1131.6051831054688,23,-107476.68692834783,229800,0.001,11185,0.0
240000,20,180.9294592285156,10000.0,1104.4602685546874,24,-105698.76077649998,239800,0.001,11670,0.0
250000,20,266.8293224334717,10000.0,1089.7083923339844,25,-103110.72318767998,249800,0.001,12154,0.0
260000,20,178.25707778930663,10000.0,1093.8237951660155,26,-103823.97001680768,259800,0.001,12635,0.0
270000,20,1185.4463598632813,10000.0,1064.7626745605469,27,-101801.5460234074,269800,0.001,13121,0.0
280000,20,225.9131664276123,10000.0,1062.5415063476562,28,-99759.1466752857,279800,0.001,13608,0.0
290000,20,766.5879552459717,10000.0,1053.0558056640625,29,-99194.20545413792,289800,0.001,14094,0.0
300000,20,248.88826107025147,10000.0,1030.6954467773437,30,-97703.33566366666,299800,0.001,14583,0.0
310000,20,489.7217753601074,10000.0,1024.9460009765626,31,-96404.68489577419,309800,0.001,15072,0.0
313085,20,157.09692481994628,9783.90625,1022.6685949707031,32,-93737.34511468749,312900,0.001,15221,0.03125
323085,20,658.0236289978027,9790.454545454546,1033.4419592285155,33,-95679.81838278787,322900,0.001,15702,0.030303030303030304
333085,20,212.09948196411133,9796.617647058823,1015.9838696289063,34,-93746.74714497058,332900,0.001,16193,0.029411764705882353
343085,20,963.1156118774414,9802.42857142857,1005.3291528320312,35,-93079.69474505713,342900,0.001,16679,0.02857142857142857
353085,20,143.95774765014647,9807.916666666666,1006.3807568359375,36,-94470.51573069443,352900,0.001,17168,0.027777777777777776
363085,20,162.8652054977417,9813.108108108108,995.9375036621094,37,-94085.02016308108,362900,0.001,17670,0.02702702702702703
373085,20,101.23251426696777,9818.026315789473,1011.6066455078125,38,-93855.79873963156,372900,0.001,18157,0.02631578947368421
383085,20,134.86768405914307,9822.692307692309,1002.3976733398438,39,-93049.05079002562,382900,0.001,18645,0.02564102564102564
393085,20,248.44237674713133,9827.125,993.7318151855469,40,-93674.53709765,392900,0.001,19134,0.025
403085,20,811.9041122436523,9831.341463414634,988.0952734375,41,-93175.54088634146,402900,0.001,19621,0.024390243902439025
413085,20,244.02112331390381,9835.357142857143,980.6709814453125,42,-91904.56215769047,412900,0.001,20109,0.023809523809523808
423085,20,140.38671241760255,9839.186046511628,976.3700915527344,43,-90676.98118616278,422900,0.001,20594,0.023255813953488372
433085,20,487.63643657684327,9842.84090909091,977.9874755859375,44,-90306.59049820455,432900,0.001,21078,0.022727272727272728
443085,20,97.62279895782471,9846.333333333334,971.6492614746094,45,-89710.83831435555,442900,0.001,21563,0.022222222222222223
453085,20,89.44755577087402,9849.673913043478,954.5567517089844,46,-89060.71778586956,452900,0.001,22041,0.021739130434782608
463085,20,377.55338726043703,9852.872340425532,942.19546875,47,-88082.97975076595,462900,0.001,22522,0.02127659574468085
473085,20,433.58599636077884,9855.9375,929.0776025390625,48,-87190.0473530625,472900,0.001,23007,0.020833333333333332
483085,20,147.58810802459718,9858.877551020409,923.9673852539063,49,-86695.25271495918,482900,0.001,23494,0.02040816326530612
493085,20,1000.4631874084473,9861.7,934.2236083984375,50,-86467.02696049999,492900,0.001,23979,0.02
503085,20,128.5438921737671,9864.411764705883,921.6169372558594,51,-85607.03821833333,502900,0.001,24464,0.0196078431372549
513085,20,404.65534812927245,9867.01923076923,908.5892175292969,52,-84879.6917039423,512900,0.001,24950,0.019230769230769232
523085,20,173.17458827972413,9869.528301886792,894.8213842773438,53,-84454.50067273584,522900,0.001,25431,0.018867924528301886
533085,20,620.276335105896,9871.944444444445,908.7976477050781,54,-85088.84078544444,532900,0.001,25910,0.018518518518518517
543085,20,380.21753219604494,9874.272727272728,908.5573010253906,55,-84675.21598121816,542900,0.001,26394,0.01818181818181818
553085,20,513.3438321685791,9876.517857142857,898.9833142089843,56,-84124.05037187498,552900,0.001,26883,0.017857142857142856
563085,20,125.33730514526367,9878.684210526315,907.8434619140625,57,-84479.2851738421,562900,0.001,27369,0.017543859649122806
570045,20,351.95239280700685,9828.362068965518,917.0349829101563,58,-83742.6898550862,569900,0.001,27711,0.034482758620689655
580045,20,419.7158249473572,9831.271186440677,913.0987829589844,59,-83506.31425174575,579900,0.001,28194,0.03389830508474576
590045,20,350.33388051986697,9834.083333333334,888.01060546875,60,-83157.69204134999,589900,0.001,28675,0.03333333333333333
600045,20,421.176418876648,9836.803278688525,896.0236669921875,61,-82974.84434775409,599900,0.001,29159,0.03278688524590164
610045,20,325.7275144958496,9839.435483870968,886.3641442871094,62,-82557.19174677417,609900,0.001,29644,0.03225806451612903
618553,20,281.6048654937744,9818.301587301587,882.2067492675782,63,-81766.30888277775,618400,0.001,30061,0.047619047619047616
628553,20,220.90335025787354,9821.140625,888.7129760742188,64,-81598.21512765625,628400,0.001,30549,0.046875
638553,20,112.98577934265137,9823.892307692307,871.9488854980468,65,-81220.56300221538,638400,0.001,31032,0.046153846153846156
648553,20,292.45572189331057,9826.560606060606,897.69767578125,66,-81451.91981174242,648400,0.001,31516,0.045454545454545456
658553,20,104.4085555267334,9829.149253731342,892.14552734375,67,-80706.67142392536,658400,0.001,31999,0.04477611940298507
668553,20,216.00381343841553,9831.661764705883,900.2714453125,68,-81030.34737126471,668400,0.001,32480,0.04411764705882353
