time/time_elapsed,train/actor_loss,time/fps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/total timesteps,rollout/success rate,train/n_updates,time/episodes,train/critic_loss
252,29.16006675720215,19,0.001,5000.0,-12632.712505,5000,0.0,4800,1,0.6506510451436043
502,86.16482482910156,19,0.001,5000.0,-30865.754098999998,10000,0.0,9800,2,11.388605613708496
747,134.31130599975586,20,0.001,5000.0,-26647.43747,15000,0.0,14800,3,23.351569213867187
839,156.93774993896486,20,0.001,4244.5,-23274.9521075,16978,0.25,16800,4,83.01902808189392
1035,176.86018707275392,20,0.001,4187.2,-20209.7140308,20936,0.4,20800,5,47.98298900604248
1080,184.13261810302734,20,0.001,3661.0,-17575.722730166668,21966,0.5,21800,6,80.17550424575806
1154,190.3305697631836,20,0.001,3343.5714285714284,-15959.374626714285,23405,0.5714285714285714,23300,7,33.272799491882324
1163,193.38992584228515,20,0.001,2939.625,-13995.322013875,23517,0.625,23400,8,65.97963203430176
1404,205.90874328613282,20,0.001,3168.5555555555557,-13857.367792111112,28517,0.5555555555555556,28400,9,178.3326725769043
1649,218.13092041015625,20,0.001,3351.7,-13640.8900436,33517,0.5,33400,10,120.73035116195679
1685,217.94505676269532,20,0.001,3115.818181818182,-12810.03552590909,34274,0.5454545454545454,34100,11,251.02408096313476
1824,231.08070251464844,20,0.001,3084.8333333333335,-12542.325154999999,37018,0.5833333333333334,36900,12,229.32835647583008
2082,228.62097198486327,20,0.001,3232.153846153846,-12066.419563615384,42018,0.5384615384615384,41900,13,97.61141872406006
2198,226.65103210449217,20,0.001,3166.785714285714,-11491.931276857142,44335,0.5714285714285714,44200,14,155.40655918121337
2380,227.76003479003907,20,0.001,3202.866666666667,-11151.445053333333,48043,0.6,47900,15,174.7472543334961
2626,225.75710357666014,20,0.001,3315.1875,-10841.3570324375,53043,0.5625,52900,16,523.2870909500122
2851,227.06486083984376,20,0.001,3390.176470588235,-10724.260312058823,57633,0.5882352941176471,57500,17,192.2219163131714
3082,224.83692779541016,20,0.001,3459.5555555555557,-10516.11794711111,62272,0.6111111111111112,62100,18,408.1855764007568
3216,227.69228149414062,20,0.001,3420.4210526315787,-10165.276657157892,64988,0.631578947368421,64800,19,283.6888053512573
3460,230.29369018554686,20,0.001,3499.4,-10019.105543199998,69988,0.6,69800,20,100.57579479217529
3704,224.43097045898438,20,0.001,3570.8571428571427,-9843.444417047616,74988,0.5714285714285714,74800,21,274.2838985443115
3867,227.1881655883789,20,0.001,3555.181818181818,-9599.702407499997,78214,0.5909090909090909,78100,22,323.8021073913574
4065,219.88012725830077,20,0.001,3578.2608695652175,-9542.415537217388,82300,0.6086956521739131,82100,23,84.69398315429687
4162,226.7368603515625,20,0.001,3512.5833333333335,-9450.7149125,84302,0.625,84200,24,235.56979557037354
4198,234.81703491210936,20,0.001,3399.24,-9216.549597719999,84981,0.64,84800,25,198.34634201049803
4263,233.6088607788086,20,0.001,3321.0384615384614,-8935.929227346154,86347,0.6538461538461539,86200,26,426.83838966369626
4320,228.5138137817383,20,0.001,3239.925925925926,-8689.382578814815,87478,0.6666666666666666,87300,27,315.2307733154297
4340,225.1776220703125,20,0.001,3141.0,-8430.88289132143,87948,0.6785714285714286,87800,28,621.3050784301757
4409,228.70678771972655,20,0.001,3079.206896551724,-8245.940160793103,89297,0.6896551724137931,89100,29,325.4370460891724
4492,233.06632049560548,20,0.001,3029.8,-8146.545447766667,90894,0.7,90700,30,260.8571697616577
4527,232.24372467041016,20,0.001,2958.451612903226,-7954.748794612904,91712,0.7096774193548387,91600,31,382.8280867004394
4553,234.52017303466798,20,0.001,2878.84375,-7764.20259425,92123,0.71875,92000,32,195.50736164093018
4593,232.03494415283203,20,0.001,2817.878787878788,-7656.932374909092,92990,0.7272727272727273,92800,33,586.81903175354
4660,237.6102474975586,20,0.001,2774.4117647058824,-7592.558576441177,94330,0.7352941176470589,94200,34,227.66992988586426
4695,237.15966033935547,20,0.001,2716.942857142857,-7447.152140514287,95093,0.7428571428571429,94900,35,231.23439220428466
4713,238.8956689453125,20,0.001,2651.1944444444443,-7274.5797058611115,95443,0.75,95300,36,566.8459424209594
4771,241.6960583496094,20,0.001,2612.7567567567567,-7230.629624243244,96672,0.7567567567567568,96500,37,94.47222927093506
4973,240.3324108886719,20,0.001,2649.0789473684213,-7175.084283184211,100665,0.7631578947368421,100500,38,322.94048778533937
5072,238.4778045654297,20,0.001,2636.102564102564,-7095.319479769231,102808,0.7692307692307693,102700,39,273.13682056427
5177,239.09381713867188,20,0.001,2621.275,-6998.4200880749995,104851,0.775,104700,40,499.204705619812
5236,244.05722534179688,20,0.001,2585.9268292682927,-7009.628918487804,106023,0.7804878048780488,105900,41,560.5247798919678
5307,242.39224822998048,20,0.001,2558.714285714286,-6984.783858309524,107466,0.7857142857142857,107300,42,316.0007478713989
5546,242.94212646484374,20,0.001,2610.767441860465,-6970.013989860466,112263,0.7906976744186046,112100,43,165.65998195648194
5587,243.3214291381836,20,0.001,2570.090909090909,-6944.2799946136365,113084,0.7954545454545454,112900,44,460.2743743133545
5648,240.1070864868164,20,0.001,2540.6222222222223,-6835.331322999999,114328,0.8,114200,45,250.27818084716796
5718,247.89441436767578,20,0.001,2516.4565217391305,-6825.873063804348,115757,0.8043478260869565,115600,46,168.95485511779785
5736,243.99185485839843,20,0.001,2471.978723404255,-6704.185023382978,116183,0.8085106382978723,116000,47,392.18610679626465
5784,245.15402709960938,20,0.001,2440.0208333333335,-6602.140597645833,117121,0.8125,117000,48,249.31127471923827
5812,242.87381134033203,20,0.001,2403.9795918367345,-6531.116958714285,117795,0.8163265306122449,117600,49,505.8008309173584
5858,235.07029357910156,20,0.001,2372.64,-6437.98026968,118632,0.82,118500,50,443.5631243133545
5881,236.3066079711914,20,0.001,2336.4901960784314,-6346.336672313726,119161,0.8235294117647058,119000,51,633.5262890625
5945,238.62705810546876,20,0.001,2316.4423076923076,-6275.054425115385,120455,0.8269230769230769,120300,52,248.33882026672364
6021,246.21065246582032,20,0.001,2300.0377358490564,-6224.123644679245,121902,0.8301886792452831,121800,53,309.548676071167
6109,242.06953033447266,20,0.001,2292.222222222222,-6199.361831055555,123780,0.8333333333333334,123600,54,445.201064453125
6190,245.00418243408203,20,0.001,2280.690909090909,-6132.077225836363,125438,0.8363636363636363,125300,55,315.1270339202881
6350,249.3911782836914,20,0.001,2297.714285714286,-6127.1925386249995,128672,0.8392857142857143,128500,56,271.3009734344482
6371,239.8373895263672,20,0.001,2265.6666666666665,-6042.791684859649,129143,0.8421052631578947,129000,57,297.27972770690917
6437,247.89022491455077,20,0.001,2249.362068965517,-5972.51720287931,130463,0.8448275862068966,130300,58,414.5017017364502
6503,244.89390380859376,20,0.001,2233.508474576271,-5910.992557033898,131777,0.847457627118644,131600,59,627.4291785430909
6527,237.54657440185548,20,0.001,2203.883333333333,-5834.997627083333,132233,0.85,132100,60,539.4265522766113
6567,242.78844665527345,20,0.001,2180.9508196721313,-5779.619279934426,133038,0.8524590163934426,132900,61,429.55430114746093
6618,246.56027099609375,20,0.001,2163.2419354838707,-5720.217152096774,134121,0.8548387096774194,134000,62,230.41457008361817
6856,242.9808627319336,20,0.001,2206.1111111111113,-5722.888400603175,138985,0.8571428571428571,138800,63,491.8846673583984
6903,241.83843811035158,20,0.001,2184.609375,-5645.2929016875,139815,0.859375,139700,64,191.52766792297362
6922,244.83995727539062,20,0.001,2157.476923076923,-5583.490258215384,140236,0.8615384615384616,140100,65,446.8381785583496
6999,241.8428225708008,20,0.001,2147.651515151515,-5576.20652660606,141745,0.8636363636363636,141600,66,508.31852439880373
7016,243.24331024169922,20,0.001,2120.6567164179105,-5521.099552074626,142084,0.8656716417910447,141900,67,550.3271262359619
7082,241.25081512451172,20,0.001,2108.985294117647,-5498.766571882352,143411,0.8676470588235294,143300,68,261.15739654541017
7133,243.57029541015626,20,0.001,2093.0,-5439.754174043477,144417,0.8695652173913043,144300,69,277.7844225311279
7165,244.79662628173827,20,0.001,2074.1857142857143,-5406.899102642856,145193,0.8714285714285714,145000,70,319.19381698608396
7203,245.12793334960938,20,0.001,2054.5915492957747,-5359.378491352111,145876,0.8732394366197183,145700,71,274.2796689605713
7220,238.85134796142577,20,0.001,2031.361111111111,-5298.474771444444,146258,0.875,146100,72,362.10875175476076
7257,243.76976623535157,20,0.001,2012.4246575342465,-5245.945579191781,146907,0.8767123287671232,146800,73,360.90166534423827
7280,244.1691989135742,20,0.001,1992.662162162162,-5197.869744067567,147457,0.8783783783783784,147300,74,319.7967830657959
7526,236.4215118408203,20,0.001,2032.76,-5246.944998773333,152457,0.8666666666666667,152300,75,549.6120454406738
7545,239.72152709960938,20,0.001,2010.6052631578948,-5216.07600525,152806,0.868421052631579,152700,76,342.34899795532226
7604,242.57461395263672,20,0.001,2000.3506493506493,-5178.347207857143,154027,0.8701298701298701,153900,77,280.7324308013916
7654,235.3451220703125,20,0.001,1988.3076923076924,-5126.54566625641,155088,0.8717948717948718,154900,78,430.1565835571289
