time/total timesteps,train/n_updates,time/fps,time/episodes,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,train/learning_rate,rollout/ep_len_mean,rollout/success rate,time/time_elapsed
15000,14800,70,1,-25023.679502,47.42777702331543,0.04734716588631272,0.001,15000.0,0.0,212
30000,29800,69,2,-13929.724801,55.73728507995605,2.656769355237484,0.001,15000.0,0.0,432
45000,44800,69,3,-11615.203161,55.13947074890137,1.3600852040946483,0.001,15000.0,0.0,648
60000,59800,69,4,-12309.58581875,60.331202087402346,0.7517550754547119,0.001,15000.0,0.0,868
75000,74800,69,5,-11977.520715,69.77897972106933,1.792375577390194,0.001,15000.0,0.0,1085
90000,89800,69,6,-11163.360312833334,71.14273170471192,1.6327668422460555,0.001,15000.0,0.0,1304
105000,104800,69,7,-10542.489126142858,75.92859420776367,2.0827164840698242,0.001,15000.0,0.0,1520
120000,119800,69,8,-13169.246825499999,89.18056350708008,1.3319230404496194,0.001,15000.0,0.0,1738
135000,134800,69,9,-12089.700468222221,86.33464172363281,0.955106625854969,0.001,15000.0,0.0,1956
150000,149800,68,10,-11141.818181599998,80.25288360595704,0.5895314852893353,0.001,15000.0,0.0,2173
150609,150500,68,11,-10129.806485727271,79.57304748535157,1.3897593286633492,0.001,13691.727272727272,0.09090909090909091,2183
165609,165500,68,12,-11325.235708833332,85.98566543579102,1.4804496601969004,0.001,13800.75,0.08333333333333333,2401
180609,180500,68,13,-10827.11351476923,81.34848190307618,0.6154705163836479,0.001,13893.0,0.07692307692307693,2619
195609,195500,68,14,-11553.31254792857,88.4981997680664,1.2284831303358077,0.001,13972.07142857143,0.07142857142857142,2837
210609,210500,68,15,-11410.057948599999,85.6200048828125,10.104143033474683,0.001,14040.6,0.06666666666666667,3055
225609,225500,68,16,-11137.2829218125,83.80631958007812,1.4688778557628392,0.001,14100.5625,0.0625,3273
229524,229400,68,17,-10546.987684117646,82.08970016479492,0.4518449039757252,0.001,13501.411764705883,0.11764705882352941,3330
230691,230500,68,18,-9971.0624365,81.23542053222656,0.3544381032884121,0.001,12816.166666666666,0.16666666666666666,3347
233780,233600,68,19,-9470.933319842106,82.46778594970704,0.24443538829684258,0.001,12304.21052631579,0.21052631578947367,3392
248780,248600,68,20,-9250.0139196,77.28098739624023,0.5384589353203774,0.001,12439.0,0.2,3610
251546,251400,68,21,-8831.166318809523,76.61759063720703,0.48924901608377697,0.001,11978.380952380952,0.23809523809523808,3650
254479,254300,68,22,-8493.780186727272,78.5988523864746,0.2374107325822115,0.001,11567.227272727272,0.2727272727272727,3693
262058,261900,68,23,-8186.416246347827,79.77853164672851,0.38960821360349657,0.001,11393.826086956522,0.30434782608695654,3803
266126,266000,68,24,-7955.386949749999,77.18405364990234,0.4808874472975731,0.001,11088.583333333334,0.3333333333333333,3862
281126,281000,68,25,-7913.1196486399995,75.58590324401855,4.736346814483404,0.001,11245.04,0.32,4080
296126,296000,68,26,-7722.764985730769,72.27970985412598,1.0266328916698695,0.001,11389.461538461539,0.3076923076923077,4300
297965,297800,68,27,-7469.127302851852,72.48135810852051,1.839207292199135,0.001,11035.74074074074,0.3333333333333333,4326
301782,301600,68,28,-7344.274582607142,73.23266799926758,12.75815615311265,0.001,10777.92857142857,0.35714285714285715,4383
305923,305800,68,29,-7253.394461310344,73.46921844482422,0.3838901454210281,0.001,10549.068965517241,0.3793103448275862,4445
307108,307000,68,30,-7031.403008366667,73.58482391357421,1.0985161365568639,0.001,10236.933333333332,0.4,4462
308498,308300,68,31,-6824.521825193548,74.55835540771484,0.49729820288717747,0.001,9951.548387096775,0.41935483870967744,4483
312684,312500,68,32,-6734.3803619375,73.33207778930664,0.3878321582823992,0.001,9771.375,0.4375,4545
314983,314800,68,33,-6571.669484121213,73.13926254272461,0.4378683479130268,0.001,9544.939393939394,0.45454545454545453,4579
316457,316300,68,34,-6390.215245235295,73.14415336608887,2.415022401809692,0.001,9307.558823529413,0.47058823529411764,4601
317940,317800,68,35,-6234.2999734,73.85756370544433,0.567160513177514,0.001,9084.0,0.4857142857142857,4623
322353,322200,68,36,-6104.0318938888895,73.25219078063965,11.419734960198403,0.001,8954.25,0.5,4689
337353,337200,68,37,-6004.534246621622,68.84767318725586,0.36112066768109796,0.001,9117.648648648648,0.4864864864864865,4911
352353,352200,67,38,-5907.2993597631585,66.0534748840332,14.477874100506305,0.001,9272.447368421053,0.47368421052631576,5194
362670,362500,67,39,-5860.554040717949,66.74960227966308,1.1381395531445742,0.001,9299.23076923077,0.48717948717948717,5351
377670,377500,67,40,-6679.9144153,75.4297492980957,0.5864094854146242,0.001,9441.75,0.475,5584
392670,392500,67,41,-7060.575669000001,76.55049446105957,5.70193834900856,0.001,9577.317073170732,0.4634146341463415,5812
404003,403900,67,42,-7206.396648833334,80.24968215942383,2.043850406706333,0.001,9619.119047619048,0.47619047619047616,5983
409408,409300,67,43,-7049.226856581396,81.05414505004883,6.346331463307142,0.001,9521.116279069767,0.4883720930232558,6062
412193,412000,67,44,-6954.109738045456,81.23886085510254,0.22017845787107945,0.001,9368.022727272728,0.5,6102
413382,413200,67,45,-6809.1630394,80.18064224243165,0.6596208196133375,0.001,9186.266666666666,0.5111111111111111,6120
428382,428200,67,46,-6952.229259478261,82.61791900634766,0.6860005380958318,0.001,9312.652173913044,0.5,6354
439877,439700,67,47,-7002.753316340426,81.78110610961915,4.24524413973093,0.001,9359.08510638298,0.5106382978723404,6538
444880,444700,67,48,-6965.201279375001,81.25467849731446,12.57354773454368,0.001,9268.333333333334,0.5208333333333334,6615
445534,445400,67,49,-6826.433961775511,82.33479278564454,0.2635574808716774,0.001,9092.530612244898,0.5306122448979592,6625
447490,447300,67,50,-6711.725457260001,80.61931747436523,0.16223462894558907,0.001,8949.8,0.54,6655
451533,451400,67,51,-6624.323019392158,80.21287620544433,2.1726764188706875,0.001,8853.588235294117,0.5490196078431373,6720
455552,455400,67,52,-6510.7214230384625,78.53740875244141,27.651929112896322,0.001,8760.615384615385,0.5576923076923077,6785
458121,458000,67,53,-6427.840085113209,78.93465339660645,0.21902936454862357,0.001,8643.792452830188,0.5660377358490566,6829
462077,461900,67,54,-6349.438917129632,79.70901130676269,8.063592161536217,0.001,8556.981481481482,0.5740740740740741,6890
463024,462900,67,55,-6240.440110145456,79.12931243896485,0.43966699577867985,0.001,8418.618181818181,0.5818181818181818,6904
464854,464700,67,56,-6153.4840727142855,77.7653621673584,5.144799732193351,0.001,8300.964285714286,0.5892857142857143,6931
