time/time_elapsed,time/episodes,rollout/ep_rew_mean,train/critic_loss,rollout/success rate,train/n_updates,train/actor_loss,rollout/ep_len_mean,time/fps,time/total timesteps,train/learning_rate
127,1,-551008.581436,4376.472673339844,0.0,4800,1019.6521435546875,5000.0,39,5000,0.001
255,2,-416598.47510549997,5958.564216308594,0.0,9800,1744.03912109375,5000.0,39,10000,0.001
384,3,-366507.61782,2519.0388580322265,0.0,14800,2336.5479541015625,5000.0,39,15000,0.001
512,4,-342459.11776149995,9553.053861083985,0.0,19800,2843.4523681640626,5000.0,39,20000,0.001
640,5,-327118.6376142,3666.6196710205077,0.0,24800,3288.9948974609374,5000.0,39,25000,0.001
769,6,-310935.9502363333,9925.993107910157,0.0,29800,3680.2392236328124,5000.0,39,30000,0.001
897,7,-295879.7367312857,17881.493073730468,0.0,34800,3993.3706005859376,5000.0,38,35000,0.001
1026,8,-282311.045977875,4905.251711425782,0.0,39800,4254.52060546875,5000.0,38,40000,0.001
1157,9,-269865.539985,2504.0845544433596,0.0,44800,4448.77779296875,5000.0,38,45000,0.001
1290,10,-259909.83034040002,14096.183149414062,0.0,49800,4626.989658203125,5000.0,38,50000,0.001
1419,11,-252756.89392536366,6295.083024902344,0.0,54800,4743.77271484375,5000.0,38,55000,0.001
1549,12,-256759.67836908335,2376.5779162597655,0.0,59800,4867.754189453125,5000.0,38,60000,0.001
1678,13,-249985.43367146156,12039.747175292969,0.0,64800,4985.433759765625,5000.0,38,65000,0.001
1806,14,-242258.02124078575,2226.719340209961,0.0,69800,5008.696552734375,5000.0,38,70000,0.001
1934,15,-237091.7987488667,2379.381838378906,0.0,74800,5023.279541015625,5000.0,38,75000,0.001
2063,16,-233894.8512864375,11404.323571777344,0.0,79800,5026.451083984375,5000.0,38,80000,0.001
2192,17,-229431.08396758823,8011.035978393555,0.0,84800,4992.007451171875,5000.0,38,85000,0.001
2321,18,-224378.15025744445,2603.943687744141,0.0,89800,4997.070390625,5000.0,38,90000,0.001
2458,19,-219799.86926878948,6782.903367919922,0.0,94800,4958.87111328125,5000.0,38,95000,0.001
2597,20,-214965.486906,6817.581199951172,0.0,99800,4884.360048828125,5000.0,38,100000,0.001
2731,21,-209536.9067877143,6546.690970458984,0.0,104800,4807.28107421875,5000.0,38,105000,0.001
2864,22,-204574.89053645454,10702.510784912109,0.0,109800,4750.956494140625,5000.0,38,110000,0.001
2997,23,-201149.61723591306,5674.53824584961,0.0,114800,4637.387548828125,5000.0,38,115000,0.001
3130,24,-199747.80189016668,6171.741607666016,0.0,119800,4554.8284765625,5000.0,38,120000,0.001
3266,25,-195270.02726632,2353.4186047363282,0.0,124800,4469.62064453125,5000.0,38,125000,0.001
3401,26,-192261.30873984614,9080.43185913086,0.0,129800,4402.4408984375,5000.0,38,130000,0.001
3535,27,-188846.39330855553,2157.326115722656,0.0,134800,4302.905283203125,5000.0,38,135000,0.001
3670,28,-187829.0126295357,7152.250601806641,0.0,139800,4281.742099609375,5000.0,38,140000,0.001
3803,29,-184650.35197265513,28249.60436401367,0.0,144800,4224.874296875,5000.0,38,145000,0.001
3939,30,-180901.5939206,23732.752814941407,0.0,149800,4127.940874023438,5000.0,38,150000,0.001
4074,31,-177536.33258006448,12950.109445800781,0.0,154800,4023.2572021484375,5000.0,38,155000,0.001
4208,32,-174887.87392421876,9765.185625,0.0,159800,3941.8314501953123,5000.0,38,160000,0.001
4345,33,-172019.84713921213,5287.014419555664,0.0,164800,3854.3585498046873,5000.0,37,165000,0.001
4479,34,-169219.77602479412,10068.182669677735,0.0,169800,3792.272529296875,5000.0,37,170000,0.001
4568,35,-166137.27870637143,25511.66280151367,0.02857142857142857,173100,3742.5594189453127,4949.142857142857,37,173220,0.001
4705,36,-163862.88173675002,25773.270411376954,0.027777777777777776,178100,3654.413681640625,4950.555555555556,37,178220,0.001
4842,37,-161806.36407524324,8270.842923583985,0.02702702702702703,183100,3583.4838623046876,4951.891891891892,37,183220,0.001
4980,38,-160043.53054936844,5946.935190429687,0.02631578947368421,188100,3541.5322265625,4953.1578947368425,37,188220,0.001
5117,39,-162117.53062046153,10879.010427246094,0.02564102564102564,193100,3507.3634716796873,4954.358974358975,37,193220,0.001
5255,40,-170130.059109625,8075.756795654297,0.025,198100,3528.311259765625,4955.5,37,198220,0.001
5393,41,-174744.73978748778,8680.793260498047,0.024390243902439025,203100,3597.6951708984375,4956.585365853659,37,203220,0.001
5528,42,-179569.85040019048,3619.1125354003907,0.023809523809523808,208100,3600.666474609375,4957.619047619048,37,208220,0.001
5672,43,-180292.6622818837,5540.385642089844,0.023255813953488372,213100,3571.1522705078123,4958.604651162791,37,213220,0.001
5805,44,-180400.34851275,9759.302568359375,0.022727272727272728,218100,3581.588271484375,4959.545454545455,37,218220,0.001
5940,45,-181386.65317477778,8982.40079711914,0.022222222222222223,223100,3544.24666015625,4960.444444444444,37,223220,0.001
6076,46,-180060.99665945652,8401.293372802735,0.021739130434782608,228100,3541.73357421875,4961.304347826087,37,228220,0.001
6212,47,-178683.38087810634,10867.84188720703,0.02127659574468085,233100,3516.512353515625,4962.127659574468,37,233220,0.001
6350,48,-176719.80755564582,8739.526016845703,0.020833333333333332,238100,3468.825556640625,4962.916666666667,37,238220,0.001
6485,49,-174943.04163132655,8180.92021484375,0.02040816326530612,243100,3429.0016796875,4963.673469387755,37,243220,0.001
6620,50,-173223.13867200003,4108.783930664063,0.02,248100,3375.326640625,4964.4,37,248220,0.001
6754,51,-171615.9586809412,4852.600081787109,0.0196078431372549,253100,3285.651875,4965.098039215686,37,253220,0.001
6889,52,-169979.48812371155,4001.9882934570314,0.019230769230769232,258100,3260.36619140625,4965.7692307692305,37,258220,0.001
7027,53,-168410.11922558493,3794.8462121582033,0.018867924528301886,263100,3213.618173828125,4966.415094339623,37,263220,0.001
7162,54,-166926.74593083336,5025.84470703125,0.018518518518518517,268100,3178.423134765625,4967.037037037037,37,268220,0.001
7298,55,-165410.0707746182,5823.883162841797,0.01818181818181818,273100,3151.1415869140624,4967.636363636364,37,273220,0.001
7432,56,-163950.68605467858,7971.546799316407,0.017857142857142856,278100,3113.353623046875,4968.214285714285,37,278220,0.001
7567,57,-162522.62533903506,6726.374143066406,0.017543859649122806,283100,3077.27166015625,4968.771929824561,37,283220,0.001
7704,58,-161284.56965215516,3885.669812011719,0.017241379310344827,288100,3082.9777099609373,4969.310344827586,37,288220,0.001
7840,59,-160045.0091617627,6701.548583984375,0.01694915254237288,293100,3046.673330078125,4969.830508474576,37,293220,0.001
7976,60,-158697.48429523333,6473.523912353516,0.016666666666666666,298100,2977.15150390625,4970.333333333333,37,298220,0.001
8108,61,-157427.1154689672,4964.389198608398,0.01639344262295082,303100,2921.74080078125,4970.819672131148,37,303220,0.001
8238,62,-156297.98277669356,28848.168186035156,0.016129032258064516,308100,2830.76095703125,4971.290322580645,37,308220,0.001
8368,63,-155487.25884690476,31228.727784423827,0.015873015873015872,313100,2822.531875,4971.746031746032,37,313220,0.001
8499,64,-155313.05984457812,23265.819650878908,0.015625,318100,2776.628935546875,4972.1875,37,318220,0.001
8629,65,-155410.23583984617,5923.389696044922,0.015384615384615385,323100,2781.4101318359376,4972.615384615385,37,323220,0.001
8759,66,-154021.0111746515,5344.7314489746095,0.015151515151515152,328100,2762.3263623046873,4973.030303030303,37,328220,0.001
8889,67,-154487.6064845821,6104.795355224609,0.014925373134328358,333100,2725.438564453125,4973.432835820896,37,333220,0.001
9018,68,-155793.16429742647,10064.889855957032,0.014705882352941176,338100,2746.22904296875,4973.823529411765,37,338220,0.001
9148,69,-156078.23025213045,6642.392514648437,0.014492753623188406,343100,2744.1616162109376,4974.202898550725,37,343220,0.001
9278,70,-156735.96944038573,9729.832930908204,0.014285714285714285,348100,2754.2032763671873,4974.571428571428,37,348220,0.001
9409,71,-155667.17768923944,13035.41227294922,0.014084507042253521,353100,2755.3504736328123,4974.929577464789,37,353220,0.001
9538,72,-156282.78127175,13914.24586303711,0.013888888888888888,358100,2804.2585595703126,4975.277777777777,37,358220,0.001
9669,73,-157444.6321908767,6094.730172119141,0.0136986301369863,363100,2831.005888671875,4975.6164383561645,37,363220,0.001
9799,74,-157270.6832273108,4494.332200927734,0.013513513513513514,368100,2827.496083984375,4975.945945945946,37,368220,0.001
9928,75,-157201.16545272002,13409.770466308593,0.013333333333333334,373100,2868.575361328125,4976.266666666666,37,373220,0.001
10058,76,-156797.86262746053,8685.333143310547,0.013157894736842105,378100,2844.3174365234377,4976.578947368421,37,378220,0.001
10188,77,-159481.8129941948,5917.366491699218,0.012987012987012988,383100,2861.5611328125,4976.883116883117,37,383220,0.001
10318,78,-158781.01799271794,15314.621651611327,0.01282051282051282,388100,2848.715908203125,4977.179487179487,37,388220,0.001
10448,79,-158012.9566036709,7371.398436279297,0.012658227848101266,393100,2815.3043408203125,4977.46835443038,37,393220,0.001
10578,80,-159209.8425991625,8880.38865966797,0.0125,398100,2854.4274267578126,4977.75,37,398220,0.001
10709,81,-158690.28058408643,7317.541560058594,0.012345679012345678,403100,2854.8519677734375,4978.024691358025,37,403220,0.001
10840,82,-157764.73526660976,18745.826271972655,0.012195121951219513,408100,2823.938798828125,4978.292682926829,37,408220,0.001
10973,83,-156674.77219833733,18394.733063964843,0.012048192771084338,413100,2833.9244140625,4978.55421686747,37,413220,0.001
11104,84,-157943.88497747618,5901.29060546875,0.011904761904761904,418100,2835.3764599609376,4978.809523809524,37,418220,0.001
11235,85,-157366.3242881412,8369.540720214844,0.011764705882352941,423100,2812.107763671875,4979.058823529412,37,423220,0.001
11365,86,-157558.85063731394,4890.620510253906,0.011627906976744186,428100,2836.05640625,4979.302325581395,37,428220,0.001
11494,87,-156535.47999320689,12323.141159667968,0.011494252873563218,433100,2798.807041015625,4979.540229885058,37,433220,0.001
11621,88,-158183.27605867048,6879.323211669922,0.011363636363636364,438100,2795.6495654296873,4979.772727272727,37,438220,0.001
11747,89,-157446.67790464047,18870.290288085936,0.011235955056179775,443100,2824.642236328125,4980.0,37,443220,0.001
11873,90,-157450.8661677,11059.1409765625,0.011111111111111112,448100,2834.1699755859377,4980.222222222223,37,448220,0.001
11999,91,-158757.7926152088,5953.535354003906,0.01098901098901099,453100,2879.8615576171874,4980.43956043956,37,453220,0.001
12125,92,-157979.11361248913,6293.796640625,0.010869565217391304,458100,2837.49021484375,4980.652173913043,37,458220,0.001
12251,93,-158184.03553682796,21096.943913574218,0.010752688172043012,463100,2812.4771142578124,4980.860215053764,37,463220,0.001
12377,94,-157472.65695731915,5454.137548828125,0.010638297872340425,468100,2808.5898828125,4981.063829787234,37,468220,0.001
12503,95,-156654.49079590527,8920.542141113281,0.010526315789473684,473100,2776.7188037109377,4981.263157894737,37,473220,0.001
12628,96,-155881.45963578124,14455.387080078124,0.010416666666666666,478100,2767.3954296875,4981.458333333333,37,478220,0.001
12755,97,-156541.7917966804,18472.39044921875,0.010309278350515464,483100,2780.3363037109375,4981.649484536082,37,483220,0.001
12880,98,-155844.66952302042,28815.891467285157,0.01020408163265306,488100,2776.0075244140626,4981.836734693878,37,488220,0.001
13005,99,-157251.1868641212,9508.03619873047,0.010101010101010102,493100,2806.5907275390623,4982.020202020202,37,493220,0.001
13131,100,-156486.9242244,14657.195952148437,0.01,498100,2783.2718212890627,4982.2,37,498220,0.001
13258,101,-151758.45743215,20098.501479492188,0.01,503100,2803.069326171875,4982.2,37,503220,0.001
13383,102,-150779.56423249,6620.768569335937,0.01,508100,2789.027138671875,4982.2,37,508220,0.001
13509,103,-148970.59941571,6930.714196777344,0.01,513100,2808.2022021484377,4982.2,37,513220,0.001
13636,104,-148131.75811753998,7540.00236328125,0.01,518100,2825.4872509765623,4982.2,38,518220,0.001
13762,105,-146293.95546442,13024.166301269532,0.01,523100,2848.35828125,4982.2,38,523220,0.001
13888,106,-144822.15412312,13703.284719238281,0.01,528100,2801.4735302734375,4982.2,38,528220,0.001
14014,107,-143603.83110414003,8303.141650390626,0.01,533100,2811.3792626953127,4982.2,38,533220,0.001
14141,108,-142435.780256,11250.886005859375,0.01,538100,2738.9106689453124,4982.2,38,538220,0.001
14267,109,-141494.88971766003,12670.514826660155,0.01,543100,2765.9076025390623,4982.2,38,543220,0.001
