rollout/ep_len_mean,rollout/ep_rew_mean,time/total timesteps,rollout/success rate,train/actor_loss,train/critic_loss,train/n_updates,time/fps,time/episodes,train/learning_rate,time/time_elapsed
4877.83,-87984.40996304998,2010000,0.11,3997.4036328125,31278.50998046875,2009800,7759,409,0.001,259
4927.83,-95528.36784101,2020000,0.11,3987.2291943359373,29612.112578125,2019800,3900,410,0.001,517
4885.51,-93968.92095212999,2020768,0.12,4014.51783203125,33321.113828125,2020600,3774,411,0.001,535
4935.51,-98622.00582548002,2030768,0.12,4489.749658203125,26979.278544921875,2030600,2529,412,0.001,802
4985.51,-104069.20909800002,2040768,0.12,4911.2912890625,29209.29095703125,2040600,1922,413,0.001,1061
5035.51,-108726.53296121003,2050768,0.12,4974.303857421875,40834.39140625,2050600,1553,414,0.001,1320
5085.51,-112446.97433892003,2060768,0.12,5089.15048828125,22334.02771484375,2060600,1304,415,0.001,1579
5135.51,-114744.42009534001,2070768,0.12,5277.75814453125,27886.923974609374,2070600,1125,416,0.001,1839
5185.51,-115932.11151382001,2080768,0.12,5288.97662109375,21541.759853515625,2080600,990,417,0.001,2100
5235.51,-121961.39774362002,2090768,0.12,5335.366240234375,41059.7148828125,2090600,885,418,0.001,2361
5285.51,-124636.86384692002,2100768,0.12,5363.430634765625,29873.0332421875,2100600,801,419,0.001,2621
5289.72,-125384.47502358,2106189,0.13,5392.75234375,22692.29199707031,2106000,763,420,0.001,2757
5339.72,-127574.10916378001,2116189,0.13,5203.36783203125,16452.543359375,2116000,702,421,0.001,3010
5389.72,-129503.46759025,2126189,0.13,5224.305859375,23883.43261230469,2126000,652,422,0.001,3260
5439.72,-132350.65830989002,2136189,0.13,5208.5027734375,21192.04078125,2136000,608,423,0.001,3512
5442.2,-132421.67835587,2138883,0.13,5183.31373046875,33952.47329101562,2138700,597,424,0.001,3579
5500.49,-140797.61714805,2148883,0.12,5294.894111328125,20415.4987890625,2148700,561,425,0.001,3829
5550.49,-142972.08224266,2158883,0.12,5306.520302734375,27533.846015625,2158700,529,426,0.001,4079
5600.49,-150760.77411603,2168883,0.12,5528.24830078125,27837.002548828124,2168700,500,427,0.001,4330
5650.49,-153122.65413889996,2178883,0.12,5500.480146484375,20386.975537109374,2178700,475,428,0.001,4580
5623.21,-151982.73041874997,2181155,0.13,5546.33779296875,17494.626938476562,2181000,470,429,0.001,4638
5673.21,-154273.22600116,2191155,0.13,5483.053154296875,16752.76263671875,2191000,448,430,0.001,4890
5723.21,-159235.08678781,2201155,0.13,5431.20072265625,22870.176513671875,2201000,428,431,0.001,5141
5714.19,-159748.33580428996,2204756,0.13,5372.735029296875,15099.40505859375,2204600,421,432,0.001,5232
5764.19,-163784.66242210998,2214756,0.13,5365.87431640625,28313.829423828123,2214600,403,433,0.001,5484
5814.19,-166420.18904125,2224756,0.13,5301.359189453125,14737.13328125,2224600,387,434,0.001,5734
5864.19,-168466.42309543,2234756,0.13,5210.14052734375,20874.344223632812,2234600,373,435,0.001,5988
5863.18,-167801.20963804,2239655,0.14,5161.95501953125,56627.935014648436,2239500,366,436,0.001,6115
5913.18,-172415.19801425998,2249655,0.14,5134.320869140625,13883.269541015625,2249500,352,437,0.001,6373
5944.07,-173991.51091154,2256363,0.14,5050.5616015625,13413.759584960937,2256200,344,438,0.001,6548
5994.07,-184696.79201448,2266363,0.14,5059.4945703125,16770.345639648436,2266200,332,439,0.001,6807
6044.07,-186251.74956842003,2276363,0.14,4975.976875,16126.336533203124,2276200,322,440,0.001,7067
6094.07,-188239.65995622997,2286363,0.14,4908.0902734375,26671.10787109375,2286200,312,441,0.001,7325
6144.07,-190111.47747417996,2296363,0.14,4879.815595703125,35076.746474609376,2296200,302,442,0.001,7584
6155.76,-190891.25278636997,2302532,0.15,4850.510390625,18723.66016113281,2302400,297,443,0.001,7744
6205.76,-193322.01598275997,2312532,0.15,4786.11724609375,11135.097421875,2312400,288,444,0.001,8003
6255.76,-194737.24591559003,2322532,0.15,4702.0556640625,23999.240830078124,2322400,281,445,0.001,8262
6305.76,-196593.58622255002,2332532,0.15,4640.677744140625,44272.34500488281,2332400,273,446,0.001,8522
6355.76,-198355.53224179,2342532,0.15,4588.4714453125,19500.960590820312,2342400,266,447,0.001,8782
6405.76,-200104.64476945996,2352532,0.15,4497.580439453125,25182.636796875,2352400,260,448,0.001,9043
6455.76,-200896.06613401,2362532,0.15,4456.020966796875,11513.522841796876,2362400,253,449,0.001,9301
6434.26,-200170.72613497998,2365382,0.16,4451.184765625,13752.416259765625,2365200,252,450,0.001,9375
6484.26,-201660.16988357,2375382,0.16,4350.780498046875,13335.299462890625,2375200,246,451,0.001,9634
6534.26,-206482.5915011,2385382,0.16,4381.570966796875,21322.706088867188,2385200,241,452,0.001,9894
6560.31,-207515.27865922995,2392987,0.17,4335.7900390625,30279.16658203125,2392800,237,453,0.001,10092
6528.83,-207393.41206043996,2394839,0.18,4325.934736328125,11550.648569335937,2394700,236,454,0.001,10140
6578.83,-208229.30767955992,2404839,0.18,4285.018833007813,10852.420795898437,2404700,231,455,0.001,10390
6628.83,-209184.35297076998,2414839,0.18,4266.806538085937,10418.777143554687,2414700,226,456,0.001,10643
6678.83,-210456.34229364002,2424839,0.18,4172.216796875,26880.139565429687,2424700,222,457,0.001,10894
6665.14,-211797.80022199996,2428470,0.19,4184.249848632812,11958.728811035156,2428300,221,458,0.001,10985
6715.14,-212397.97391720998,2438470,0.19,4178.6129296875,17818.943193359373,2438300,217,459,0.001,11236
6678.62,-212072.26374874,2439818,0.2,4155.3548046875,22492.217583007812,2439700,216,460,0.001,11271
6728.62,-215051.47004002,2449818,0.2,4174.885756835937,14071.783188476562,2449700,212,461,0.001,11523
6778.62,-216589.38116263,2459818,0.2,4048.895361328125,13145.5185546875,2459700,208,462,0.001,11773
6865.92,-218707.67296851,2469818,0.19,4069.4890185546874,27917.974418945312,2469700,205,463,0.001,12025
