train/n_updates,train/actor_loss,train/critic_loss,time/fps,time/total timesteps,rollout/success rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/episodes
4002800,2361.0567041015624,11492.674578857423,54207,4002977,0.41,8017.16,-162275.55138578,73,0.001,651
4017800,2388.7579248046877,9365.525457763672,8736,4017977,0.4,8118.29,-164258.31178753,459,0.001,652
4025400,2417.883525390625,16314.098071289063,6205,4025530,0.4,8107.95,-164604.44069770002,648,0.001,653
4027800,2406.1568115234377,5980.060480957031,5680,4027909,0.41,8031.74,-162771.28775156997,709,0.001,654
4040600,2391.9638623046876,8517.76001220703,3929,4040726,0.42,8059.91,-163020.74258571,1028,0.001,655
4046600,2412.3147802734375,6912.888236083984,3416,4046773,0.43,8020.38,-161898.36344199997,1184,0.001,656
4060400,2376.247744140625,9294.603995361329,2658,4060543,0.44,8058.08,-162603.89086262,1527,0.001,657
4065600,2373.366494140625,10609.186818847656,2447,4065753,0.45,8010.18,-160894.31101379,1661,0.001,658
4080600,2316.7209033203126,11756.363238525391,2004,4080753,0.44,8125.29,-161815.25355676,2036,0.001,659
4095600,2294.13232421875,14646.169931640625,1698,4095753,0.43,8253.37,-163789.59715119,2411,0.001,660
4110600,2269.3362548828127,6456.652728271484,1474,4110753,0.42,8380.39,-165207.23326667998,2786,0.001,661
4123800,2231.101943359375,11423.562548828126,1323,4123972,0.42,8453.55,-165283.9414275,3117,0.001,662
4138800,2225.839621582031,10358.346569824218,1185,4138972,0.42,8503.55,-164541.14835738,3492,0.001,663
4153800,2211.1372729492186,6564.998010253907,1073,4153972,0.41,8641.82,-165918.26277113997,3868,0.001,664
4168800,2195.7579565429687,12994.459307861329,982,4168972,0.41,8691.82,-167081.90403323996,4245,0.001,665
4183800,2165.4061669921875,8741.215357666015,905,4183972,0.41,8741.82,-167777.06094462995,4622,0.001,666
4192800,2141.6709057617186,8771.523438720704,864,4192950,0.41,8765.14,-167530.00146889,4848,0.001,667
4204900,2134.6140625,5625.3083984375,815,4205073,0.42,8786.37,-163189.75266392998,5155,0.001,668
4214400,2113.6784521484374,8902.641287841798,781,4214544,0.42,8869.87,-164244.28647775,5395,0.001,669
4229400,2070.1139624023435,7210.90693359375,731,4229544,0.42,8919.87,-163681.77469378,5778,0.001,670
4237100,2076.316396484375,5396.823986816406,709,4237257,0.42,8961.71,-164054.79322978997,5973,0.001,671
4248300,2042.427861328125,15768.089295654298,679,4248470,0.43,8973.84,-163766.68014005,6256,0.001,672
4263300,2226.5978149414063,7100.113688964844,642,4263470,0.42,9094.23,-179467.85621759,6638,0.001,673
4278300,2190.664118652344,14548.337272949218,609,4278460,0.42,9213.0,-180910.44724903002,7017,0.001,674
4280400,2168.2198291015625,10481.378919677734,605,4280507,0.42,9194.36,-180433.24208593,7069,0.001,675
4281800,2186.611796875,8026.174791259766,602,4281962,0.43,9108.91,-178115.25815717,7104,0.001,676
4296800,2175.115949707031,13756.974594726562,574,4296962,0.42,9242.39,-181081.91854353,7484,0.001,677
4311800,2133.8046362304685,6219.646955566406,548,4311962,0.42,9292.39,-182198.5857615,7866,0.001,678
4319300,2169.4838427734376,7537.376599121094,536,4319491,0.43,9267.68,-181141.57536841,8057,0.001,679
4334300,2121.200517578125,10347.025594482422,513,4334491,0.42,9372.09,-181661.26722533998,8436,0.001,680
4349300,2200.5058471679686,5211.7466015625,493,4349491,0.41,9480.19,-188081.02730981997,8815,0.001,681
4364300,2182.9139575195313,8418.452814941405,474,4364491,0.4,9561.71,-188193.40916467,9195,0.001,682
4379300,2141.292724609375,6584.392094726562,457,4379491,0.39,9690.57,-189589.86330300997,9574,0.001,683
4394300,2098.411455078125,5460.196474609375,441,4394491,0.38,9757.88,-187715.72948036,9955,0.001,684
4398800,2123.874111328125,11162.206323242188,436,4398947,0.39,9702.44,-187303.05018948994,10066,0.001,685
4413400,2075.283820800781,16607.205772705078,422,4413596,0.39,9769.14,-187416.81921807,10437,0.001,686
4426700,2106.7131640625,6679.741843261719,410,4426832,0.39,9880.6,-197196.11386005997,10774,0.001,687
4431200,2103.0666918945312,5933.509836425781,406,4431395,0.39,9851.8,-196554.55765061,10890,0.001,688
4446200,2057.4481762695314,6358.547795410156,394,4446395,0.38,9942.04,-196956.67526003,11269,0.001,689
4461200,2067.68771484375,16194.20562866211,382,4461395,0.37,10014.09,-195454.42995158996,11649,0.001,690
4476200,2042.4156713867187,10304.615881347656,372,4476395,0.36,10065.6,-196096.38708906996,12028,0.001,691
4491200,2029.5269775390625,11247.259393310547,361,4491395,0.35,10194.1,-197309.72048492997,12408,0.001,692
4506200,2001.1869775390626,6734.880784912109,352,4506395,0.35,10244.1,-194761.92148956994,12788,0.001,693
4515700,1999.0394702148437,11734.631607666015,346,4515809,0.36,10238.24,-194578.89350893997,13027,0.001,694
4530700,1991.2738793945311,12972.936096191406,337,4530809,0.36,10288.24,-195806.67803522997,13405,0.001,695
4539700,2032.9123657226562,5192.429487304687,332,4539821,0.36,10345.91,-196572.82343581,13633,0.001,696
4553800,1971.12443359375,7655.066931152343,325,4553914,0.37,10386.84,-196916.93206915996,13991,0.001,697
4568800,1964.4510107421875,6664.2442626953125,317,4568914,0.37,10436.84,-197629.73527861998,14370,0.001,698
4574000,1937.1503564453126,9326.806280517578,315,4574141,0.38,10389.11,-196614.44425687,14504,0.001,699
4589000,1981.4306689453124,17388.12775390625,308,4589141,0.37,10504.76,-195700.69976908996,14885,0.001,700
4604000,1950.9158862304687,6590.046104736328,301,4604141,0.37,10554.76,-195635.87139758997,15262,0.001,701
4607500,1926.1569189453126,12370.481531982421,300,4607603,0.38,10489.38,-192012.27224222996,15349,0.001,702
4612000,1957.6303784179688,14166.650084228515,298,4612186,0.39,10435.21,-190601.35029538997,15465,0.001,703
4618400,1960.032744140625,7347.017481689453,295,4618529,0.4,10398.64,-190170.94055519995,15626,0.001,704
4631400,1973.153076171875,7308.818438720703,290,4631539,0.4,10450.79,-190938.20248894996,15956,0.001,705
4646400,1981.488046875,8094.675017089844,284,4646539,0.4,10500.79,-191888.85142948997,16336,0.001,706
4661400,1976.3753271484375,6351.325455322266,278,4661539,0.39,10574.61,-192244.74187261998,16716,0.001,707
4676400,1936.7875927734376,10243.985463867188,273,4676539,0.39,10624.61,-192283.8526149,17096,0.001,708
4679700,1927.5033178710937,14530.482014160156,272,4679809,0.39,10628.06,-192423.26053234,17178,0.001,709
4685900,1939.3730615234374,9053.357537841797,270,4686087,0.39,10634.37,-192447.98947375,17337,0.001,710
4690700,1958.9757885742188,5921.124659423828,268,4690857,0.4,10582.07,-190673.76528057002,17459,0.001,711
4702100,1912.2669555664063,7386.317634277344,264,4702201,0.41,10595.51,-190942.27048984997,17744,0.001,712
4717100,1979.8003881835937,7974.8738464355465,260,4717201,0.41,10645.51,-193055.84527857997,18125,0.001,713
4722200,1976.8387548828125,9354.617794189453,258,4722332,0.42,10596.82,-192301.22481841996,18256,0.001,714
4737200,1944.2260668945312,11384.295595703124,254,4737332,0.42,10646.82,-193281.05325698,18635,0.001,715
4751800,1956.5497241210937,10626.201202392578,250,4751918,0.43,10692.68,-189866.69799424,19004,0.001,716
4759400,1949.9457934570312,5187.7772534179685,247,4759519,0.44,10668.69,-189783.58458783,19197,0.001,717
4766800,1939.1361401367187,6712.881142578125,245,4766989,0.44,10661.75,-189459.78724396002,19385,0.001,718
4771300,1943.9759033203125,17330.18912841797,244,4771474,0.44,10619.53,-189767.74752168998,19500,0.001,719
4777500,1958.14939453125,7700.304625244141,243,4777607,0.45,10580.86,-189317.18587089996,19655,0.001,720
4779400,1937.792177734375,12677.348962402344,242,4779584,0.45,10537.92,-188529.75689733995,19704,0.001,721
4785800,1951.4570678710938,7182.925798339844,240,4785920,0.46,10501.28,-187687.35549008998,19866,0.001,722
4790300,1961.7425170898437,7320.751511230469,239,4790489,0.47,10446.97,-187345.46486711,19982,0.001,723
4797300,1951.5483154296876,7411.859934082031,237,4797425,0.48,10416.33,-187095.03179894,20158,0.001,724
4812300,1933.7889379882813,7213.279020996094,234,4812425,0.48,10466.33,-187319.53622160997,20538,0.001,725
4820200,1951.1602197265624,6906.834504394531,232,4820398,0.49,10446.06,-187056.27354989998,20740,0.001,726
4835200,1971.9828857421876,10430.24137939453,228,4835398,0.48,10517.25,-187950.60873709002,21119,0.001,727
4850200,1967.3546801757811,11607.867094726562,225,4850398,0.48,10567.25,-189190.17551001,21500,0.001,728
4865200,1982.4943896484374,8279.510158691406,222,4865398,0.48,10617.25,-190091.79745272,21881,0.001,729
4878700,1982.9607177734374,8061.34009765625,219,4878831,0.49,10651.58,-190914.20727143,22221,0.001,730
4880500,1976.3476391601562,7272.043068847656,219,4880644,0.5,10569.71,-189976.15527974,22268,0.001,731
4883700,1958.75865234375,7918.388231201172,218,4883846,0.51,10501.73,-188877.49120593,22348,0.001,732
4898700,1940.9581909179688,6433.487041015625,215,4898846,0.51,10551.73,-188843.31980839,22729,0.001,733
4903500,1946.8165551757813,6544.872097167969,214,4903655,0.52,10499.82,-188310.84654418004,22851,0.001,734
4907600,1937.8365258789063,7050.709215087891,213,4907788,0.53,10441.15,-187338.65181091003,22956,0.001,735
4910100,1903.5862255859374,9388.211821289062,213,4910277,0.54,10366.04,-185759.85021638006,23019,0.001,736
4925100,1941.0396850585937,6808.742945556641,210,4925277,0.54,10416.04,-186293.47352461,23399,0.001,737
4940100,1902.355908203125,6632.661260986328,207,4940277,0.54,10466.04,-186754.67861644,23780,0.001,738
4955100,1891.8077758789063,8145.496938476563,205,4955277,0.53,10553.81,-187853.22112113002,24161,0.001,739
4960500,1896.4327905273437,6783.775556640625,204,4960614,0.54,10507.18,-186672.00155067001,24297,0.001,740
4961600,1909.3633178710938,8516.434033203124,203,4961783,0.54,10433.72,-185538.94037156002,24326,0.001,741
4972400,1875.2323559570314,7526.841634521485,202,4972526,0.55,10441.15,-183544.5489721,24600,0.001,742
4977300,1891.3741723632813,9928.73804321289,201,4977473,0.56,10390.62,-182593.76349505,24725,0.001,743
4979800,1905.8379638671875,8806.13568359375,200,4979967,0.57,10315.56,-181130.83205995,24789,0.001,744
4981100,1895.330673828125,11732.419320068359,200,4981267,0.57,10252.78,-180252.05247894,24822,0.001,745
4982200,1895.0982690429687,11974.194088134765,200,4982346,0.57,10223.46,-179957.33349405,24849,0.001,746
4991500,1904.3327978515624,7019.29533203125,198,4991610,0.58,10216.1,-178534.93415143996,25085,0.001,747
5006500,1884.6782202148438,7369.839284667969,196,5006610,0.58,10266.1,-178971.27688932995,25465,0.001,748
