time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,time/episodes,rollout/ep_len_mean,train/n_updates,train/learning_rate,time/fps,time/total timesteps,rollout/success rate,train/critic_loss
385,-179214.9464614,1787.3515551757812,840,10538.58,6014800,0.001,15583,6015000,0.53,13437.494307861329
451,-179474.41950649998,1808.43509765625,841,10551.98,6017400,0.001,13337,6017509,0.53,14066.831716308594
709,-180173.58964175,1825.5395947265624,842,10544.58,6027400,0.001,8498,6027512,0.53,10032.693634033203
727,-179543.22154372002,1794.1758569335936,843,10501.91,6028000,0.001,8284,6028192,0.53,10461.407751464843
764,-179505.42768186,1802.1909057617188,844,10491.02,6029400,0.001,7884,6029597,0.53,13102.541958007812
1142,-181912.97370406002,1861.7743920898438,845,10628.02,6044400,0.001,5292,6044597,0.52,9339.441723632812
1519,-184707.04412044998,1836.1673559570313,846,10767.23,6059400,0.001,3987,6059597,0.51,13572.66453491211
1900,-185740.14730864,1849.4620776367187,847,10824.59,6074400,0.001,3196,6074597,0.5,8669.261378173827
2279,-186079.20439785003,1882.72154296875,848,10824.59,6089400,0.001,2671,6089597,0.5,14929.095522460937
2658,-186861.50162821,1868.8709692382813,849,10863.54,6104400,0.001,2296,6104597,0.49,20783.216053466796
3039,-188158.15321673002,1864.1656030273436,850,10939.31,6119400,0.001,2013,6119597,0.48,11038.0122265625
3200,-188588.24340689,1872.0171704101563,851,10852.62,6125800,0.001,1913,6125928,0.49,20376.26564575195
3265,-188759.32390011,1887.2492358398438,852,10847.18,6128300,0.001,1876,6128448,0.49,11527.415499267578
3461,-189807.70661540996,1870.046669921875,853,10900.92,6136000,0.001,1772,6136182,0.49,13510.075922851562
3646,-190615.45518507998,1878.9328979492188,854,10924.63,6143400,0.001,1684,6143545,0.49,15970.653981933594
3890,-196083.59404475003,1883.2253759765624,855,11006.84,6153000,0.001,1581,6153181,0.49,10523.916169433594
4082,-194948.38347822003,1877.6265234375,856,10932.72,6160600,0.001,1509,6160769,0.5,10385.312863769532
4462,-195331.88960471,1888.4432861328125,857,10940.68,6175600,0.001,1383,6175769,0.49,7175.9689111328125
4841,-195746.47312817,1896.1366064453125,858,10963.76,6190600,0.001,1278,6190769,0.48,10187.203800048828
5223,-197912.79904831998,1917.2779052734375,859,11095.75,6205600,0.001,1188,6205769,0.47,14884.636536865235
5603,-196600.25676518,1898.1205224609375,860,11095.75,6220600,0.001,1110,6220769,0.47,13715.070368652343
5792,-196347.77652924,1903.5249780273436,861,11056.2,6227900,0.001,1075,6228074,0.47,13438.960134277344
5955,-195460.70831920003,1915.28537109375,862,10970.92,6234400,0.001,1046,6234546,0.48,16769.892841796875
6233,-195846.93437422998,1950.01576171875,863,10929.9,6245300,0.001,1001,6245444,0.49,9710.91671875
6611,-196461.71962214,1888.8209350585937,864,10929.9,6260300,0.001,946,6260444,0.49,12848.141867675782
6724,-195037.90307813,1902.6571704101561,865,10824.52,6264800,0.001,931,6264906,0.5,8618.29240600586
7103,-195517.74276659,1937.4263012695312,866,10824.52,6279800,0.001,884,6279906,0.5,10254.617551269532
7483,-195378.92706361003,1919.4752612304687,867,10824.52,6294800,0.001,841,6294906,0.5,10604.18052734375
7863,-195841.94352743,1940.1004516601563,868,10824.52,6309800,0.001,802,6309906,0.5,16535.16239746094
8244,-195998.62468865,1965.089453125,869,10824.52,6324800,0.001,767,6324906,0.5,10782.714793701172
8286,-195168.44901663,1957.0415698242186,870,10757.24,6326500,0.001,763,6326617,0.5,15165.772602539062
8348,-193965.42802992,1956.364384765625,871,10667.25,6328900,0.001,758,6329071,0.5,16741.987521972656
8730,-195752.62542626998,1977.0965576171875,872,10765.99,6343900,0.001,726,6344071,0.49,8557.591213378906
9110,-196406.94428094,1960.2604907226562,873,10765.99,6358900,0.001,698,6359071,0.49,8866.302491455079
9247,-195638.76280397997,1986.3093627929688,874,10670.16,6364300,0.001,688,6364488,0.5,10572.435615234375
9300,-193974.79306745,2002.9991625976563,875,10647.49,6366400,0.001,684,6366585,0.5,8609.257534179687
9680,-198522.90011525003,1993.3601684570312,876,10647.49,6381400,0.001,659,6381585,0.5,15947.691704101562
9956,-198098.8772176,1995.3139404296876,877,10606.4,6392300,0.001,642,6392476,0.51,12926.708869628907
10335,-198353.88237293,2003.6651318359375,878,10606.4,6407300,0.001,619,6407476,0.51,12435.204893798827
10715,-198703.3269895,1993.44146484375,879,10606.4,6422300,0.001,599,6422476,0.51,10559.679558105468
11095,-199269.13015768,1979.38203125,880,10606.4,6437300,0.001,580,6437476,0.51,11429.129434814453
11475,-222964.13559864,2195.7423803710935,881,10606.4,6452300,0.001,562,6452476,0.51,11368.552888183594
11856,-237596.12316083,2368.760065917969,882,10705.22,6467300,0.001,545,6467476,0.5,21704.491267089845
12022,-236847.56980162003,2359.6682202148436,883,10632.61,6473900,0.001,538,6474044,0.5,13304.15470703125
12403,-237806.37864359003,2377.2377416992185,884,10674.73,6488900,0.001,523,6489044,0.49,27042.700463867186
12784,-240207.57316786,2373.875314941406,885,10674.73,6503900,0.001,508,6504044,0.49,16304.501372070312
13173,-241871.98378898,2420.7707006835935,886,10733.84,6518900,0.001,494,6519044,0.48,10536.966108398437
13393,-242827.28321098,2396.7677368164063,887,10786.86,6527200,0.001,487,6527398,0.48,11130.784545898438
13775,-244634.96001438,2371.6916455078126,888,10878.05,6542200,0.001,474,6542398,0.47,20246.43490966797
14158,-243121.83684086002,2435.8618359375,889,10960.95,6557200,0.001,463,6557398,0.46,33971.997734375
14541,-244639.40343722005,2427.0586279296876,890,10960.95,6572200,0.001,451,6572398,0.46,10499.889602050782
14697,-243684.63215371,2345.7980541992188,891,10885.99,6578300,0.001,447,6578490,0.46,13009.285141601562
15081,-238410.06648761,2416.337421875,892,10960.46,6593300,0.001,437,6593490,0.45,38969.13041748047
15187,-237112.24240554002,2442.986494140625,893,10850.67,6597400,0.001,434,6597511,0.46,9424.681020507813
15275,-235499.25785861,2485.6975439453126,894,10733.75,6600700,0.001,432,6600819,0.47,13115.18205444336
15679,-237749.86565228002,2455.6849365234375,895,10863.27,6615700,0.001,421,6615819,0.46,10626.483549804687
