train/critic_loss,time/time_elapsed,rollout/ep_len_mean,rollout/success rate,time/episodes,time/fps,time/total timesteps,train/actor_loss,train/learning_rate,rollout/ep_rew_mean,train/n_updates
17205.35127441406,188,11358.46,0.5,1014,42567,8007255,1958.806298828125,0.001,-219026.45902783,8007100
6663.447219238281,260,11310.06,0.5,1015,30767,8010122,1991.2605834960937,0.001,-218263.55144493002,8010000
10652.6059375,647,11310.06,0.5,1016,12394,8025122,1994.4447924804688,0.001,-217998.90587281005,8025000
7297.293139648437,1039,11310.06,0.5,1017,7732,8040122,1980.737216796875,0.001,-217969.60631561003,8040000
6664.321947021484,1232,11233.03,0.51,1018,6531,8047419,1992.4876489257813,0.001,-206759.37758075004,8047300
7962.231467285156,1621,11233.03,0.51,1019,4973,8062419,1987.222138671875,0.001,-212961.20636983003,8062300
14302.824636230469,2011,11233.03,0.51,1020,4015,8077419,2006.8737768554688,0.001,-214081.69298347004,8077300
8643.991589355468,2404,11233.03,0.51,1021,3366,8092419,1992.2060986328124,0.001,-214039.63749943997,8092300
11887.213350830078,2794,11301.87,0.5,1022,2901,8107419,1990.3644262695314,0.001,-215076.64652518,8107300
22852.257883300783,3183,11301.87,0.5,1023,2551,8122419,1995.9230737304688,0.001,-217910.29856824002,8122300
9328.721275634765,3292,11213.78,0.5,1024,2468,8126555,1993.6403540039062,0.001,-209146.95483945002,8126400
8755.994704589844,3625,11271.74,0.5,1025,2245,8139214,2015.0618481445313,0.001,-217192.43927025,8139100
5845.066329345703,3791,11186.29,0.51,1026,2148,8145669,2016.94455078125,0.001,-215916.13382067997,8145500
14420.607238769531,3953,11153.67,0.51,1027,2062,8151832,2029.8942797851562,0.001,-215307.16499335,8151700
19724.416416015625,4124,11069.19,0.52,1028,1978,8158384,2037.0996069335938,0.001,-213914.98031473998,8158200
11542.223748779297,4238,11000.0,0.52,1029,1925,8162729,2037.1126318359375,0.001,-212546.48867797,8162600
9718.380428466797,4379,10904.41,0.53,1030,1865,8168170,2032.57650390625,0.001,-211624.95538405995,8168000
8700.674351806641,4488,10796.24,0.54,1031,1820,8172353,2003.3264282226562,0.001,-209553.97184942002,8172200
16296.728388671874,4879,10871.2,0.53,1032,1677,8187353,2020.6325268554688,0.001,-209857.03906742003,8187200
13436.807114257812,4956,10841.45,0.53,1033,1652,8190312,2014.3193286132812,0.001,-209428.13485998,8190200
8420.324145507813,5348,10909.67,0.52,1034,1534,8205312,2007.297578125,0.001,-210261.21830471003,8205200
7865.688824462891,5483,10869.9,0.52,1035,1497,8210485,2001.3465649414063,0.001,-209450.00768312998,8210300
10234.043834228516,5626,10801.69,0.52,1036,1460,8215970,2021.9091552734376,0.001,-208523.26091724,8215800
15607.253643798827,6019,10801.69,0.52,1037,1367,8230970,2038.1342260742188,0.001,-207347.39108981995,8230800
12046.272104492187,6411,10875.34,0.51,1038,1286,8245970,1996.8306103515624,0.001,-208673.27034194997,8245800
9214.880600585937,6802,10935.34,0.51,1039,1214,8260947,2019.401630859375,0.001,-209796.72081559,8260800
15904.47916748047,7193,10935.34,0.51,1040,1150,8275947,1974.9318286132811,0.001,-209623.89905725003,8275800
8258.564849853516,7582,11015.95,0.5,1041,1093,8290947,1963.5740380859374,0.001,-211117.40109303,8290800
14408.207114257813,7973,11109.29,0.49,1042,1041,8305947,2012.6481860351562,0.001,-212133.30336564005,8305800
11150.868406982421,8365,11109.29,0.49,1043,994,8320947,1997.8954736328126,0.001,-211493.74119497,8320800
10389.496868896484,8756,11194.71,0.48,1044,951,8335947,1994.047001953125,0.001,-212349.26030589998,8335800
20119.203103027343,9146,11279.11,0.47,1045,912,8350947,1998.3629809570311,0.001,-213484.22971734998,8350800
15579.713803710938,9223,11158.65,0.48,1046,905,8353901,1973.4236206054688,0.001,-210076.05211667,8353800
16709.53549682617,9606,11158.65,0.48,1047,871,8368901,1946.6821484375,0.001,-209621.73337987997,8368800
9148.522243652344,9765,11078.69,0.48,1048,857,8375142,1968.169072265625,0.001,-208682.22863425995,8375000
