time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,rollout/success rate,time/episodes,time/total timesteps,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss
68,-435414.085802,5000.0,73,0.0,1,5000,,,,
135,-463737.416339,5000.0,73,0.0,2,10000,,,,
203,-456697.5327833334,5000.0,73,0.0,3,15000,,,,
271,-463272.95488925005,5000.0,73,0.0,4,20000,,,,
338,-462019.9087828,5000.0,73,0.0,5,25000,,,,
428,-454609.16061099997,5000.0,69,0.0,6,30000,988.301103515625,0.001,4900,161.66793075561523
519,-476659.03528157144,5000.0,67,0.0,7,35000,1864.8954174804687,0.001,9900,490.2576053619385
609,-495676.64016475,5000.0,65,0.0,8,40000,2761.443603515625,0.001,14900,8589.35310913086
699,-483150.75052033336,5000.0,64,0.0,9,45000,3386.698623046875,0.001,19900,1605.0612882995606
789,-463508.6918208,5000.0,63,0.0,10,50000,3904.7780859375,0.001,24900,3060.3411431884765
879,-447866.88881390914,5000.0,62,0.0,11,55000,4303.673818359375,0.001,29900,1866.3263064575194
969,-433113.7760475834,5000.0,61,0.0,12,60000,4607.2580078125,0.001,34900,1506.836531677246
1059,-422457.36109353846,5000.0,61,0.0,13,65000,4858.796044921875,0.001,39900,4080.8757202148436
1149,-415864.1458249286,5000.0,60,0.0,14,70000,5137.274521484375,0.001,44900,25927.220447387695
1240,-404292.65925719996,5000.0,60,0.0,15,75000,5332.20453125,0.001,49900,14281.894569702148
1329,-394205.5300109375,5000.0,60,0.0,16,80000,5481.981328125,0.001,54900,13610.195635986329
1419,-388886.7188277059,5000.0,59,0.0,17,85000,5611.028203125,0.001,59900,27258.794642944336
1509,-381422.29715816665,5000.0,59,0.0,18,90000,5703.998056640625,0.001,64900,21637.48614501953
1599,-374538.6588086316,5000.0,59,0.0,19,95000,5810.559462890625,0.001,69900,3636.245805053711
1689,-369357.6695339,5000.0,59,0.0,20,100000,5859.17005859375,0.001,74900,3630.1546215820313
1779,-362909.6023752381,5000.0,59,0.0,21,105000,5899.33458984375,0.001,79900,2221.897221374512
1869,-357613.3727804545,5000.0,58,0.0,22,110000,5945.870234375,0.001,84900,10856.386262817383
1960,-350949.50488878257,5000.0,58,0.0,23,115000,5874.689833984375,0.001,89900,6010.452639770508
