time/time_elapsed,time/total timesteps,train/learning_rate,train/actor_loss,rollout/ep_rew_mean,rollout/success rate,train/critic_loss,rollout/ep_len_mean,time/episodes,time/fps,train/n_updates
286,2015000,0.001,4333.043583984375,-200952.40064617005,0.0,32403.300751953124,5100.0,401,7031,1989900
565,2030000,0.001,4434.541235351562,-204323.64632346,0.0,23422.282373046874,5200.0,402,3588,2004900
852,2045000,0.001,4627.975356445312,-222704.26394408,0.0,17985.440319824218,5300.0,403,2397,2019900
1137,2060000,0.001,4744.655952148438,-225443.87090183998,0.0,17175.785393066406,5400.0,404,1811,2034900
1423,2075000,0.001,4723.174111328125,-228277.70902372999,0.0,13645.942409667969,5500.0,405,1457,2049900
1710,2090000,0.001,4695.871884765625,-232055.12177218997,0.0,19191.593347167967,5600.0,406,1222,2064900
1994,2105000,0.001,4714.061538085937,-236295.15479106002,0.0,37491.7433203125,5700.0,407,1055,2079900
2281,2120000,0.001,4828.203203125,-249641.02560365002,0.0,68814.24438964843,5800.0,408,929,2094900
2564,2135000,0.001,4862.541787109375,-255683.14550141004,0.0,33249.15155273437,5900.0,409,832,2109900
2856,2150000,0.001,4843.75744140625,-261128.89633444,0.0,23239.52510253906,6000.0,410,752,2124900
3140,2165000,0.001,4815.259321289062,-264586.84912039,0.0,26948.28177001953,6100.0,411,689,2139900
3426,2180000,0.001,4888.8034765625,-271256.92105421,0.0,101488.20286621094,6200.0,412,636,2154900
3717,2195000,0.001,4852.35744140625,-274249.26881493,0.0,13833.306845703126,6300.0,413,590,2169900
4013,2210000,0.001,4798.248012695312,-296766.90758682997,0.0,17680.964091796875,6400.0,414,550,2184900
4304,2225000,0.001,5004.18845703125,-301189.84733976,0.0,23934.16599609375,6500.0,415,516,2199900
4590,2240000,0.001,5153.300498046875,-305528.69090968004,0.0,54982.0856640625,6600.0,416,487,2214900
4762,2248749,0.001,5017.712744140625,-306673.26207084,0.01,62929.37582519531,6637.49,417,472,2223700
5055,2263749,0.001,4983.434814453125,-318142.89548725,0.01,20000.14534667969,6737.49,418,447,2238700
5351,2278749,0.001,5238.774755859375,-330743.32936126,0.01,20831.296103515626,6837.49,419,425,2253700
5638,2293749,0.001,5235.565,-336497.40025884,0.01,67093.21888183594,6937.49,420,406,2268700
5814,2302955,0.001,5364.230859375,-339463.14844858,0.02,79061.91189453125,6979.55,421,396,2277900
6096,2317955,0.001,5305.49228515625,-343237.48292611,0.02,47066.48373535156,7079.55,422,380,2292900
6387,2332955,0.001,5484.332333984375,-348586.57101223,0.02,82264.53984863282,7179.55,423,365,2307900
6596,2343696,0.001,5602.45703125,-355635.74621385,0.03,123825.64045898437,7236.96,424,355,2318600
6871,2358696,0.001,5722.235810546875,-367641.46326789,0.03,27491.253388671874,7336.96,425,343,2333600
7155,2373696,0.001,5658.351796875,-371652.16181598,0.03,86498.39624511718,7436.96,426,331,2348600
7441,2388696,0.001,5755.53400390625,-377201.0872557599,0.03,46857.30039550781,7536.96,427,321,2363600
7723,2403696,0.001,5673.299248046875,-382232.34635663,0.03,39273.98309570312,7636.96,428,311,2378600
7866,2411387,0.001,5799.22115234375,-383045.81625477993,0.04,52885.031328125,7663.87,429,306,2386300
8153,2426387,0.001,5754.929873046875,-385734.45859885,0.04,57932.85987792969,7763.87,430,297,2401300
8435,2441387,0.001,5789.203193359375,-396807.77754503,0.04,61748.77213867188,7863.87,431,289,2416300
8715,2456387,0.001,5831.054267578125,-404501.43548209005,0.04,45156.29494628906,7963.87,432,281,2431300
8996,2471387,0.001,6013.524052734375,-411687.996619,0.04,47537.001645507815,8063.87,433,274,2446300
9276,2486387,0.001,6039.105517578125,-418019.82337436,0.04,63719.37194335937,8163.87,434,268,2461300
