time/fps,rollout/ep_rew_mean,time/total timesteps,time/time_elapsed,time/episodes,rollout/success rate,rollout/ep_len_mean,train/actor_loss,train/learning_rate,train/n_updates,train/critic_loss
18721,-805732.3602837399,4015000,214,547,0.27,13285.41,,,,
6812,-772189.7315738499,4030000,591,548,0.27,13285.41,8212.235354296876,0.001,3990000,66076.8551970052
4122,-771770.4083677899,4045000,981,549,0.26,13316.36,8162.350805338541,0.001,4005000,64100.95626770833
2964,-762920.2949722301,4060000,1369,550,0.26,13316.36,8131.893985091146,0.001,4020000,64662.61045585937
2329,-761206.91155705,4075000,1749,551,0.26,13316.36,8145.484806705729,0.001,4035000,66342.61969401041
1921,-761539.81393491,4090000,2128,552,0.26,13316.36,8135.9318470052085,0.001,4050000,67958.34287317708
1632,-763549.0517213799,4105000,2514,553,0.25,13393.47,8152.884334244792,0.001,4065000,69018.6690859375
1417,-766723.6457728702,4120000,2905,554,0.25,13393.47,8162.063572526042,0.001,4080000,69960.3281703125
1254,-763469.7714326802,4135000,3297,555,0.25,13393.47,8234.555901497395,0.001,4095000,72200.81369192708
1122,-786645.1985350302,4150000,3698,556,0.25,13393.47,8282.028641536459,0.001,4110000,72247.081384375
1018,-784164.1111400803,4165000,4089,557,0.25,13393.47,8571.534684505208,0.001,4125000,75532.93497083333
931,-784544.1074681601,4180000,4486,558,0.25,13393.47,8597.981132161458,0.001,4140000,76536.76046848958
858,-784106.5067682299,4195000,4884,559,0.25,13393.47,8637.567666666666,0.001,4155000,78099.51672890625
796,-800071.4014565699,4210000,5288,560,0.25,13393.47,8664.124870833333,0.001,4170000,79754.37566796875
743,-796643.3485607498,4225000,5682,561,0.25,13393.47,8880.597817708333,0.001,4185000,81134.85175703125
698,-810636.5525682099,4240000,6073,562,0.24,13448.98,8988.434772916667,0.001,4200000,82520.44925755209
658,-809953.08529342,4255000,6466,563,0.24,13448.98,9226.679280859375,0.001,4215000,85949.14582395833
622,-812642.7666447102,4270000,6860,564,0.23,13507.86,9348.438626432291,0.001,4230000,87264.17391796874
590,-811321.61074987,4285000,7253,565,0.23,13507.86,9365.804519921876,0.001,4245000,87476.63451302084
562,-810202.34579331,4300000,7650,566,0.23,13507.86,9385.895053385417,0.001,4260000,89964.04816770833
536,-802603.7007224499,4315000,8043,567,0.23,13507.86,9378.917567057291,0.001,4275000,91120.0439734375
513,-800977.71363365,4330000,8438,568,0.23,13507.86,9430.238759114583,0.001,4290000,92732.01620677083
492,-798617.4482098599,4345000,8826,569,0.23,13507.86,9505.996367578126,0.001,4305000,94613.59811432291
472,-799057.3303386101,4360000,9220,570,0.23,13507.86,9642.180133072916,0.001,4320000,98198.46041119791
455,-803186.68081299,4375000,9613,571,0.22,13628.11,9741.559613411458,0.001,4335000,99032.18816354166
438,-801025.0439137201,4390000,10004,572,0.22,13628.11,9840.264477604167,0.001,4350000,100355.43648489584
424,-798735.5273922199,4405000,10385,573,0.22,13628.11,9993.773897135417,0.001,4365000,110343.58530859376
410,-804503.0507601999,4420000,10772,574,0.21,13731.31,10165.354473828125,0.001,4380000,107857.85209713542
397,-801622.1520468898,4435000,11157,575,0.21,13731.31,10276.121285026042,0.001,4395000,109771.12873541667
385,-799182.07090898,4450000,11539,576,0.21,13731.31,10233.23881640625,0.001,4410000,106630.89213776041
374,-798973.0891597299,4465000,11925,577,0.2,13824.74,10180.363877604166,0.001,4425000,103913.54227135416
364,-796883.8092983798,4480000,12306,578,0.2,13824.74,10112.487926822916,0.001,4440000,102040.06493229167
354,-806704.96629646,4495000,12690,579,0.2,13824.74,10021.13961861979,0.001,4455000,99877.91237682292
344,-806203.1501629301,4510000,13080,580,0.2,13824.74,10031.700800130207,0.001,4470000,101318.27376380208
336,-808038.65930644,4525000,13466,581,0.19,13880.55,9995.087179036458,0.001,4485000,101209.20694114584
328,-807090.4694832801,4540000,13839,582,0.19,13880.55,10023.403121223959,0.001,4500000,101869.21239140625
320,-811268.47772332,4555000,14214,583,0.18,14000.48,10020.67957421875,0.001,4515000,104620.91217083334
313,-809422.74935121,4570000,14587,584,0.18,14000.48,10009.464425,0.001,4530000,101469.2671015625
306,-807300.2132223101,4585000,14963,585,0.18,14000.48,9951.892271223958,0.001,4545000,100813.321978125
299,-803849.1572334202,4600000,15339,586,0.18,14000.48,9895.188807552084,0.001,4560000,98824.69863333333
293,-802228.46601776,4615000,15713,587,0.18,14000.48,9802.034893098958,0.001,4575000,96296.79531510417
287,-835651.3299005001,4630000,16095,588,0.17,14059.14,9758.279096223958,0.001,4590000,95797.15417942709
282,-834962.9042907101,4645000,16468,589,0.17,14059.14,10012.848335416667,0.001,4605000,98778.12423671875
276,-833938.1083392301,4660000,16842,590,0.17,14059.14,10019.361305729166,0.001,4620000,99241.32851692708
271,-832295.64839761,4675000,17217,591,0.17,14059.14,10008.236164973958,0.001,4635000,100063.25843802083
266,-850984.1087442399,4690000,17597,592,0.17,14059.14,9949.967826432292,0.001,4650000,99728.33755729167
261,-847003.3951403601,4705000,17968,593,0.17,14059.14,10181.179298567708,0.001,4665000,101502.33219453125
257,-848352.5875147101,4720000,18341,594,0.17,14059.14,10044.138204296874,0.001,4680000,93740.87834583333
252,-891042.54666608,4735000,18724,595,0.16,14065.09,9985.87136484375,0.001,4695000,89580.29535703125
248,-891514.6155566401,4750000,19100,596,0.16,14065.09,10279.320945182291,0.001,4710000,91198.53091666667
244,-891786.20636216,4765000,19474,597,0.16,14065.09,10170.586721484375,0.001,4725000,86710.98593723959
240,-888627.58885483,4780000,19850,598,0.16,14065.09,10014.94913828125,0.001,4740000,82428.07429322916
237,-885563.37143138,4795000,20224,599,0.16,14065.09,9913.255657421874,0.001,4755000,79868.25213489584
233,-881279.38059245,4810000,20598,600,0.16,14065.09,9540.198979427083,0.001,4770000,80795.68380677083
230,-878493.1593654801,4825000,20975,601,0.16,14065.09,9280.16421875,0.001,4785000,79387.79703203125
226,-869462.90007859,4840000,21351,602,0.15,14082.08,9186.382197916666,0.001,4800000,78869.87955598958
223,-868744.98572423,4855000,21726,603,0.15,14082.08,9093.070479296875,0.001,4815000,75110.24305052083
220,-913275.97936097,4870000,22109,604,0.15,14082.08,8952.886076692708,0.001,4830000,74195.04859895834
217,-911055.3825305699,4885000,22481,605,0.15,14082.08,9173.139534244792,0.001,4845000,79749.72887239583
214,-907379.67388226,4900000,22856,606,0.15,14082.08,9132.840821614584,0.001,4860000,78775.83117890626
211,-906299.91677357,4915000,23229,607,0.14,14103.09,9106.090569270833,0.001,4875000,74012.99524869792
208,-904790.9816976999,4930000,23604,608,0.14,14103.09,9125.962977734374,0.001,4890000,77561.35704166666
206,-903455.8384092499,4945000,23978,609,0.13,14114.6,9097.909611328125,0.001,4905000,79416.987603125
203,-900247.52982474,4960000,24351,610,0.13,14114.6,8999.330404427083,0.001,4920000,78733.64891380208
201,-898660.8643628,4975000,24726,611,0.12,14114.82,9109.150309765624,0.001,4935000,80948.42605416667
198,-895962.1246013999,4990000,25099,612,0.12,14114.82,9171.979372395834,0.001,4950000,75005.08666744792
196,-892935.30490336,5005000,25472,613,0.12,14114.82,9008.727233463542,0.001,4965000,72731.98523229167
194,-889584.7403931699,5020000,25845,614,0.12,14114.82,8814.628438932292,0.001,4980000,70302.51223411458
192,-886591.84200573,5035000,26218,615,0.12,14114.82,8793.239644140625,0.001,4995000,71034.35101015626
189,-883046.6139846102,5050000,26590,616,0.12,14114.82,8764.793940234375,0.001,5010000,70595.92345234375
187,-882758.3456490001,5065000,26964,617,0.12,14114.82,8695.334319270833,0.001,5025000,70674.24518020834
185,-878490.5453871301,5080000,27340,618,0.11,14146.95,8644.363762239584,0.001,5040000,67476.45845494792
183,-884826.37230748,5095000,27713,619,0.11,14146.95,8648.040638932292,0.001,5055000,75078.16178645834
181,-885393.69524442,5110000,28090,620,0.11,14146.95,8822.183355989584,0.001,5070000,85917.80959947917
180,-881204.39339101,5125000,28465,621,0.11,14146.95,8732.627103385417,0.001,5085000,77460.472890625
178,-880935.2408699198,5140000,28838,622,0.11,14146.95,8553.500826302083,0.001,5100000,69086.29551992187
176,-894194.7779382399,5155000,29217,623,0.11,14146.95,8495.955189453125,0.001,5115000,66770.98694127605
174,-898087.0097753699,5170000,29592,624,0.1,14231.6,9127.719330208334,0.001,5130000,83704.0836609375
173,-899625.90394833,5180054,29897,625,0.1,14279.1,9598.328210286458,0.001,5145000,96139.62247630209
171,-902945.5517186399,5195054,30221,626,0.09,14382.29,9602.238677547493,0.001,5155054,94218.78219178933
170,-924114.8307377999,5210054,30603,627,0.09,14382.29,9530.213290364583,0.001,5170054,92739.92461041667
168,-926163.62100077,5225054,30976,628,0.08,14474.2,9658.90404752604,0.001,5185054,104252.38809791667
167,-935778.7385055198,5240054,31352,629,0.08,14474.2,9625.29486953125,0.001,5200054,100680.58986380209
165,-888508.4138056398,5255054,31726,630,0.08,14474.2,9450.130956770834,0.001,5215054,105462.62323229166
164,-884388.08346057,5270054,32100,631,0.08,14474.2,9310.168953255208,0.001,5230054,93191.37165755208
162,-873973.73759354,5285054,32473,632,0.08,14474.2,9287.712798697916,0.001,5245054,90038.80066145833
161,-876366.6696903901,5300054,32848,633,0.07,14567.94,9000.597840494791,0.001,5260054,79948.871346875
159,-887019.9055516,5315054,33228,634,0.07,14567.94,8886.863324609374,0.001,5275054,79044.3973171875
158,-840841.26230458,5330054,33604,635,0.07,14567.94,9234.29059296875,0.001,5290054,89795.33616015625
157,-859738.4382659299,5345054,33979,636,0.06,14636.19,9321.79550078125,0.001,5305054,94756.24669010416
156,-858975.8177095001,5360054,34355,637,0.06,14636.19,9674.28221484375,0.001,5320054,115675.5119265625
154,-876352.7491569599,5375054,34736,638,0.06,14636.19,9785.207763541666,0.001,5335054,116985.6021234375
153,-876930.1881394102,5390054,35108,639,0.05,14654.43,10002.669610416666,0.001,5350054,115602.49734661459
152,-880750.4736108102,5405054,35481,640,0.04,14763.6,10321.468716927084,0.001,5365054,114479.91907395833
151,-882420.5919198802,5420054,35855,641,0.03,14808.99,10377.418138020834,0.001,5380054,110448.1181515625
150,-880966.63487246,5435054,36229,642,0.03,14808.99,10206.893275260416,0.001,5395054,101900.65463932292
148,-882751.6100105101,5450054,36606,643,0.02,14859.98,10167.164756380209,0.001,5410054,102067.53614088542
147,-886775.24597915,5465054,36980,644,0.01,14950.54,10153.594671744791,0.001,5425054,103950.98171510416
146,-884212.33516678,5480054,37357,645,0.01,14950.54,10113.445582552084,0.001,5440054,110531.37417838542
145,-877844.4134854,5495054,37733,646,0.01,14950.54,10063.181689713541,0.001,5455054,113963.25855390626
144,-876690.46337826,5510054,38107,647,0.01,14950.54,9829.595645442709,0.001,5470054,108034.39493645834
143,-876515.6122881502,5525054,38479,648,0.01,14950.54,9739.836086588542,0.001,5485054,101756.14881197916
142,-876358.6961954602,5540054,38855,649,0.01,14950.54,9732.6668078125,0.001,5500054,101252.47547552083
141,-875221.50315009,5555054,39229,650,0.01,14950.54,9772.986269270834,0.001,5515054,103048.80901848958
140,-875549.95117478,5570054,39606,651,0.01,14950.54,9644.011351041667,0.001,5530054,93202.38560625
139,-875589.3377651501,5585054,39980,652,0.01,14950.54,9550.435472265624,0.001,5545054,92821.60955651042
138,-877013.48343758,5600054,40356,653,0.01,14950.54,9523.942557942708,0.001,5560054,96413.51487552084
137,-874451.7110564901,5615054,40730,654,0.01,14950.54,9561.25391575521,0.001,5575054,99511.40874401042
136,-895383.09308348,5630054,41110,655,0.01,14950.54,9715.66611796875,0.001,5590054,108626.8174796875
136,-868637.4388828098,5645054,41482,656,0.01,14950.54,9689.220139192708,0.001,5605054,103668.18197734375
135,-874906.4500745499,5660054,41855,657,0.01,14950.54,9910.785756770832,0.001,5620054,102693.95867942709
134,-876240.51294154,5675054,42231,658,0.01,14950.54,9963.266936458333,0.001,5635054,99790.12082083333
133,-875400.8155394399,5690054,42605,659,0.01,14950.54,9964.696545572917,0.001,5650054,96442.51076302084
